sym,name,th,n,mean,total,wr,sharpe,pf,maxdd
285A.T,Kioxia,0.5,31,184.92541946317445,5732.6880033584075,58.06451612903226,6.007003178165108,2.7295078349025252,-1038.1162247083516
285A.T,Kioxia,0.8,16,317.687718683764,5083.003498940224,62.5,8.414973882677707,3.7874151607372157,-1112.931767001419
285A.T,Kioxia,1.0,12,504.1910523474905,6050.292628169886,75.0,14.872254161711922,10.367166543163153,-282.4014369106426
285A.T,Kioxia,1.5,5,319.5591596775124,1597.7957983875622,60.0,8.867586797749517,3.9370561801692476,-282.4014369106426
4502.T,武田,0.5,49,35.6018842243492,1744.4923269931107,67.3469387755102,6.3994128954028,2.7914440194644374,-197.49315068493138
4502.T,武田,0.8,25,23.516867089411527,587.9216772352881,60.0,3.78444728519437,1.711118821164006,-294.2926007622646
4502.T,武田,1.0,19,32.39875424670843,615.5763306874601,63.1578947368421,5.100984687729853,2.066237930562461,-227.17568328225667
4502.T,武田,1.5,9,24.686223215127477,222.1760089361473,55.55555555555556,5.194818412954859,2.1461012788402507,-62.92270138323874
6501.T,日立,0.5,39,124.83535222540854,4868.578736790933,58.97435897435898,5.228115137872496,2.765863004310557,-801.1628828497692
6501.T,日立,0.8,21,190.34527193216465,3997.2507105754576,57.14285714285714,6.982804930329094,3.705781066642859,-781.3328853871185
6501.T,日立,1.0,15,274.53929647865425,4118.089447179814,60.0,9.334972136089139,6.343791409171757,-536.2307039864295
6501.T,日立,1.5,6,312.64891567088574,1875.8934940253143,50.0,11.961874641296987,9.77303142298798,-181.36616156674367
5016.T,出光,0.5,44,99.70090108754425,4386.839647851947,61.36363636363637,5.077859631869574,2.5388967979491457,-1483.5843356713099
5016.T,出光,0.8,23,158.37968551110075,3642.7327667553172,69.56521739130434,8.455403876981832,4.958099502567112,-595.0161905683093
5016.T,出光,1.0,18,174.8326202881366,3146.987165186459,66.66666666666666,8.649732722442925,5.046072060798046,-673.2617990230489
5016.T,出光,1.5,9,83.48672511571964,751.3805260414767,55.55555555555556,5.450825675857544,2.2127759108706817,-352.8574591078257
5711.T,三菱マテリアル,0.5,45,68.85775273595837,3098.598873118127,62.22222222222222,5.442676750481712,2.699572794338217,-493.6599132146747
