symbol,name,threshold,direction,exit,n,mean,wr,pf,sharpe
5711.T,三菱マテリアル,0.5,long,09:30,91,0.052184268217840266,49.45054945054945,1.2086863981997964,1.0944960399403925
5711.T,三菱マテリアル,0.5,long,10:00,91,0.06002067900050566,57.14285714285714,1.1916816223885833,1.0508416150361428
5711.T,三菱マテリアル,0.5,long,11:30,91,0.06387677846761018,54.94505494505495,1.1759899150374264,1.020549762884774
5711.T,三菱マテリアル,0.5,long,13:00,91,0.14237032091588087,49.45054945054945,1.4079871459009035,2.1950647853986816
5711.T,三菱マテリアル,0.5,long,15:30,91,0.19903392872836642,61.53846153846154,1.6205235888817775,3.0628934487097585
5711.T,三菱マテリアル,0.5,short,09:30,91,-0.1321842682178403,47.25274725274725,0.6147549013146069,-2.7723902825063416
5711.T,三菱マテリアル,0.5,short,10:00,91,-0.14002067900050572,40.65934065934066,0.6667840163071516,-2.4514810380287293
5711.T,三菱マテリアル,0.5,short,11:30,91,-0.14387677846761024,40.65934065934066,0.6952354101266426,-2.2986978315476447
5711.T,三菱マテリアル,0.5,short,13:00,91,-0.2223703209158809,46.15384615384615,0.5821696051029044,-3.4285043232336108
5711.T,三菱マテリアル,0.5,short,15:30,91,-0.27903392872836646,37.362637362637365,0.5098073320291805,-4.293997499472833
5711.T,三菱マテリアル,1.0,long,09:30,37,-0.0237508851165528,45.94594594594595,0.897576983721634,-0.6881777278054071
5711.T,三菱マテリアル,1.0,long,10:00,37,0.03575899931045714,62.16216216216216,1.1455799568515785,0.9347899261391803
5711.T,三菱マテリアル,1.0,long,11:30,37,0.11255052285499886,59.45945945945946,1.4091102467337575,2.3013895564022575
5711.T,三菱マテリアル,1.0,long,13:00,37,0.13008851301679902,45.94594594594595,1.4673620868122876,2.2472626980847297
5711.T,三菱マテリアル,1.0,long,15:30,37,0.18989641155443823,67.56756756756756,1.676256538633581,3.066928231668827
5711.T,三菱マテリアル,1.0,short,09:30,37,-0.056249114883447235,48.64864864864865,0.7717645716737691,-1.6298082316342029
5711.T,三菱マテリアル,1.0,short,10:00,37,-0.11575899931045715,37.83783783783784,0.6504017379244225,-3.0261010795042944
5711.T,三菱マテリアル,1.0,short,11:30,37,-0.19255052285499893,37.83783783783784,0.5586838036327701,-3.9371986121218385
5711.T,三菱マテリアル,1.0,short,13:00,37,-0.2100885130167991,48.64864864864865,0.5292244964378123,-3.6292526346101974
5711.T,三菱マテリアル,1.0,short,15:30,37,-0.2698964115544382,32.432432432432435,0.48567231496175584,-4.358970859147176
5711.T,三菱マテリアル,1.5,long,09:30,15,-0.023905913757298322,46.666666666666664,0.9058375372123028,-0.6007823004343361
5711.T,三菱マテリアル,1.5,long,10:00,15,-0.1561042975152708,46.666666666666664,0.5546556358695177,-4.1072921590933635
5711.T,三菱マテリアル,1.5,long,11:30,15,0.06683360825884277,53.333333333333336,1.1868239334481336,1.1437073341605573
5711.T,三菱マテリアル,1.5,long,13:00,15,0.21186837091640154,53.333333333333336,1.5838301755234472,2.821842103905196
5711.T,三菱マテリアル,1.5,long,15:30,15,0.1729877609180012,53.333333333333336,1.4300952576527097,2.229136718364382
5711.T,三菱マテリアル,1.5,short,09:30,15,-0.056094086242701735,46.666666666666664,0.7910669517842635,-1.4097070087255665
5711.T,三菱マテリアル,1.5,short,10:00,15,0.07610429751527076,53.333333333333336,1.3283840282939627,2.0023957663766554
5711.T,三菱マテリアル,1.5,short,11:30,15,-0.14683360825884284,46.666666666666664,0.6857399976685778,-2.512727937963416
5711.T,三菱マテリアル,1.5,short,13:00,15,-0.2918683709164016,46.666666666666664,0.5272842196797578,-3.887349745918882
5711.T,三菱マテリアル,1.5,short,15:30,15,-0.2529877609180013,46.666666666666664,0.5905435539425847,-3.2600243171331895
5711.T,三菱マテリアル,2.0,long,09:30,5,0.1912904420218564,40.0,4.199012575261038,7.683628401684416
5711.T,三菱マテリアル,2.0,long,10:00,5,-0.00815875873120484,40.0,0.973192356143129,-0.20393506958127766
5711.T,三菱マテリアル,2.0,long,11:30,5,-0.012931113024414742,40.0,0.9692482217898004,-0.18537049540729458
5711.T,三菱マテリアル,2.0,long,13:00,5,0.15912458345455294,40.0,1.2734718193350494,1.4476602692700962
5711.T,三菱マテリアル,2.0,long,15:30,5,0.4235715096377324,40.0,1.7957777707875882,4.046984386459296
5711.T,三菱マテリアル,2.0,short,09:30,5,-0.2712904420218565,40.0,0.05342727608582319,-10.897015676227493
5711.T,三菱マテリアル,2.0,short,10:00,5,-0.07184124126879521,60.0,0.7810957815940676,-1.7957325396719428
5711.T,三菱マテリアル,2.0,short,11:30,5,-0.06706888697558532,60.0,0.8474211047346514,-0.961448003865297
5711.T,三菱マテリアル,2.0,short,13:00,5,-0.239124583454553,60.0,0.6906509909437875,-2.1754725219550166
5711.T,三菱マテリアル,2.0,short,15:30,5,-0.5035715096377325,60.0,0.4902323270938455,-4.811338795455417
6501.T,日立,0.5,long,09:30,72,0.20303975318371012,56.94444444444444,1.6333572171309947,2.963960171862926
6501.T,日立,0.5,long,10:00,72,0.13123412647273802,59.72222222222222,1.3187046798566828,1.6560019181912191
6501.T,日立,0.5,long,11:30,72,0.008902800163985876,51.388888888888886,1.015367092849928,0.09134284268429982
6501.T,日立,0.5,long,13:00,72,0.1550103611386121,55.55555555555556,1.3115696256197509,1.5265963819698516
