regime,dow,n,mean,t,wr
Pre,Mon,36,-0.7383088505167075,-0.06723632771247261,52.77777777777778
Pre,Tue,42,-10.345666901438351,-0.921828970916597,38.095238095238095
Pre,Wed,43,10.53274564838719,1.1324472940236925,51.162790697674424
Pre,Thu,45,21.096020128599854,2.3775866574691684,66.66666666666666
Pre,Fri,45,16.767077652973708,1.8015194246274926,60.0
War,Mon,2,-80.60865134305428,-0.9407818443491933,50.0
War,Tue,2,-68.94357725527823,-0.5501734762164795,50.0
War,Wed,2,-120.2005180815674,-1.5819415492130795,0.0
War,Thu,2,-5.511936739641676,-0.32162932904355884,50.0
War,Fri,2,111.18532736600018,6.743627006173656,100.0
Post,Mon,6,-44.28592629117249,-1.7196843897792917,16.666666666666664
Post,Tue,5,-15.42684080402501,-0.9458187967980161,40.0
Post,Wed,5,145.65501677564163,2.8363691909125444,80.0
Post,Thu,5,-86.99173882375445,-2.0147194833724402,20.0
Post,Fri,4,-13.026314641025326,-0.43826457226461824,50.0
