regime,dow,n,mean,t,wr
Pre,Mon,36,19.314444914134732,1.0197181774118902,55.55555555555556
Pre,Tue,42,6.710331500441895,0.403081331775537,64.28571428571429
Pre,Wed,43,24.27432540827156,1.7516518108537034,58.139534883720934
Pre,Thu,44,33.41384856359769,2.912712096892671,68.18181818181817
Pre,Fri,45,23.011818949233902,1.7255749617430427,62.22222222222222
War,Mon,2,-240.9022208200662,-2.45654982174522,0.0
War,Tue,2,-38.2613234190593,-0.18946774904186955,50.0
War,Wed,2,-136.40972029813236,-0.8360130551115658,50.0
War,Thu,2,28.70852742299146,0.2518888899688135,50.0
War,Fri,2,-9.265345616577548,-0.2742507327126141,50.0
Post,Mon,6,-114.70388954835839,-1.9083772103563497,16.666666666666664
Post,Tue,5,48.335251382351615,1.0000685500662314,80.0
Post,Wed,5,274.4653467906679,4.181753674588736,100.0
Post,Thu,5,-89.37948396111551,-1.467461123139043,20.0
Post,Fri,4,-8.313644905484917,-0.1969972784889863,50.0
