regime,dow,n,mean,t,wr
Pre,Mon,36,19.895740076618623,1.6352253353888269,61.111111111111114
Pre,Tue,42,16.904490227247916,2.0193645903916795,61.904761904761905
Pre,Wed,43,13.635989736703271,1.732601871977154,65.11627906976744
Pre,Thu,44,14.588928497234049,2.1581565192892014,59.09090909090909
Pre,Fri,45,6.16905338380887,0.7831648350699161,60.0
War,Mon,2,-161.83598300925917,-11.658645586934556,0.0
War,Tue,2,28.95721559447839,0.3770704562503839,50.0
War,Wed,2,-17.765843810341188,-0.20101336559913094,50.0
War,Thu,2,33.90726555927759,0.3501706132547624,50.0
War,Fri,2,-119.18258705415074,-6.888812853024766,0.0
Post,Mon,6,-70.98226345492785,-1.5265145555124087,33.33333333333333
Post,Tue,5,63.66335661517519,1.780792796349642,80.0
Post,Wed,5,126.67280026193595,6.379258055832931,100.0
Post,Thu,5,-2.5290767572070383,-0.06788728527207928,80.0
Post,Fri,4,4.68319139736606,0.17370743938487418,50.0
