regime,dow,n,mean,t,wr
Pre,Mon,7,3.293739994504171,0.1202426576356505,57.14285714285714
Pre,Tue,6,28.076072121620737,1.5355679338844612,83.33333333333334
Pre,Wed,8,38.271946209420676,1.5338977200845314,75.0
Pre,Thu,8,-3.6154021763840083,-0.1310069556703858,50.0
Pre,Fri,8,61.729895912917556,3.0024110023321424,87.5
Post,Mon,34,-17.04832808622841,-0.6536508511669135,44.11764705882353
Post,Tue,41,4.1493262214573665,0.2029234903938165,60.97560975609756
Post,Wed,40,43.92853450377718,1.8797198607253036,57.49999999999999
Post,Thu,41,26.50966303783589,1.7128239246720878,65.85365853658537
Post,Fri,40,13.296896911065502,0.9374651371253379,57.49999999999999
All,Mon,44,-10.788812773214374,-0.5189398546121515,47.72727272727273
All,Tue,49,9.122194552902021,0.5257505410587048,65.3061224489796
All,Wed,50,42.866065718255044,2.2386751739737103,62.0
All,Thu,51,21.19076415370007,1.580957677102971,62.745098039215684
All,Fri,51,19.28914866393002,1.5583775708993486,60.78431372549019
