days,n,mean%,wr%,t,sharpe,h1_mean%,h2_mean%,h1_t,h2_t
1,32,1.418808147143018,65.625,2.4756634484772055,6.947313321870739,1.3716539457920551,1.465962348493981,1.8725887397782075,1.618156465451979
2,32,2.4872007128206377,71.875,3.0758203082398,8.63149933253606,1.5322399808918172,3.442161444749458,1.6645830419023988,2.6141494407288346
3,32,4.076450981597368,78.125,4.176623635675946,11.720621008651152,3.3751886449464203,4.777713318248315,3.082932524040967,2.922113187947074
4,32,5.462664136060172,84.375,5.288041896037834,14.839530766410029,4.343276784487316,6.582051487633029,3.804777905139066,3.8383016002229957
5,32,6.825073946839441,90.625,6.507451964731758,18.261491784686385,5.432252202892995,8.217895690785888,3.885197243938565,5.380183665112921
6,32,7.821880327630187,90.625,6.0270823647147065,16.913457937972304,6.565684883331686,9.078075771928688,3.405659706479266,5.211361051249864
7,32,8.830091295761134,87.5,6.167744074402829,17.30818888179041,6.69299453671502,10.96718805480725,2.9272141651096013,6.7563238171506645
8,32,10.76200842524869,90.625,6.54582426547201,18.36917378657059,8.062996447177994,13.461020403319385,3.3399371446975663,6.436730968252283
9,32,12.243448454554409,87.5,7.570590064543765,21.244915677928194,8.986377251004457,15.50051965810436,3.7934232490259876,7.968138656323451
10,32,13.613092103048928,90.625,8.114744577287599,22.771945492043947,9.637433941172613,17.588750264925242,3.744271999577232,10.328854004931317
11,32,14.31169167674901,90.625,9.093552148605777,25.518717426633636,10.409111966787226,18.2142713867108,4.276286051246836,12.056764156070678
12,32,15.721475703540976,90.625,9.107271619211376,25.557217595534187,10.857638950362299,20.585312456719656,4.3552551112807265,11.98956724853709
13,32,16.41745248508554,90.625,8.456931588599504,23.732205410943912,11.338146531606064,21.496758438565017,3.8067774151707416,11.894562852085695
14,31,16.942201091904867,93.54838709677419,8.010233907699835,22.838344601701547,12.188149657839542,22.013189288241215,3.6430235672906894,11.833703445094727
15,30,16.670766084174826,93.33333333333333,7.088443052146997,20.544259762514216,13.413760217733092,20.39305850296538,3.5264586493710057,8.80679862267909
16,29,17.664014626654694,93.10344827586206,7.160078376882376,21.10663732467115,15.886769924110345,19.851392722093884,4.05870666814994,7.304769128615819
17,28,18.069911666891095,89.28571428571429,6.8734711609173225,20.62041348275197,16.695082706115087,19.903016947925764,4.176703135167686,6.294439115470315
18,27,18.065443319943913,85.18518518518519,6.534011104871833,19.96173365317148,17.092712567621874,19.48032441423051,4.4128960418411705,4.914334664615839
19,26,18.480308335287226,88.46153846153845,6.839556068513003,21.29322830061232,18.348669735717657,18.69093009459854,5.069994938703057,4.431182272529163
20,25,17.508171247199385,88.0,6.231853812458485,19.785522473609884,17.97853908304925,16.671961761244074,4.8606985223052535,3.7245650688888294
