sym,name,n,sharpe,tstat,mean_bp,wr
5706.T,三井金属,153,1.1371344933408112,0.8860480588197892,6.311726337954788,54.90196078431373
5711.T,三菱マテ,132,1.0334221403730548,0.747936033754144,3.108920056163096,48.484848484848484
8031.T,三井物産,96,0.5149798817036859,0.31785248363984214,1.976269142088017,43.75
5713.T,住友鉱山,135,0.25815883164921005,0.18895291697907912,1.325081964572288,48.148148148148145
8058.T,三菱商事,85,-1.4666709708308565,-0.8518083416259709,-3.5164576958572322,48.23529411764706
6920.T,レーザー,194,-1.5483762315970944,-1.3585545791004865,-5.979194137074692,44.84536082474227
8035.T,TEL,161,-1.9932483529268326,-1.5932138807929435,-5.65395859080946,45.962732919254655
6857.T,アドバン,186,-2.0253218591288618,-1.7400040204183223,-8.046386165723417,46.236559139784944
6503.T,三菱電機,129,-2.422366060797031,-1.7331428419738528,-6.426991907374693,40.310077519379846
7267.T,ホンダ,84,-3.1229058843506654,-1.8030105529837226,-7.084628448162675,34.523809523809526
7203.T,トヨタ,98,-3.4002963940751165,-2.1204573533519926,-8.018894879797891,36.734693877551024
6146.T,ディスコ,188,-3.474036564775984,-3.0006340930665645,-13.07088285948055,39.361702127659576
