combo,k,n,full_sharpe,full_t,h1_sharpe,h1_t,h2_sharpe,h2_t
三菱マテ+三井金属,2,285,1.0619030381045147,1.1292940057624383,-1.370859450056813,-1.0290508412113253,2.4913566250088355,1.8767379988510084
三菱マテ+三井金属+三井物産,3,381,0.939402080604096,1.1550844442873085,-0.6998896887892706,-0.6077236329186395,1.8624824453718134,1.6214688179237642
三井金属+三井物産,2,249,0.936667925790162,0.9310758284930375,-0.9024770017518651,-0.6330626852712854,1.9717246490076354,1.388676230218245
三菱マテ+住友鉱山+三井金属,3,420,0.781392820668884,1.008773793765542,-1.2881169686771603,-1.1758845340827602,1.827034404700856,1.667846594654469
三菱マテ+三井物産,2,228,0.779967958130987,0.7418975124480726,1.0284021000658365,0.6916957545629409,0.765316748000037,0.514746464883388
住友鉱山+三井金属,2,288,0.7425916572550683,0.7938638742071797,-1.6941108923746644,-1.2806274613111635,1.9578121333968748,1.479966862500841
三菱マテ+住友鉱山+三井金属+三井物産,4,516,0.7381313787194864,1.0562293917237635,-0.7786037507083183,-0.7878183170197003,1.501672239370835,1.5194441270801555
三菱マテ+三井金属+三菱商事,3,370,0.7005628512731376,0.8488827254992498,-0.9285410651152848,-0.7955852250422778,1.666842662393393,1.4281709710982686
住友鉱山+三井金属+三井物産,3,384,0.6933026840183101,0.8558314134538791,-0.9834922072679939,-0.8584623781342438,1.523300029741297,1.329645274746281
三菱マテ+三井金属+三菱商事+三井物産,4,466,0.6650034792706029,0.9043084843530541,-0.43443986836438603,-0.41774125155554354,1.2945083853513284,1.244751212824325
三井金属+三菱商事,2,238,0.5988846079299789,0.5820112232338325,-1.552111538078821,-1.0665866357064777,1.913798544779466,1.3151322577131848
三井金属+三菱商事+三井物産,3,334,0.5766362801755232,0.6638575921565413,-0.5225925070982087,-0.42542317426745496,1.2060186243840516,0.981775024406758
三菱マテ+住友鉱山+三井金属+三菱商事,4,505,0.5610941180764779,0.7942937306953055,-1.5200128077188413,-1.5200128077188413,1.66009086988091,1.6633814397498445
三菱マテ+住友鉱山+三井金属+三菱商事+三井物産,5,601,0.5542558504001804,0.8559477439392891,-1.1475068180901211,-1.2520325843752147,1.4359380305582783,1.5693458933488662
三菱マテ+住友鉱山,2,267,0.5241030283445957,0.539475876644989,-1.4272166978543244,-1.036848892746804,1.3899603737147654,1.0135718677321717
