ma,slope,fwd,n_tot,per_sym_mean%,pooled_mean%,pooled_base%,edge%
75,all,20,472,5.5780907796196875,7.6048425444749155,4.424383591780864,3.1804589526940514
100,all,5,361,3.253510278692071,3.778260393388049,1.2150112385097949,2.563249154878254
75,all,10,510,2.9930922848957913,4.215282338290851,1.98691112432289,2.228371213967961
100,all,10,355,4.706514539482507,5.129319594625967,3.0147728059993764,2.1145467886265905
75,up,10,302,2.6202961106692375,4.147055609089343,2.24132212052721,1.9057334885621335
10,up,20,597,4.626023114377588,5.192555172600528,3.2996645143272456,1.8928906582732825
10,all,20,1665,5.220690941906866,4.938866904233353,3.065888508205318,1.872978396028035
10,up,5,639,1.6489290859800967,1.5640820770217756,-0.14980233852351885,1.7138844155452944
100,up,1,226,2.878267484160396,1.9261186689177807,0.2984275371682957,1.627691131749485
20,up,10,703,2.9745211894301002,3.6725804299643316,2.1068994452322523,1.5656809847320794
10,all,5,1830,1.8004473032026136,1.7188735076610193,0.28781230536882474,1.4310612022921947
100,all,20,321,7.3447395713201695,7.763082644926287,6.334230579842301,1.4288520650839862
75,all,5,512,0.9526753996829816,2.291791149975351,0.8883704247429727,1.4034207252323785
10,all,10,1801,2.914591857306968,2.7175361874629913,1.4159063864231523,1.301629801039839
100,up,5,223,3.5327030798420185,2.631486371032114,1.4545410587462182,1.176945312285896
