label,N,mean,sharpe,t,wr,pf,sum,mdd,h1,h2
ORB15 both,5851,6.142190719805442,0.1337834565613865,0.6446399127841473,48.50452914031789,1.086228983818088,35937.95790158164,15005.35748882583,0.22660253794003996,-0.17198266815086358
ORB30 both,5599,7.755709430924513,0.1664488159074288,0.7845771820733493,48.93731023397035,1.120982139080164,43424.21710374635,11455.161862022069,0.2515409599560013,-0.07101979592514401
ORB60 both,5144,9.56484277622645,0.19832786299042857,0.8960535028006106,48.639191290824265,1.1706747906407045,49201.55124090886,15332.149118260386,0.31001080096227385,-0.17020097232758327
Gap Fade 100bps/30m,3204,-2.743276167806212,-0.25063196128190457,-0.8936808172164997,48.72034956304619,0.9587196410474604,-8789.456841651103,16610.97869560364,0.26183294530328166,-0.7578315507383617
Gap Fade 50bps/60m,4401,-0.8646212223582659,-0.07238315666886438,-0.3024913310217005,49.375142013178824,0.9875450512155937,-3805.197999598728,9222.665647362188,0.0787774912591408,-0.21759167502654278
OpenSpikeFade 15/80/60,2715,-13.320110898626785,-1.4582933659447557,-4.786626564298987,46.408839779005525,0.7775401881674979,-36164.10108977172,36313.144472343294,-1.198987554986193,-1.7199248479717129
Lunch Reversal 30bps,1123,-54.030875316954855,-2.886361500139765,-6.093128409976375,40.160284951024046,0.41309103251167606,-60676.672980940304,60735.916352248,-2.8051928371145687,-4.119250423064926
M→A Follow 50bps,4573,-12.382349914010952,-1.0453514357117812,-4.453102076087421,45.418762300459214,0.7834779978452754,-56624.48615677208,57378.96317579931,-0.875765365424471,-1.4111403708947372
M→A Reverse 50bps,4573,-3.6176500859890495,-0.3054117948171043,-1.301026478846883,48.1084627159414,0.931194964527027,-16543.513843227924,18822.345008456054,-0.23892218229084636,-0.44041229799215453
LastHour Follow 50bps,4727,-5.0773710655762585,-0.5642176113524463,-2.443650934145261,45.46223820605035,0.8261186440249064,-24000.733026978975,27130.6032865921,0.0027556169937759402,-2.2513602614934385
LastHour Reverse 50bps,4727,-10.922628934423741,-1.213765849979341,-5.256872514181178,42.415908610112126,0.6627516849602917,-51631.266973021025,52670.53761904221,-1.348539912927608,-1.2852676047501304
VWAP MR σ1.5/30m,17783,-9.973014643925001,-2.727406299159161,-22.911424030736494,39.86953832311758,0.5966799404212801,-177350.1194129183,177401.03260180345,-2.577786235693306,-2.883541388380312
Intraday Z5m >2σ/15m,6081,-9.301536067528334,-2.521755335744247,-12.387685751809817,40.94721262950173,0.5686002436847883,-56562.64082663979,56814.07906069215,-2.3372621464454277,-2.8435407916086617
Disp Semi 11:00/100bps,1306,-5.507580891430633,-0.5209908818016522,-1.1860457471137136,47.24349157733537,0.9125904667532323,-7192.900644208406,12765.236450446639,-0.10562120319039946,-0.912529957620858
Disp NonFerrous 11:00/100bps,1075,49.69128742687834,0.48361280460818357,0.998853401464565,47.72093023255814,1.7798978800426046,53418.133983894215,5056.439576483342,-0.4043874769902852,0.7112682241349373
