sym,name,n,sharpe,tstat,mean_bp,wr
6146.T,ディスコ,146,2.170836202815909,1.652354445286949,20.39525786791399,55.47945205479452
5706.T,三井金属,170,1.7831019569400628,1.4645370633528176,18.589841664615154,57.05882352941176
7011.T,三菱重工,147,1.22149581964918,0.932932842435749,9.277171587093045,55.10204081632652
9101.T,日本郵船,140,0.9957526177447605,0.7421901806835492,4.303878857859404,46.42857142857143
8058.T,三菱商事,149,0.7803220935239081,0.6000214377009779,4.248119730810626,48.99328859060403
5711.T,三菱マテ,178,0.6228701938474864,0.5234886619361695,3.612982488898208,53.93258426966292
6920.T,レーザー,148,0.5796402315658316,0.444210795231962,6.287489631647355,52.702702702702695
8031.T,三井物産,147,0.48450913188008304,0.37004996195630374,3.0438188134261885,52.38095238095239
6857.T,アドバン,171,0.40123761371675454,0.33052127825177235,3.90784236560044,50.877192982456144
6503.T,三菱電機,153,0.24547810443979182,0.1912749979842977,1.3637688294754289,50.326797385620914
5713.T,住友鉱山,161,0.22392775220379033,0.17898662882724947,2.1010174714097154,49.68944099378882
7267.T,ホンダ,120,-0.11964094194396394,-0.0825600935228076,-0.6290676276138588,44.166666666666664
5020.T,ENEOS,157,-0.36349519438323197,-0.28691168062921735,-1.8402668756228928,51.59235668789809
8035.T,TEL,149,-0.39140016075046924,-0.30096352406135607,-2.8980020506404265,50.33557046979866
7203.T,トヨタ,127,-0.8132782372815357,-0.5773520884825529,-5.366182511574841,51.96850393700787
