sym,name,or_min,dir,stop,n,sharpe,t,h1_sharpe,h2_sharpe,h2_t
6146.T,ディスコ,60,long,orrange,146,2.170836202815909,1.652354445286949,1.8562064404897143,2.747681922231606,1.4788618854885127
5706.T,三井金属,30,long,orrange,195,2.144100350892483,1.8860888305827683,1.7097195248660284,2.563053246058056,1.5983445184680092
6146.T,ディスコ,60,long,none,146,2.113666756503945,1.608839329487041,1.6289345829745518,2.9966587472807253,1.6128666019573095
5706.T,三井金属,30,long,none,195,1.975617139054375,1.7378801406973852,1.5052347257639125,2.3906564852562604,1.4908362495496856
5706.T,三井金属,60,long,none,170,1.870226046289786,1.5360957633289518,3.3488665020076005,1.2697074593999067,0.737416521395301
5706.T,三井金属,60,long,orrange,170,1.7831019569400628,1.4645370633528176,3.5531175779971265,1.0645697131707783,0.6182772959687994
6146.T,ディスコ,60,both,orrange,292,1.6195349092243143,1.7433374875682235,1.1652493793512617,2.181517522888851,1.6604846426188178
5706.T,三井金属,15,long,orrange,208,1.5470283767939583,1.4054962041220784,3.7167904451165463,0.7448711361373285,0.47851719124072306
6146.T,ディスコ,60,both,none,292,1.5200321532981442,1.6362284135158913,1.062817035217492,2.083805238993071,1.5861099263482399
8058.T,三菱商事,30,long,orrange,164,1.4799052776182327,1.1938659682529722,1.7576030234226976,1.275587672720345,0.7276406771891744
6146.T,ディスコ,15,short,orrange,197,1.4630216325829024,1.2935511024763666,1.6455054341750177,1.2819057274612595,0.8034769361761817
6146.T,ディスコ,30,long,none,177,1.3969324012697892,1.1707434953975948,2.834132495737962,-0.22656616648494074,-0.13464486318388935
6146.T,ディスコ,30,long,orrange,177,1.3846858857968691,1.1604799147703757,2.399069811215017,0.08695655424425958,0.05167697159204483
8058.T,三菱商事,30,long,none,164,1.3527062537927128,1.0912522482825364,2.0156087489532153,0.9592287475665049,0.5471782695815032
5711.T,三菱マテ,30,long,orrange,200,1.3232775017461609,1.1788692950381643,0.3007345206061746,2.004643206261976,1.2628065217105586
6857.T,アドバン,15,long,orrange,204,1.3007215161894925,1.170305207760351,1.2980400296814392,1.297223239742792,0.825305113469433
6146.T,ディスコ,15,both,orrange,315,1.286224116457062,1.4380422793487984,2.076071420815577,0.3765854216656453,0.29818910859508635
7011.T,三菱重工,60,long,orrange,147,1.22149581964918,0.932932842435749,2.65999001282556,-0.6938576559186987,-0.3759983802634046
9101.T,日本郵船,30,long,orrange,157,1.1709886501553652,0.924277203124732,1.8568841804919256,0.48791182949005585,0.2731835994864522
7203.T,トヨタ,60,short,orrange,150,1.1539958952167653,0.8903271623722504,-1.760866797095705,3.805814183862706,2.0762418545818377
7267.T,ホンダ,60,short,none,135,1.1322186090354065,0.828699167363505,-4.244291998805456,5.370525035710057,2.7897862628097476
6146.T,ディスコ,60,short,orrange,158,1.1033995399471246,0.8736974569695007,0.7508205726198596,1.4233458443321882,0.7969364905030971
6146.T,ディスコ,15,long,none,189,1.071719782084412,0.9281365570234235,2.6653001547975292,-0.6136626900209293,-0.37678295837950665
7267.T,ホンダ,60,short,orrange,135,1.0713871633316578,0.784175108138615,-4.108397140421204,4.856149391986871,2.5225874144213347
6146.T,ディスコ,15,both,none,315,1.0673528788677424,1.1933367965641855,1.6144605029510863,0.48404597987156944,0.38327888163735
7203.T,トヨタ,60,short,none,150,1.0666089983412532,0.8229067077188335,-1.6383397496087253,3.5065487255290644,1.9129791622366508
6146.T,ディスコ,30,both,orrange,319,1.0268497420283182,1.1553191431417318,1.567113077414822,0.3789699965177615,0.301970521278256
5706.T,三井金属,15,long,none,208,0.9991443561513924,0.9077361611498167,3.5183036048650966,0.13999505078783675,0.08993507096809744
9101.T,日本郵船,60,long,orrange,140,0.9957526177447605,0.7421901806835492,1.9681343386238366,-0.12110212353157668,-0.06382642330714272
5711.T,三菱マテ,15,long,orrange,219,0.9820688251094434,0.9155113061340855,0.02670918883423292,1.6015035108763866,1.0580933070304677
5711.T,三菱マテ,15,short,orrange,195,0.9660975768556747,0.8498416821778405,0.5045103426007722,1.2675910278560754,0.7904818887976761
6146.T,ディスコ,60,short,none,158,0.9659772456058154,0.7648832833632025,0.8020582578965604,1.1092452103885733,0.6210704085690413
