combo,k,n,full_sharpe,full_t,mean_bp,h1_sharpe,h2_sharpe,h2_t
ディスコ+三井金属,2,341,2.1507693566015913,2.5019046787461874,22.269195707899414,2.080961890467268,2.2333363363127665,1.839720792391409
ディスコ+三井金属+三菱商事,3,505,1.952453179280197,2.763923680210454,17.836518786596606,2.319228398883237,1.6533121886647735,1.6565893220860013
ディスコ+三井金属+三菱重工,3,488,1.9107914959859793,2.6590281827161015,18.355614671508967,1.9465727309948386,1.8965163124982325,1.8661700935503371
ディスコ+三井金属+ホンダ,3,476,1.9093698015000897,2.624177789983165,17.23796076877198,1.1727601300162924,2.50441064663713,2.4338496675799197
ディスコ+三井金属+トヨタ,3,491,1.8989317509735861,2.650634411387913,17.1481118670271,1.244562744874653,2.432373904232194,2.403242626960006
ディスコ+三井金属+日本郵船,3,498,1.8923633938131552,2.66022848455799,16.963723435747088,2.2076886575265258,1.6144896822293582,1.6048508517114732
ディスコ+三井金属+三菱マテ,3,541,1.8864224646351109,2.7639954372638553,16.999495806380697,1.6384934828763886,2.104415994026967,2.182307619090119
三井金属+三菱商事,2,359,1.8579110587409753,2.2175421000342546,16.795917377481455,2.7552327876732456,1.350093034146032,1.1410368720878512
ディスコ+三菱商事,2,310,1.8371588965879975,2.0376392459058508,14.165657740493648,1.670550041520633,2.05660393929855,1.6129326825500958
ディスコ+三井金属+アドバン,3,545,1.8361987294301092,2.7003351106034903,18.908643688806652,1.76294945403867,1.9079143469671838,1.9858202129876077
ディスコ+三井金属+三菱商事+三菱重工,4,652,1.8057331515472697,2.904538241527656,15.906727316769881,1.9853669975773034,1.666988670526799,1.89601241981848
ディスコ+三井金属+三菱商事+ホンダ,4,640,1.805453020986243,2.877238804655956,15.029555588707888,1.4500394195699835,2.1197846897811754,2.3887267329025716
三井金属+三菱重工,2,342,1.801058761223823,2.098169960537732,17.484889798189865,1.8745191187742931,1.8309326220835802,1.50823893362883
ディスコ+三井金属+三菱商事+トヨタ,4,655,1.799410062554649,2.9010186740294386,15.01277737030213,1.5625231232787804,2.0107842388477275,2.2940460095795387
ディスコ+三井金属+三菱商事+三菱マテ,4,705,1.7963489439747051,3.0045884339067728,15.050175151900063,1.6903292870389544,1.9086734798245624,2.2590129549881817
