or_min,cutoff,hold,n,sharpe,tstat,mean,wr
200,11,30,593,-0.9117766584219306,-1.3986709226720615,-4.711549305754879,47.5548060708263
200,15,30,717,-1.1637019221875715,-1.9629130354709476,-5.787202355354865,46.72245467224547
200,13,30,674,-1.167714855750309,-1.9097058709841097,-5.919967243549179,46.88427299703264
150,15,close,834,-1.2556380956374953,-2.284268960807945,-12.934832154089985,46.882494004796165
150,13,close,793,-1.2669862865673789,-2.2475441805140677,-13.301953915191042,46.658259773013874
0,15,close,1233,-1.3092401842014243,-2.8960135828047306,-12.029554910283665,47.688564476885645
50,15,close,1231,-1.309722129773465,-2.8947290648473705,-12.04263210160207,47.68480909829407
0,13,close,1185,-1.3119569703069296,-2.8449752725410677,-12.230369233234015,47.59493670886076
50,13,close,1183,-1.3124680833929603,-2.8436808473514135,-12.244316529226289,47.590870667793745
150,11,close,698,-1.3407918852325407,-2.2314584969010793,-14.46502881299757,46.561604584527224
0,11,close,1061,-1.3544965932589323,-2.779299431711511,-12.88295126348641,47.3138548539114
50,11,close,1059,-1.3551232106313682,-2.777963234151805,-12.89976412016192,47.30878186968839
100,15,close,1125,-1.3653993150940205,-2.884932601387784,-12.990805536362192,47.199999999999996
100,13,close,1077,-1.3706004859351932,-2.833468981580112,-13.25459848227485,47.07520891364902
100,11,close,961,-1.4239246330489892,-2.7806634382652953,-14.07019304801586,46.82622268470343
200,11,90,592,-1.5654088464116012,-2.399321063857763,-12.659352774704962,47.12837837837838
200,15,90,711,-1.6343089840961058,-2.745166548319079,-12.571309429165664,46.69479606188467
200,13,90,673,-1.6788045702456622,-2.7435154139925495,-13.161234660000572,46.65676077265973
200,15,close,514,-1.6847644696047397,-2.406137734939433,-19.086637280671436,44.94163424124514
200,11,close,426,-1.7031901353644128,-2.214459093588297,-20.31039376608295,44.60093896713615
150,11,30,936,-1.7531004885274641,-3.3786598018139857,-8.560892303928854,44.97863247863248
200,13,close,485,-1.7615844380845846,-2.443847287482824,-20.41877412321973,44.329896907216494
0,11,30,1357,-1.7757134900527156,-4.1206198231128,-7.878338754413707,45.76271186440678
50,11,30,1355,-1.7832399274982855,-4.135034685310488,-7.915932455998007,45.75645756457565
100,11,30,1244,-1.7842109208866108,-3.9642050740917196,-8.147072683917159,45.659163987138264
150,13,90,1064,-1.790996063683228,-3.680147071410402,-12.721397442523562,44.83082706766917
150,15,90,1117,-1.8185329124649732,-3.828666000381039,-12.72375441502931,44.67323187108326
0,11,90,1356,-1.8198312666401337,-4.221440736975023,-12.01360661510626,44.83775811209439
150,11,90,935,-1.8210343343535675,-3.507709906064745,-13.359181758278023,44.598930481283425
50,11,90,1354,-1.823637953399262,-4.227150242445393,-12.046253170494563,44.8301329394387
200,11,60,592,-1.8260227404234075,-2.798767129893415,-12.841984301859805,47.97297297297297
0,13,90,1526,-1.8483159146298496,-4.548342906487198,-11.8598567158089,44.75753604193971
50,13,90,1524,-1.8517876515329499,-4.553899026992874,-11.888659823549823,44.750656167979
100,11,90,1243,-1.867862815968621,-4.148396608216103,-12.725675626035192,44.81094127111826
200,15,60,714,-1.869438804783551,-3.1467344068128624,-12.437998014706434,46.778711484593835
0,15,90,1587,-1.8706668124729615,-4.694449099251893,-11.866066741812219,44.54946439823566
50,15,90,1585,-1.8740488124004573,-4.699971900349303,-11.893769174776997,44.542586750788644
100,13,90,1403,-1.8764640843813847,-4.42760451390115,-12.41407699282416,44.90377761938703
100,15,90,1464,-1.898496954991656,-4.575938435887774,-12.397716251273161,44.67213114754098
150,13,30,1065,-1.900591769342721,-3.9071796263891523,-9.038113691097712,44.60093896713615
200,13,60,673,-1.90371107954077,-3.111059371100133,-12.945322874492645,46.95393759286775
150,15,30,1123,-1.9213903428971277,-4.056067850265408,-9.0095658188251,44.701691896705256
100,13,30,1404,-1.935215703458274,-4.56785871900529,-8.629496158699622,45.15669515669516
0,13,30,1527,-1.9446470151580444,-4.78696254586551,-8.435255464624406,45.05566470203012
50,13,30,1525,-1.9516195284489375,-4.800979002894303,-8.469388775488111,45.049180327868854
100,15,30,1470,-1.9568526849673331,-4.726248249108996,-8.62345202754229,45.30612244897959
0,15,30,1595,-1.959849628203567,-4.930634659012688,-8.409311362082452,45.26645768025078
50,15,30,1593,-1.966600379853974,-4.944515426804436,-8.44195506004985,45.26051475204017
0,11,60,1356,-2.105142341177005,-4.883273410607307,-12.297555366656503,45.72271386430678
50,11,60,1354,-2.1086281346181663,-4.887750835555715,-12.325079776414768,45.71639586410635
0,13,60,1526,-2.181307708593123,-5.367770392883436,-12.334091657837872,44.69200524246396
50,13,60,1524,-2.184533244281528,-5.372183904203027,-12.358593707309689,44.68503937007874
100,11,60,1243,-2.185598562036441,-4.854066146700508,-13.164138106084613,45.29364440868866
150,11,60,935,-2.1924932781295983,-4.223220971506606,-14.214182724322185,44.49197860962567
0,15,60,1594,-2.2083899237032765,-5.554176096463247,-12.322652803091712,44.54203262233375
50,15,60,1592,-2.211525793386792,-5.558572446140329,-12.346093912190677,44.53517587939699
150,13,60,1064,-2.2135740835904962,-4.548462359164825,-13.83223450077303,43.890977443609025
100,13,60,1403,-2.2412552305264493,-5.288346234857418,-13.05291575891618,44.47612259444049
150,15,60,1121,-2.244760361576586,-4.7344825565371735,-13.795058038574327,43.621766280107046
100,15,60,1469,-2.2725686960020934,-5.486907611389725,-13.047048881456455,44.24778761061947
