sym,or,exit,vr,dir,N,mean_bps,wr,pf,sharpe,t
5711.T,30,1130,2.0,long,15,28.19350404040059,66.66666666666666,2.8008773462148326,6.176228970342494,1.5068455756760208
5711.T,30,stop_1130,2.0,long,15,28.19350404040059,66.66666666666666,2.8008773462148326,6.176228970342494,1.5068455756760208
5711.T,30,stop_1130,1.3,long,39,24.311681407333758,56.41025641025641,2.733567430598751,5.834092795499011,2.2951198321874564
5706.T,15,1130,2.0,long,21,60.08165451566602,66.66666666666666,3.3740234735042844,7.5804452515313825,2.188286053274432
5706.T,60,1130,2.0,long,17,45.40439355471805,52.94117647058824,3.413809564640998,7.079319667536875,1.838720481443771
5706.T,60,stop_1130,2.0,long,17,45.40439355471805,52.94117647058824,3.413809564640998,7.079319667536875,1.838720481443771
5713.T,15,stop_1530,1.0,short,68,10.362515627749113,50.0,1.206063317437678,1.115011086338312,0.5792064259758034
5713.T,15,1130,1.5,short,20,4.541104632690756,40.0,1.1633302891472659,0.9573710172996485,0.26970872954152203
5713.T,15,1530,1.0,long,66,11.673253998481337,53.03030303030303,1.1807350269185426,0.9433548017544195,0.482777211309837
8035.T,15,1130,1.0,long,57,16.941160399815182,54.385964912280706,1.5386288378591513,2.540183489336392,1.2080982252246857
8035.T,15,1130,1.0,both,107,16.68618200594089,53.271028037383175,1.5422775695165711,2.519735308731634,1.6418993849910593
8035.T,15,1130,1.0,short,50,16.3955066369242,52.0,1.5466394773027186,2.4962414787812914,1.111914329553991
6857.T,15,1130,1.5,long,23,80.51905579421422,73.91304347826086,3.6069165037474287,7.555352431062669,2.2825398849276777
6857.T,15,stop_1130,1.5,long,23,76.81006231539975,73.91304347826086,3.2202201468858225,7.032359298860202,2.1245389584735443
6857.T,15,1130,1.3,long,37,55.58469663441939,64.86486486486487,2.726447623881325,5.883053745601842,2.254256899720878
6146.T,15,stop_1530,1.3,short,17,93.34514684166436,64.70588235294117,6.0305350318470206,10.17983960335325,2.6440223715749527
6146.T,15,1530,1.3,short,17,93.34514684166436,64.70588235294117,6.0305350318470206,10.17983960335325,2.6440223715749527
6146.T,30,1530,1.3,short,20,81.35582463173164,75.0,5.0971140395417684,9.94712097612629,2.80228387175747
4063.T,60,1530,1.5,long,21,44.31979792057713,66.66666666666666,2.8912895359859703,6.538022307642479,1.8873644696425818
4063.T,60,stop_1530,1.5,long,21,44.31979792057713,66.66666666666666,2.8912895359859703,6.538022307642479,1.8873644696425818
4063.T,60,1530,1.3,long,28,41.222316596391764,64.28571428571429,2.7614375589835762,6.039635824239531,2.0132119414131773
6963.T,15,1130,2.0,short,15,26.764108407785578,46.666666666666664,1.5272672624189183,2.562983890766759,0.6253040414912988
6963.T,15,stop_1130,2.0,short,15,21.366751251634387,46.666666666666664,1.3804797151702035,1.993731474263579,0.48642067279340334
6963.T,60,1130,1.5,long,17,9.952932040717041,41.17647058823529,1.3728460907636955,1.4039026877181207,0.3646373870781025
