label,n,mean,median,sharpe_trade,t,wr,mr,stop,time,eod,avg_hold_bars,h1_n,h1_sharpe,h1_mean,h2_n,h2_sharpe,h2_mean
電線: 古河/住電,345,-19.274776956055998,-16.573999531874563,-5.284781334117113,-6.183527542693336,33.33333333333333,106,4,122,113,7.843478260869565,172,-6.319217252627264,-18.54660270300294,173,-4.719092760137672,-19.998742109380423
半導体: アドバン/レーザー,322,-17.673329540207106,-15.250169886877025,-6.7878386928151615,-7.67289364781635,33.22981366459628,99,4,122,97,8.059006211180124,161,-8.79307315625836,-23.296435713087195,161,-4.805523993734986,-12.050223367327018
半導体: ディスコ/レーザー,337,-15.819707508448476,-13.292679587697602,-7.203646972553926,-8.33042389940867,32.34421364985163,102,2,117,116,7.887240356083086,168,-8.548906229584656,-17.12119651028895,169,-6.129372655106421,-14.525919624962087
半導体: ディスコ/ローツェ,271,-18.736139074880658,-13.797697935113009,-7.2092917098926,-7.47613222452074,36.162361623616235,88,3,102,78,7.948339483394834,135,-7.842297525285842,-19.7816952372257,136,-6.626061468630197,-17.69827082549403
重工: MHI/IHI,294,-18.067974203743415,-13.458943563515035,-7.749074133028917,-8.369956684816685,26.87074829931973,106,3,120,65,8.486394557823129,147,-6.916134506644761,-20.33160411235277,147,-10.678885070411129,-15.804344295134051
半導体: TEL/レーザー,301,-16.116437467717144,-12.19900400632891,-8.258017929925503,-9.02524081801169,29.900332225913623,106,3,111,81,7.996677740863787,150,-8.596641127147327,-16.300727356604263,151,-7.946431971585095,-15.93336804167034
半導体: TEL/ディスコ,327,-14.336654242017717,-12.738514883953325,-8.88210316785811,-10.117877552822142,26.605504587155966,108,4,117,98,7.966360856269113,163,-11.543143236029776,-15.577052447769091,164,-7.135204068990613,-13.103819439959954
商社: 住友商/三菱商,280,-17.07414949835326,-13.67094432504468,-9.649507173665226,-10.171473655638687,12.857142857142856,99,7,116,58,8.25,140,-8.505943659488766,-12.903355987269176,140,-10.866317817477055,-21.24494300943735
非鉄: 三菱マテ/三井金,343,-15.064014059462734,-14.08793140633037,-9.670856198358909,-11.282665564752062,21.574344023323615,118,1,123,101,8.043731778425656,171,-12.999650046408657,-13.110470828279855,172,-8.72705271114852,-17.006199481161993
電機: 日立/三菱電,267,-17.110508364756797,-13.359144831727859,-10.330138364958676,-10.63313919002197,21.722846441947567,87,0,105,75,8.168539325842696,133,-10.304494640325704,-18.154718988787124,134,-10.425390787729972,-16.074090357323705
自動車: トヨタ/ホンダ,270,-17.01542908772171,-14.707946710168446,-10.425888364522693,-10.791819728857941,12.222222222222221,93,2,114,61,8.333333333333334,135,-10.873364327386254,-13.942317793295627,135,-10.575874457342646,-20.088540382147794
非鉄: 三菱マテ/住友金鉱,329,-14.627828567563045,-13.573124956706383,-10.700745175423208,-12.226768814934898,20.66869300911854,114,0,128,87,8.164133738601823,164,-13.403633884203584,-15.859472659462392,165,-8.795098968880028,-13.40364898531157
不動産: 三井不/三菱地,280,-16.143690100716654,-12.802119542680032,-11.776478727857407,-12.413498532183871,18.571428571428573,113,2,109,56,8.225,140,-9.72052648959601,-15.638457615361261,140,-15.404270298807628,-16.648922586072047
ビール: アサヒ/キリン,332,-14.971815718812529,-13.001874905625016,-12.111302260369854,-13.901434391382987,14.759036144578314,128,1,123,80,7.927710843373494,166,-11.176237441069366,-14.398952910695915,166,-13.166613020345828,-15.544678526929143
医薬: 武田/第一三共,286,-14.39242364535006,-11.911758133653624,-12.620517933479697,-13.44497269178176,18.53146853146853,101,2,105,78,8.213286713286713,143,-10.836641449910603,-14.25164078911799,143,-15.569757502474102,-14.533206501582125
商社: 丸紅/三井物産,283,-15.20120751170846,-13.840039574858633,-13.032994379336525,-13.811382573515273,11.307420494699647,100,2,110,71,8.23321554770318,141,-12.332462306001363,-13.857617672092028,142,-13.763645655268625,-16.535335451045906
通信: NTT/KDDI,388,-13.235272165864297,-11.274947472208758,-14.039525547628017,-17.42079715315771,11.597938144329897,176,1,126,85,7.662371134020619,194,-16.69533764369257,-13.930112600869071,194,-12.08149817329888,-12.54043173085952
海運: 郵船/川崎汽船,287,-14.490530053082232,-11.518481001659651,-15.151049791274849,-16.169009023510647,9.059233449477352,122,1,88,76,7.86411149825784,143,-15.530420956294197,-14.879121676321892,144,-14.782672524042438,-14.104636982781733
海運: 郵船/商船三井,278,-15.141169983219783,-13.512307095107685,-15.330498178745474,-16.101947097775344,8.992805755395683,112,2,90,74,7.726618705035971,139,-15.614941968662148,-16.86715501162332,139,-15.383765169493861,-13.415184954816242
海運: 商船三井/川崎汽船,308,-14.607792159693282,-13.38654456652574,-15.568983463203168,-17.212158838230962,6.8181818181818175,115,0,109,84,7.928571428571429,154,-14.20784690843973,-15.436840989034195,154,-18.175085362368392,-13.77874333035237
銀行: MUFG/みずほ,274,-14.286662840739034,-12.920041455925073,-17.866528037997636,-18.630099580151207,9.124087591240876,108,1,104,61,8.178832116788321,137,-17.147123460372335,-14.20378466859271,137,-18.666298385091256,-14.369541012885357
銀行: MUFG/SMFG,307,-13.630152493967575,-11.633517093476039,-20.748830212753404,-22.901426468852776,5.537459283387622,139,0,96,72,7.465798045602606,153,-23.10027354583781,-13.74063086446286,154,-18.95747103944303,-13.520391515488493
銀行: SMFG/みずほ,256,-15.817670849554352,-14.993421304383926,-22.69227411872279,-22.871662476437294,6.640625,87,3,111,55,8.3828125,128,-19.43451281101962,-14.001811759044895,128,-27.000160357697382,-17.63352994006381
