p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
6146.T,6323.T,265,0.6364506716120482,0.9908479032050265,0.0020028788356981405,0.009544412823461818,0.3637684683843619,9.399608973769815e-15,0.0831549702094317,半導体装置
6920.T,6525.T,265,0.537565891076816,1.078352392612434,0.058677466066946106,0.07113648401916503,0.4522240055342191,2.3354065013096123e-14,0.12741251235878334,半導体装置
6963.T,3436.T,265,0.3953612320937838,1.1446518665946743,0.027475074869280965,0.08995088554352332,0.33890421295594375,1.1452474189114444e-14,0.09907624877964293,半導体装置
6146.T,6963.T,265,0.4132137187735818,0.9751066310757787,0.02806691729875164,0.09114389200679324,0.44825173425686454,-4.0990271973330305e-15,0.10216188892863141,半導体装置
8035.T,6525.T,265,0.6953859716964209,0.7558560104781282,0.049254452134259996,0.1434635431385829,0.38513523405293165,-4.392293656667978e-15,0.07290443770679786,半導体装置
6857.T,6525.T,265,0.6309225011605264,1.3929603595257714,0.04934951219662708,0.14383631572270084,0.44644467613314254,1.3636052454905508e-14,0.16294143860201374,半導体装置
6857.T,3436.T,265,0.4656456954374021,1.9489603259106636,0.0760290202444414,0.20186799366685837,0.4207530468775427,1.541743671932293e-15,0.21827310936870103,半導体装置
8035.T,6920.T,265,0.6539088987013568,0.658708565118662,0.0814082130559447,0.21273770576302597,0.5046710464938042,-1.275960469357878e-14,0.07759896449711207,半導体装置
6525.T,6323.T,265,0.6274301621096191,1.1144328473417142,0.08254190690394081,0.2150082450610341,0.44130747146940014,-4.21633378106701e-15,0.1229687833468324,半導体装置
6146.T,3436.T,265,0.5700984034144551,1.1765971495689225,0.10751614789613084,0.2626023161755324,0.36109626910050796,2.490921515174087e-14,0.11100750418102616,半導体装置
6146.T,6525.T,265,0.6411913779402598,0.8067619240775131,0.126363443694875,0.2962162641118108,0.39586853380110953,-6.022855170570283e-15,0.10569739003246621,半導体装置
8035.T,6323.T,265,0.653849617919499,0.871791108171618,0.1381079899957487,0.3165785955918785,0.46263845677494647,-2.1450346739927554e-14,0.09925516261865772,半導体装置
6146.T,6857.T,265,0.7129525646777831,0.5535033581497082,0.1876940505240975,0.39495432459913254,0.4497149874917338,-5.241928484569795e-15,0.09791083974059177,半導体装置
6963.T,6323.T,265,0.3654663461852258,0.8883941072128007,0.13025398179523723,0.39566542784160885,0.4812647202731372,-1.1692114781599573e-14,0.12678689284428243,半導体装置
6920.T,3436.T,265,0.4912354848336693,1.4136147458167108,0.1955390958255268,0.4070256430742467,0.4966188108689184,3.4856813452382273e-15,0.20933733909152802,半導体装置
6920.T,6323.T,265,0.592524712335917,1.217969104129343,0.22112078149884312,0.442845354508462,0.532947052285524,-2.0304093836012675e-14,0.17500702193112447,半導体装置
8035.T,6146.T,265,0.675818486000924,0.8413221045880055,0.23679952998807097,0.4640693015843283,0.44590908262904133,1.2266917041896068e-15,0.1012372286167645,半導体装置
6146.T,6920.T,265,0.581337071202772,0.6819076426754299,0.25075186780553776,0.4823382296574627,0.5260381542622132,1.4948210384387014e-15,0.1280996779816651,半導体装置
6857.T,6323.T,265,0.5760855924373899,1.5839727449590355,0.2647210820020334,0.499976031994809,0.44618289794223887,8.787938930014069e-15,0.21870145413546,半導体装置
3436.T,6323.T,265,0.5248221103331647,0.7205276678489313,0.3883986692707493,0.5334238428578162,0.4077731314552313,9.351010531937168e-15,0.10743177586905038,半導体装置
6920.T,6857.T,265,0.5699721864021886,0.7352666203190578,0.3032751697510514,0.5384055927974276,0.4526598322687486,7.226085558013095e-15,0.12287678864218997,半導体装置
6920.T,6963.T,265,0.3352098467590708,1.197310314668159,0.3069089768179357,0.55023873374779,0.46460974233930596,-7.92322182706074e-15,0.19026636494985796,半導体装置
6857.T,6963.T,265,0.36090552306182516,1.609740594214634,0.5355326879104562,0.627408273198153,0.4441771368226064,-1.2199884708333796e-14,0.2094828580356005,半導体装置
8035.T,6963.T,265,0.3624089992074032,0.7871577768145502,0.38112306977850313,0.6287125062818537,0.569135465658776,-1.0758689536744913e-14,0.1480591669187558,半導体装置
6963.T,6525.T,265,0.3389579513336095,0.7131754100135352,0.3997817383687478,0.645947169307542,0.47722945137984124,-6.803781856570771e-16,0.14557722713033697,半導体装置
8035.T,6857.T,265,0.630734544656293,0.48852783951318246,0.3995430883136445,0.6461105773852085,0.5139478299691561,-1.2102687824668498e-14,0.10744157590344874,半導体装置
8035.T,3436.T,265,0.5378416342044074,0.9607253930737554,0.45530642791889747,0.6969077486149884,0.5081682808036713,-1.0671547503113958e-14,0.14842373853677257,半導体装置
6526.T,6323.T,265,0.41072357278339416,0.024646082604911967,0.5864055318763344,0.7993721884884171,0.491922359889028,5.714506436183824e-15,0.20613183503648083,半導体装置
6526.T,6525.T,265,0.4498062935009073,0.03097483544358224,0.5932215871966746,0.804197255293007,0.49120247333938294,2.2599951260520546e-14,0.20598139761748188,半導体装置
6526.T,3436.T,265,0.4716866638044618,0.14479972284630435,0.6758586050801849,0.8583528137386139,0.4964446192077192,-2.2120670075550288e-15,0.20350136837804794,半導体装置
3436.T,6525.T,265,0.5978968206552919,0.6073188166162949,0.6819756204570172,0.8601870834659651,0.4258751865673451,-8.927031022155787e-15,0.10454579438558582,半導体装置
8035.T,6526.T,265,0.47995361292038524,-0.12651227948509486,0.8747538548944009,0.9419818088109988,0.5094435031911622,1.8098730061813873e-15,0.26637699743167664,半導体装置
6920.T,6526.T,265,0.35175577296716076,-0.12672773664790196,0.9095537870245353,0.9699709928633853,0.4197834713922034,-6.756859223077179e-15,0.3879968848743622,半導体装置
6146.T,6526.T,265,0.48727560584174534,0.14223908037847383,0.9324020690300979,0.9774706353217116,0.47363541425960604,-1.9546628466758983e-14,0.2930325666338305,半導体装置
6857.T,6526.T,265,0.5342771994623153,0.3499433982841864,0.9321457199181723,0.9775777706004062,0.43443658235468,-5.014018550458065e-15,0.4965764458890524,半導体装置
6963.T,6526.T,265,0.42181544884290495,0.19875366905988195,0.9882928749667421,0.9927771212804073,0.33162763096827985,-1.9037182731685703e-15,0.2802788795481064,半導体装置
5711.T,5713.T,338,0.8282429979052661,0.7246445357167156,0.08114385853373685,0.2123561344229279,0.37487166699838276,-1.2660484100932555e-14,0.04867559445060183,非鉄金属
5706.T,5713.T,338,0.6017571884154312,1.753933708424474,0.30782899178396517,0.55175763342981,0.49485335296349986,-1.9077441795925766e-14,0.24143703499843386,非鉄金属
5711.T,5706.T,338,0.6439382801868282,0.36885278938833715,0.6346912128774963,0.7780388066082756,0.4746023935973471,-3.5159252235466496e-15,0.1132576168542455,非鉄金属
5801.T,5802.T,349,0.726984332413982,1.0670161410472792,0.9437992367969957,0.9813678233148942,0.5838826875151379,-4.453616717694038e-15,0.21973469607256507,電線
5801.T,5803.T,349,0.16039110353196562,0.48185158281735113,0.9985137198183228,1.0,0.5046141345685888,1.015933596401977e-14,0.49002533517986235,電線
5802.T,5803.T,349,0.24321472624735735,0.6178520918740759,0.966956066089222,1.0,0.3442035706076776,7.91980298597934e-15,0.33502913367051596,電線
7270.T,7269.T,304,0.5299222509173481,0.8169975165392835,0.020976287767152907,0.07177823498159441,0.3762766632311101,5.78776792574325e-15,0.05666997707918397,自動車
7201.T,7269.T,304,0.513483752977826,0.3781241417640939,0.08108658366305849,0.2131972757048411,0.4199047752158566,6.725614217597659e-15,0.08372782060500046,自動車
7269.T,7261.T,304,0.5816277226622266,0.8067316623295189,0.09075470393476126,0.23042716460514562,0.34973410053795223,-1.0658141036401503e-14,0.06147962989494729,自動車
7201.T,7261.T,304,0.6409905441995417,0.4548372664609308,0.09110318623682245,0.23210690102789078,0.39874989848566467,-5.8491223560514824e-15,0.07405014716866154,自動車
7201.T,7203.T,304,0.6182267464634972,0.3912318782024019,0.10695008247643817,0.25783253437132103,0.45891117285811894,-2.6382405032539903e-14,0.08383771611285212,自動車
7201.T,7270.T,304,0.6619166378944401,0.3380635082474972,0.11895675283963986,0.26968147034136425,0.478718342427913,1.3381109086271623e-15,0.08765695972902127,自動車
7203.T,7261.T,304,0.7408825428598254,0.8190468396728209,0.1279903006265794,0.2989481011145294,0.4010707777773916,-2.706899032408441e-14,0.047623219602228734,自動車
7201.T,7267.T,304,0.5915876378298406,0.1741595088111484,0.13573403402644152,0.31342871757236124,0.4663582686318793,1.1598908967794399e-15,0.09519898024383383,自動車
7267.T,7270.T,304,0.7384673883989642,0.49319780592555895,0.20153842196462218,0.34091820395314565,0.41899623965540916,-3.0969379107964894e-15,0.05053696098600017,自動車
