n,mean,std,wr,sharpe,tstat,ticker,name,sector
181,6.041768532025459,271.56590556428904,50.27624309392266,0.3531743128403342,0.29931475470166585,9984.T,ソフトバンクG,Tech
181,3.4571855393744513,182.41687987127145,47.51381215469613,0.3008554859566159,0.2549746193474317,7267.T,ホンダ,Auto
181,-7.372621959341113,188.12427196706977,46.408839779005525,-0.6221246416833908,-0.5272497963449274,8411.T,みずほ,Bank
181,-5.610287781568631,117.88781131793625,42.5414364640884,-0.7554687505480804,-0.6402587491047236,1321.T,日経225 ETF,Index
181,-11.060398354062244,196.98606790610972,47.51381215469613,-0.8913238511904689,-0.755395764015913,5711.T,三菱マテ,Metal
181,-11.565762273645445,203.71934212118674,43.646408839779006,-0.9012437517323912,-0.7638028663713801,5401.T,日本製鉄,Steel
181,-9.696865058738682,166.27496536770306,45.85635359116022,-0.925773524077037,-0.7845918154123728,7203.T,トヨタ,Auto
181,-12.139301244256183,184.0125068418836,50.82872928176796,-1.0472409533553,-0.8875352982106302,9843.T,ニトリ,Retail
181,-13.968278226047113,193.72731689224685,48.06629834254144,-1.1445961578180974,-0.9700437029367872,7011.T,三菱重工,Heavy
181,-15.19069636568695,161.86193860615387,45.30386740331492,-1.4898179956917559,-1.2626187458095302,8316.T,SMFG,Bank
181,-23.307849339359215,220.46281131091678,43.646408839779006,-1.678290481220549,-1.4223489235803226,8035.T,東京エレクトロン,Semi
181,-19.74904409088357,169.54395246635707,39.226519337016576,-1.8491155314818752,-1.5671229237182773,6702.T,富士通,Tech
181,-32.20505335614594,263.117522174133,41.988950276243095,-1.9430077047518999,-1.6466964141703673,6857.T,アドバンテスト,Semi
181,-15.714790851885326,112.64336658180612,41.988950276243095,-2.2146405826366835,-1.8769049125153416,1306.T,TOPIX ETF,Index
181,-21.95697277267804,156.8404906596252,41.43646408839779,-2.222360664239251,-1.8834476712810222,8058.T,三菱商事,TradingCo
181,-37.85749427088842,260.5909210816929,41.988950276243095,-2.3061781588950336,-1.9544828851697111,7735.T,SCREEN HD,Semi
181,-27.464823664007394,172.9212874961435,45.30386740331492,-2.521323809325417,-2.136818534288149,8306.T,MUFG,Bank
181,-21.638960013317014,133.53074334898326,42.5414364640884,-2.5725000276085264,-2.180190310391505,4502.T,武田薬品,Pharma
181,-48.36837257104765,246.376993948722,40.88397790055249,-3.11646026099038,-2.6411958759229863,6146.T,ディスコ,Semi
181,-60.61908768435076,303.7038166846818,41.988950276243095,-3.1685416232274797,-2.6853347603088773,6920.T,レーザーテック,Semi
181,-39.05937461903951,169.86305640451192,41.43646408839779,-3.650283721314524,-3.0936105399338163,6758.T,ソニーG,Tech
