n,mean,std,wr,sharpe,tstat,ticker,name,sector
300,4.482941003935965,159.22620488841167,48.0,0.446939511504441,0.4876509863180208,7267.T,ホンダ,Auto
300,-9.259943234589196,272.3608945006397,48.333333333333336,-0.5397141979185381,-0.588876468000971,9984.T,ソフトバンクG,Tech
300,-9.076155314168387,180.43334865785593,45.666666666666664,-0.7985192316334482,-0.8712559101995839,5401.T,日本製鉄,Steel
300,-7.374658438160492,144.82923050815975,47.66666666666667,-0.8083249008348786,-0.881954772427025,7203.T,トヨタ,Auto
300,-5.717800180016066,102.44497227661483,42.0,-0.886009941913144,-0.9667161012620022,1321.T,日経225 ETF,Index
300,-10.75304116268813,169.4914405763289,47.66666666666667,-1.007125999662555,-1.0988645542408875,8411.T,みずほ,Bank
300,-12.955778786108628,170.3616101602358,49.0,-1.2072356680699126,-1.3172021025192755,9843.T,ニトリ,Retail
300,-20.620581916881807,255.18734257412285,47.0,-1.2827501025210446,-1.3995951053607265,7735.T,SCREEN HD,Semi
300,-17.675750739341744,210.57842268938484,45.666666666666664,-1.3324909578693058,-1.4538668279238829,8035.T,東京エレクトロン,Semi
300,-22.86935591065751,243.91421322892822,44.0,-1.4883912072898122,-1.6239679455029221,6857.T,アドバンテスト,Semi
300,-16.453255732348953,163.56134783153232,43.0,-1.5968768967340718,-1.7423355368595392,6702.T,富士通,Tech
300,-19.582565388249545,191.24237257775215,44.666666666666664,-1.6254953549764715,-1.7735608347568559,5711.T,三菱マテ,Metal
300,-27.02871589709833,236.8648856850618,45.666666666666664,-1.8114443678972938,-1.9764478412120914,6146.T,ディスコ,Semi
300,-17.02912823826031,147.46161715990905,43.666666666666664,-1.8332162320099723,-2.0002028924779585,8316.T,SMFG,Bank
300,-35.60282797462363,300.8876993322666,46.0,-1.8783664935557465,-2.049465866568569,6920.T,レーザーテック,Semi
300,-11.899826780245263,97.18852197832607,42.0,-1.9436852211188056,-2.1207344411771207,1306.T,TOPIX ETF,Index
300,-22.274458875440416,180.66210057789178,46.0,-1.9572232997769952,-2.135505695990316,7011.T,三菱重工,Heavy
300,-16.599875145694195,119.28998742547506,42.66666666666667,-2.209027381665215,-2.4102464735026077,4502.T,武田薬品,Pharma
300,-22.915128674767974,156.21778099343135,46.0,-2.3285850566663897,-2.540694591503992,6758.T,ソニーG,Tech
300,-23.355665141889723,146.27667675182354,41.0,-2.5346466590068997,-2.7655262321109624,8058.T,三菱商事,TradingCo
300,-28.89522723115553,159.43068407492513,45.0,-2.877096806324103,-3.1391699754037865,8306.T,MUFG,Bank
