sym,th,up_N,up_returnP,up_med_ttr,dn_N,dn_returnP,dn_med_ttr
5711.T,30,1367,43.45281638624726,16.0,1178,49.15110356536502,17.0
5711.T,50,1031,27.54607177497575,21.0,897,34.894091415830545,24.0
5711.T,80,633,18.009478672985782,18.0,519,23.892100192678228,25.0
6501.T,30,1237,46.40258690379952,17.0,1352,48.37278106508875,16.0
6501.T,50,929,30.032292787944026,24.0,1055,31.469194312796205,25.0
6501.T,80,542,21.771217712177123,27.5,637,17.582417582417584,30.0
7011.T,30,1320,56.28787878787879,15.0,1556,50.257069408740364,16.0
7011.T,50,1048,38.645038167938935,19.0,1245,37.34939759036144,21.0
7011.T,80,758,20.184696569920842,23.0,845,24.733727810650887,29.0
5016.T,30,1715,52.011661807580175,13.0,1526,52.94888597640891,13.0
5016.T,50,1427,43.377715487035736,19.0,1375,39.2,17.0
5016.T,80,1039,31.472569778633304,21.0,976,26.741803278688526,23.0
4502.T,30,1067,30.36551077788191,22.0,963,34.26791277258567,20.0
4502.T,50,553,18.806509945750452,30.5,605,13.388429752066116,26.0
4502.T,80,154,13.636363636363635,36.0,187,5.88235294117647,46.0
5706.T,30,1553,54.217643271088214,13.0,1469,57.59019741320627,14.0
5706.T,50,1414,41.72560113154172,19.0,1252,43.2108626198083,17.0
5706.T,80,1013,31.29318854886476,23.0,947,31.995776135163673,21.0
5713.T,30,1507,50.8958195089582,15.0,1328,51.80722891566265,15.0
5713.T,50,1234,36.6288492706645,21.0,1237,36.216653193209375,21.0
5713.T,80,833,26.770708283313326,24.0,803,28.393524283935246,22.0
1605.T,30,1287,41.88034188034188,16.0,1224,45.1797385620915,16.0
1605.T,50,873,27.835051546391753,22.0,861,28.1068524970964,22.0
1605.T,80,467,14.346895074946467,22.0,471,21.019108280254777,32.0
5020.T,30,1372,43.58600583090379,17.0,1082,47.874306839186694,18.0
5020.T,50,1061,23.845428840716306,24.0,833,30.4921968787515,24.0
5020.T,80,516,12.209302325581394,27.0,439,19.81776765375854,26.0
9101.T,30,1170,34.52991452991453,20.0,1016,41.14173228346456,21.0
9101.T,50,716,20.251396648044693,28.0,697,25.68149210903874,29.0
9101.T,80,267,13.48314606741573,29.5,343,15.160349854227405,35.0
9104.T,30,1109,35.79801623083859,18.0,1077,39.74001857010214,17.0
9104.T,50,772,18.393782383419687,22.0,597,29.313232830820766,24.0
9104.T,80,334,16.766467065868262,25.0,351,17.94871794871795,32.0
9107.T,30,1129,42.69264836138175,20.0,1180,43.813559322033896,18.0
9107.T,50,811,20.468557336621455,24.0,697,24.820659971305595,24.0
9107.T,80,366,12.841530054644808,29.0,320,23.4375,30.0
8035.T,30,1411,52.232459248759746,14.0,1376,47.45639534883721,14.0
8035.T,50,1194,38.274706867671696,21.0,1101,29.70027247956403,23.0
8035.T,80,731,22.43502051983584,27.5,747,16.867469879518072,28.0
6857.T,30,1647,52.39829993928355,13.0,1474,60.24423337856174,14.0
6857.T,50,1452,39.11845730027548,19.0,1368,44.37134502923977,18.0
6857.T,80,1171,24.423569598633645,25.0,914,30.41575492341357,25.0
6146.T,30,1497,55.778223112892455,13.0,1457,56.62319835277968,13.0
6146.T,50,1280,41.953125,19.0,1220,38.114754098360656,19.0
6146.T,80,1011,25.816023738872403,26.0,869,20.253164556962027,25.0
4063.T,30,1119,45.75513851653262,18.0,1206,45.43946932006634,21.0
4063.T,50,780,29.615384615384617,21.0,966,29.296066252587995,26.0
4063.T,80,521,12.859884836852206,23.0,419,18.377088305489263,30.0
6963.T,30,1523,56.073539067629675,15.0,1417,52.43472124206069,15.0
6963.T,50,1232,39.20454545454545,19.0,1155,38.61471861471861,23.0
6963.T,80,777,25.482625482625483,27.0,776,25.773195876288657,28.0
8267.T,30,1320,46.21212121212121,15.0,1270,49.92125984251968,17.0
8267.T,50,1072,26.77238805970149,22.0,963,32.60643821391485,23.0
8267.T,80,705,17.73049645390071,28.0,598,15.88628762541806,31.0
9020.T,30,1189,39.86543313708999,19.0,1180,39.152542372881356,22.0
9020.T,50,714,26.330532212885156,25.5,776,19.974226804123713,25.0
9020.T,80,232,12.931034482758621,39.0,228,9.649122807017543,37.0
7974.T,30,1256,50.63694267515923,16.0,1377,48.07552650689906,15.0
7974.T,50,968,31.611570247933884,20.0,1167,34.447300771208226,24.0
7974.T,80,658,16.717325227963524,28.0,717,17.573221757322173,27.0
6758.T,30,1210,47.5206611570248,18.0,1343,44.60163812360387,19.0
6758.T,50,876,34.58904109589041,23.0,1123,24.93321460373998,20.5
6758.T,80,567,20.105820105820104,32.0,608,14.638157894736842,24.0
8411.T,30,1204,46.76079734219269,18.0,1188,47.8956228956229,17.0
8411.T,50,907,25.799338478500548,21.0,802,30.049875311720697,24.0
8411.T,80,546,12.087912087912088,26.5,500,16.6,28.0
