sym,name,best_type,best_sharpe,best_N,best_t
8035.T,TEL,Reversion,6.1725301191393065,29,2.0939289739462623
8411.T,みずほ,Trend,5.880894117705966,26,1.8889904566458624
5020.T,ENEOS,Trend,5.78584598687743,73,3.1140675476549813
6857.T,アドバンテスト,Slope,5.397793857817173,28,1.7992646192723911
5016.T,出光,Reversion,4.792879899694101,31,1.6810364217554676
8267.T,イオン,Trend,4.364552087221006,52,1.9826273012506044
9101.T,日本郵船,Breakout,4.182187326432104,99,2.6213246322031702
9104.T,商船三井,Reversion,4.070069782013155,27,1.3322430614162641
4063.T,信越化学,Trend,3.986427994284877,33,1.4425823806211437
6963.T,ローム,Reversion,3.8305306112083235,30,1.3216586244007407
4502.T,武田,Trend,3.696111339465629,46,1.5791511125649556
6758.T,ソニー,Reversion,3.607199466942428,41,1.4549960559684438
7011.T,三菱重工,Reversion,3.595647537260438,31,1.2611237077557325
9107.T,川崎汽船,Trend,3.1513843686090315,59,1.5248499573391379
6501.T,日立,Reversion,3.0296756207053237,32,1.0796198253086666
5711.T,三菱マテリアル,Reversion,2.9731853342968906,28,0.9910617780989636
5706.T,三井金属,Trend,2.90708659246329,42,1.1868131316035548
6146.T,ディスコ,Reversion,2.5994141139616525,38,1.0094086001588187
5713.T,住友金属鉱山,Reversion,1.749872262271893,35,0.6521388883968823
7974.T,任天堂,Reversion,1.6243296571283878,27,0.5316866862394645
9020.T,JR東日本,Slope,1.5993113088449087,56,0.7539225811417118
1605.T,INPEX,Breakout,1.4525318261609672,188,1.2545971919336674
