sym,name,days,mean|dev_1130|,std_dev_1130,mean_above_pct,P(close_above),mean_final_dev,med_first_cross
5711.T,三菱マテリアル,257,60.33830307548914,83.93916702906932,52.488631616640504,51.36186770428015,1.744166829863607,53.0
6501.T,日立,258,56.247216221976615,74.58433099565548,46.39486384273612,48.44961240310077,-0.6743000148023002,53.0
7011.T,三菱重工,258,62.01507281349224,79.92900672092958,45.090178942696504,44.96124031007752,0.7817005186749498,44.5
5016.T,出光,256,85.2519625291222,122.17020230297757,50.21256118360205,51.953125,1.5026161109811405,44.0
4502.T,武田,258,33.83982930418398,42.93486018384849,51.89880456023892,52.71317829457365,0.6322439784809123,56.0
5706.T,三井金属,258,95.6453935973951,134.57287682875264,52.459025821760754,55.03875968992248,6.10498565778794,51.0
5713.T,住友金属鉱山,258,71.87318310282502,103.43990707154741,49.625441633516814,51.55038759689923,1.9570509762002735,50.0
1605.T,INPEX,258,47.507964137851246,66.09104586615283,50.18485429736996,52.71317829457365,3.9528121803128227,53.0
5020.T,ENEOS,258,51.44845269673443,68.11193868644165,55.00242708066234,57.751937984496124,7.900126129224358,56.0
9101.T,日本郵船,258,41.376682116004815,54.952424243480685,51.199609615768736,52.71317829457365,1.1674553317173018,60.0
9104.T,商船三井,258,40.1969425977781,58.63743806953793,51.132362005426614,54.65116279069767,3.078098232560167,54.0
9107.T,川崎汽船,258,45.01533195565582,61.89432924626083,51.83967813728308,53.100775193798455,2.5632086152700113,50.5
8035.T,TEL,257,60.22532130181258,80.37328010703992,50.577689983569016,51.75097276264592,5.467944710824548,54.0
6857.T,アドバンテスト,258,83.39333655458653,107.1326707637094,53.126232692479576,57.36434108527132,11.530681306707752,49.0
6146.T,ディスコ,257,78.15296884035442,100.06240431858141,50.519438082732506,52.918287937743195,4.1219799626848825,45.5
4063.T,信越化学,258,45.807545520214425,61.16332329136955,48.47789583827998,46.89922480620155,0.7648836557760601,54.0
6963.T,ローム,257,63.598015510806626,85.77746204760966,49.621490860652116,52.52918287937744,2.7256358355992365,49.0
8267.T,イオン,258,51.8611502451839,67.1762386733996,51.76278757710098,54.65116279069767,6.514896162312412,54.5
9020.T,JR東日本,258,34.93785060661568,48.61009724157204,50.1170130040514,54.65116279069767,4.083586231844663,59.5
7974.T,任天堂,258,56.710535377004696,72.71379032983296,45.69447784705425,45.348837209302324,-5.360480400490072,54.0
6758.T,ソニー,258,52.53259070461444,66.66926024333908,45.74983867076715,44.96124031007752,-4.7027232621064705,57.0
8411.T,みずほ,258,53.84758262406077,73.79937508236797,49.759275819500765,53.48837209302325,-0.2522818724257565,48.0
