sym,time,th,N,mean,wr,pf,sharpe,t
5711.T,9:30,20,166,-14.10597706738085,46.3855421686747,0.7713512703747489,-1.4311539323263227,-1.1615559179806751
5711.T,9:30,30,126,-11.493675354795766,45.23809523809524,0.8060570756178114,-1.198990500767514,-0.8478143136709634
5711.T,9:30,50,82,-3.951908620866633,47.5609756097561,0.9352154068916461,-0.36838271846703363,-0.21013863371577723
5711.T,9:30,80,33,3.900791731251074,54.54545454545454,1.054204934939004,0.30341626255378934,0.10979828432409318
5711.T,10:00,20,180,-10.473152715396779,44.44444444444444,0.8032419638770958,-1.2088910694927788,-1.0216994308851288
5711.T,10:00,30,143,-7.352124621710038,44.75524475524475,0.8534526285645417,-0.9081068987005118,-0.6840765816912903
5711.T,10:00,50,84,-14.377719482897543,41.66666666666667,0.7382946529908282,-1.8404404209716667,-1.0625787724754598
5711.T,10:00,80,46,-16.983674293259615,43.47826086956522,0.7210634337033218,-1.981915736053407,-0.8467668184614856
5711.T,10:00,120,16,0.6171546796875518,43.75,1.0081481877907814,0.05187222704055705,0.013070572638132754
5711.T,11:00,20,185,-1.9500177917142236,48.64864864864865,0.954251732379648,-0.2687958161395896,-0.23030750917546894
5711.T,11:00,30,159,-2.146764877470724,47.79874213836478,0.9516050997633654,-0.28527246955333674,-0.22659908586133412
5711.T,11:00,50,104,0.7194147730174325,50.0,1.0153506374008057,0.09009309545608216,0.05787725271701035
5711.T,11:00,80,55,-4.972997563578077,49.09090909090909,0.9149960563452587,-0.5391509792400045,-0.2518787171363044
5711.T,11:00,120,28,28.394788114261704,57.14285714285714,1.630921258078043,2.9731853342968906,0.9910617780989636
5711.T,11:30,20,191,1.7360447799356893,51.30890052356021,1.047688592689933,0.26049825837887663,0.2267886090064453
5711.T,11:30,30,166,2.5366096667906293,52.40963855421686,1.067675108283672,0.3671090976305333,0.29795379467263505
5711.T,11:30,50,112,6.729144589716347,53.57142857142857,1.1768724346778225,0.9362198108991935,0.6241465405994624
5711.T,11:30,80,66,15.323358398603249,53.03030303030303,1.395026062525776,1.8979848548843536,0.9713247164749282
5711.T,11:30,120,33,23.789943654338156,54.54545454545454,1.5099608649249936,2.512929573945598,0.9093624498706199
5711.T,13:30,20,190,-5.243618521341998,44.73684210526316,0.8100346748078504,-1.1820872067833363,-1.026422225159133
5711.T,13:30,30,162,-5.168490094974596,44.44444444444444,0.815441127683927,-1.1401361008153628,-0.9141425707593086
5711.T,13:30,50,109,-7.578161786486444,39.44954128440367,0.7680782495937951,-1.507837417228981,-0.9916707298250859
5711.T,13:30,80,65,-5.932937448204201,41.53846153846154,0.8525127262568467,-0.9667627132783381,-0.4909941298021546
5711.T,13:30,120,27,-5.613069096397306,40.74074074074074,0.8722196057112692,-0.823029054245867,-0.26939949573068583
5711.T,14:00,20,190,-5.337238606107449,44.73684210526316,0.7979522588137957,-1.2532471232469007,-1.088211337992377
5711.T,14:00,30,164,-7.713019339599968,42.073170731707314,0.7326856943464048,-1.7240496185024028,-1.3908215601623855
5711.T,14:00,50,105,-1.8455392512701643,45.714285714285715,0.933165598788628,-0.37262097941917227,-0.24052580795632508
5711.T,14:00,80,57,-1.307518015577639,40.35087719298245,0.9629481923388102,-0.21824107946714152,-0.10379433685881173
5711.T,14:00,120,29,-1.8367130469307178,37.93103448275862,0.9513433791844794,-0.27771495307245775,-0.09421021453316651
6501.T,9:30,20,173,-7.190829804125885,47.97687861271676,0.8695508880480007,-0.8507288003154448,-0.7048779362462453
6501.T,9:30,30,135,-11.852880809814758,51.11111111111111,0.802781459497251,-1.3337226116781227,-0.976184995522341
6501.T,9:30,50,86,-13.477908970281478,48.837209302325576,0.7877212466098427,-1.441198861898477,-0.8419239534151612
6501.T,9:30,80,38,-5.993892867342034,50.0,0.8968723548929648,-0.658989073274626,-0.25589967923976215
6501.T,10:00,20,196,2.2239234112096016,51.53061224489795,1.0504143801216355,0.29283731076499314,0.25825823296170314
6501.T,10:00,30,162,12.491712031273325,53.086419753086425,1.3129833817491587,1.6606456640003389,1.3314786676116395
6501.T,10:00,50,101,15.766219752084842,54.45544554455446,1.379297425129965,1.97960417301573,1.253253069972952
6501.T,10:00,80,58,12.94236705915283,55.172413793103445,1.2486319118118658,1.389068453699631,0.6664036618287285
6501.T,10:00,120,15,4.075989887547688,46.666666666666664,1.0752641421756135,0.49209510606726137,0.12005891247716413
6501.T,11:00,20,194,8.412860829315374,55.670103092783506,1.2197287566793111,1.191029051336096,1.0450160229244623
6501.T,11:00,30,163,7.9919916783115985,53.987730061349694,1.1979105865254163,1.0789772313209094,0.8677723581205389
