sym,time,th,N,mean,wr,pf,sharpe,t
5711.T,9:30,5,157,-7.548455220949467,45.85987261146497,0.8678224910411918,-0.8040802372113474,-0.6346714228519373
5711.T,9:30,10,109,-18.86221231713089,44.03669724770643,0.710604107104427,-1.9089597643256164,-1.2554798687609614
5711.T,9:30,20,48,-17.828758629057475,45.83333333333333,0.7381156974530446,-1.6900627113567048,-0.7376038384775622
5711.T,10:00,5,111,0.5671834223261121,54.054054054054056,1.013165909926565,0.07790279511287232,0.05170282333139348
5711.T,10:00,10,54,-16.29095188645584,46.2962962962963,0.7277101509221555,-1.9022451119760413,-0.8805683796807534
5711.T,11:00,5,49,-17.622583699720995,48.97959183673469,0.6936949254587099,-2.108870834612823,-0.9299246292571255
5711.T,11:00,10,20,-41.24868780992158,40.0,0.49024703569310746,-4.158112183854826,-1.1714154012744633
5711.T,11:30,5,54,-20.030961731519593,44.44444444444444,0.6411057636144717,-2.556728695435257,-1.1835354079496077
5711.T,13:30,5,26,6.202265725506695,57.692307692307686,1.1741692566601352,0.9340605682251304,0.300027761764015
6501.T,9:30,5,153,-5.542633192598003,47.712418300653596,0.899054464739346,-0.6434052799059492,-0.5013373551093293
6501.T,9:30,10,102,-2.7353337776984676,46.07843137254902,0.9529965611297477,-0.2914021047993711,-0.18539264468801922
6501.T,9:30,20,36,11.008881249017795,52.77777777777778,1.2355414680350636,1.266662563053047,0.47875344812486204
6501.T,10:00,5,106,-19.995554388728497,44.339622641509436,0.6591017910094209,-2.567602531713472,-1.6652538924722842
6501.T,10:00,10,51,-12.623995451549595,43.13725490196079,0.7853396064664605,-1.4632888032928948,-0.6582863763059357
6501.T,11:00,5,39,-11.690918154805432,48.717948717948715,0.7850172035884408,-1.3581673026507057,-0.5343001595975739
6501.T,11:30,5,43,-29.504000726669315,34.883720930232556,0.5552005627465721,-3.255156363430646,-1.3446393374741117
7011.T,9:30,5,198,2.0696396990242842,54.54545454545454,1.0334139674406837,0.20809850036406463,0.18445960540986794
7011.T,9:30,10,150,1.5374291638969162,53.333333333333336,1.023544232807313,0.1494738795701583,0.11532160174752858
7011.T,9:30,20,76,-6.953647461971521,50.0,0.9060678865064481,-0.6484181031349999,-0.35609154104390905
7011.T,10:00,5,139,-5.347612647434064,56.83453237410072,0.9132629810830059,-0.5311254713270371,-0.39446117063338004
7011.T,10:00,10,67,3.191023074121044,59.70149253731343,1.0502798368179995,0.29872326997708976,0.15403030862500694
7011.T,11:00,5,59,3.3950893108872937,55.932203389830505,1.0692220926098697,0.37044453092306595,0.1792457730009873
7011.T,11:30,5,41,-46.99953079259079,43.90243902439025,0.42079589555297675,-4.679849680496088,-1.8876590801391537
7011.T,13:30,5,35,-0.766747243053473,51.42857142857142,0.9823997608838683,-0.09033675310627895,-0.033666520135375834
7011.T,14:00,5,29,-20.233717162879785,34.48275862068966,0.621223166531517,-2.8778511516972536,-0.9762635083073135
5016.T,9:30,5,212,-14.336082395967669,46.22641509433962,0.855388006219442,-0.8893018972004968,-0.8156744877834826
5016.T,9:30,10,169,-13.041497607248852,48.5207100591716,0.8742340891941649,-0.7639598459821321,-0.6256243079381683
5016.T,9:30,20,105,-17.064451333013533,47.61904761904761,0.8505452757987412,-0.9528198105075417,-0.6150425430053692
5016.T,10:00,5,155,-35.18371633612421,45.16129032258064,0.6849888949824101,-2.145943629140959,-1.6829991172399268
5016.T,10:00,10,95,-63.42276287163587,44.21052631578947,0.5442999679857943,-3.675882330690798,-2.256956210203033
5016.T,10:00,20,47,-33.82407457957888,46.808510638297875,0.7424073434024981,-1.7783965804492643,-0.7680283887042447
5016.T,11:00,5,88,-17.36476781396726,46.590909090909086,0.8010827445020944,-1.2999872543601794,-0.7682103605027395
5016.T,11:00,10,37,-19.62355073014409,45.94594594594595,0.8012959261443418,-1.2898119346926364,-0.4942275863614031
5016.T,11:30,5,59,-2.986804106126684,47.45762711864407,0.9623501629434886,-0.22867021305668692,-0.11064590155916956
5016.T,11:30,10,28,-31.970098969861933,42.857142857142854,0.686090113503517,-2.167636236584766,-0.7225454121949219
5016.T,13:30,5,65,-24.17954665566538,44.61538461538462,0.5913410098276023,-3.0989050256342527,-1.5738548410097293
5016.T,13:30,10,25,-38.60311453799476,32.0,0.47296220674382705,-4.6919453461425285,-1.4778238751190473
5016.T,14:00,5,52,4.8399067649147955,55.769230769230774,1.1106958923259802,0.5660640248884167,0.2571384113585325
4502.T,9:30,5,118,10.244089908746313,53.38983050847458,1.4548834775351782,2.3798176413132635,1.6284874381151238
4502.T,9:30,10,46,15.189411906614941,60.86956521739131,1.5915827142540229,2.989721571071755,1.2773484648057132
4502.T,10:00,5,43,1.0452784532822224,48.837209302325576,1.043802857067891,0.24433128423763203,0.10092831786895763
5706.T,9:30,5,208,-2.5205892077832646,48.55769230769231,0.9717624565425367,-0.1598529781531967,-0.14522859268912472
5706.T,9:30,10,158,-17.81612402918365,44.303797468354425,0.8194529244664296,-1.116242741743158,-0.8838670033054348
5706.T,9:30,20,107,-18.748817269193943,43.925233644859816,0.8183912419119653,-1.1067971225370794,-0.7212065126468615
5706.T,10:00,5,143,-26.298114842973487,40.55944055944056,0.7455811178481043,-1.7779666081286887,-1.3393415702384706
5706.T,10:00,10,84,-17.21247216928102,41.66666666666667,0.8172651913133978,-1.2035963732296904,-0.6948966900798189
5706.T,10:00,20,33,28.329847612621904,57.57575757575758,1.350852655097139,1.8862494696918923,0.6825835696354102
5706.T,11:00,5,96,11.725911770347844,45.83333333333333,1.1669935834870844,0.9189743880923679,0.5672033064480635
5706.T,11:00,10,36,13.262650868904128,50.0,1.1531276659863257,0.8833460434145887,0.33387342178398094
5706.T,11:30,5,85,-24.921389668663114,37.64705882352941,0.6915411744400756,-2.1426905102632565,-1.2444247458795146
5706.T,11:30,10,40,-15.429718528105514,47.5,0.8088458205489568,-1.1695232791430676,-0.4659492275047895
5706.T,13:30,5,70,-16.612929757892783,44.285714285714285,0.73591412662364,-1.915088890847392,-1.0093404694605579
5706.T,13:30,10,26,-29.91595256818423,38.46153846153847,0.5412584630515231,-3.7896388022444816,-1.2172624414409834
5706.T,14:00,5,67,-8.243355876754261,53.73134328358209,0.8489263163834817,-0.9687446651192232,-0.49951260830328653
