sym,time,th,N,mean,wr,pf,sharpe,t
5711.T,9:30,20,166,6.105977067380851,47.59036144578313,1.1185556967642942,0.6194957675696126,0.5027963510639263
5711.T,9:30,30,126,3.49367535479576,47.61904761904761,1.067670976016677,0.3644511815289673,0.25770590187058223
5711.T,9:30,50,82,-4.048091379133367,45.1219512195122,0.9336569275864612,-0.377348529511568,-0.2152530519243526
5711.T,9:30,80,33,-11.900791731251077,42.42424242424242,0.8520119302911018,-0.9256822710114659,-0.33497982056341125
5711.T,10:00,20,180,2.4731527153967785,52.77777777777778,1.053250142804801,0.2854701265588977,0.2412662920591405
5711.T,10:00,30,143,-0.6478753782899607,51.74825174825175,0.9860865609338291,-0.08002314035673602,-0.06028140122024542
5711.T,10:00,50,84,6.377719482897543,57.14285714285714,1.1451401166318065,0.8163890486182745,0.47134243698322315
5711.T,10:00,80,46,8.983674293259618,56.52173913043478,1.189601736124483,1.048352973682262,0.44790527467997526
5711.T,10:00,120,16,-8.617154679687552,56.25,0.8920947047903888,-0.724277103779964,-0.18250067589522898
5711.T,11:00,20,185,-6.049982208285777,49.18918918918919,0.8645436930336959,-0.8339461887045666,-0.7145351898155387
5711.T,11:00,30,159,-5.853235122529275,49.685534591194966,0.8731671042977854,-0.777806109930185,-0.6178309241109127
5711.T,11:00,50,104,-8.719414773017435,48.07692307692308,0.8312212476710029,-1.0919418073273255,-0.7014809693797253
5711.T,11:00,80,55,-3.0270024364219212,50.90909090909091,0.9473174618036277,-0.3281745681340178,-0.15331547637152806
5711.T,11:00,120,28,-36.394788114261715,42.857142857142854,0.5332295840619985,-3.8108560567781247,-1.270285352259375
5711.T,11:30,20,191,-9.736044779935689,44.50261780104712,0.770414260996916,-1.4609200972142855,-1.2718704484960766
5711.T,11:30,30,166,-10.536609666790632,44.57831325301205,0.7621876902125498,-1.5249036213579696,-1.237645221614526
5711.T,11:30,50,112,-14.729144589716345,44.642857142857146,0.7000856601021906,-2.049252587552498,-1.3661683917016654
5711.T,11:30,80,66,-23.323358398603254,45.45454545454545,0.6005090188808933,-2.8888824403939948,-1.4784327230662075
5711.T,11:30,120,33,-31.78994365433815,45.45454545454545,0.5750240934875321,-3.3579688427922414,-1.215159710455487
5711.T,13:30,20,190,-2.756381478658002,48.94736842105264,0.8946517430116907,-0.6213806877206369,-0.5395532110500457
5711.T,13:30,30,162,-2.831509905025405,50.0,0.8936306359489075,-0.6246131081250743,-0.5008046249768602
5711.T,13:30,50,109,-0.42183821351355777,55.04587155963303,0.9851636120360796,-0.083933737530784,-0.05520132993321237
5711.T,13:30,80,65,-2.0670625517957975,55.38461538461539,0.9451401642589105,-0.33682455251487936,-0.17106460125798165
5711.T,13:30,120,27,-2.386930903602693,55.55555555555556,0.9425872409896553,-0.3499891860236072,-0.11456085266922575
5711.T,14:00,20,190,-2.6627613938925503,48.421052631578945,0.8932392043430823,-0.6252480548593191,-0.5429112979671652
5711.T,14:00,30,164,-0.28698066040003223,51.829268292682926,0.9884106117059921,-0.0641472394007901,-0.05174872151360451
5711.T,14:00,50,105,-6.154460748729835,45.714285714285715,0.7932332092842299,-1.2426076499918641,-0.8020997890480707
5711.T,14:00,80,57,-6.692481984422361,54.385964912280706,0.8214593533088419,-1.1170587901608966,-0.531267425180205
5711.T,14:00,120,29,-6.163286953069283,55.172413793103445,0.8428985464168942,-0.9319022096587151,-0.3161324448848572
6501.T,9:30,20,173,-0.8091701958741123,50.28901734104046,0.984390871996883,-0.09573086955722725,-0.07931855339038273
6501.T,9:30,30,135,3.8528808098147582,48.148148148148145,1.0735761774539183,0.43353800131826087,0.317317325334339
6501.T,9:30,50,86,5.477908970281482,50.0,1.101504529320551,0.585755267449937,0.3421883013809554
6501.T,9:30,80,38,-2.006107132657965,47.368421052631575,0.9643247596548188,-0.22055827648219642,-0.08564753877481637
6501.T,10:00,20,196,-10.2239234112096,44.38775510204081,0.7982200234613588,-1.3462452088570147,-1.1872766754492898
6501.T,10:00,30,162,-20.491712031273323,43.20987654320987,0.6396603510974477,-2.7241640415248085,-2.184190394733269
6501.T,10:00,50,101,-23.766219752084837,41.584158415841586,0.6163985527516868,-2.9840829658494816,-1.889171173198541
6501.T,10:00,80,58,-20.94236705915283,43.103448275862064,0.698756486285543,-2.2476863231208406,-1.078324392423337
6501.T,10:00,120,15,-12.075989887547678,53.333333333333336,0.8051163442756111,-1.4579367683748765,-0.35570014965284763
6501.T,11:00,20,194,-16.412860829315374,42.78350515463917,0.6794876871335646,-2.323608396698232,-2.0387479237618176
6501.T,11:00,30,163,-15.991991678311592,44.171779141104295,0.6968768878022084,-2.1590356445437364,-1.7364142617155787
6501.T,11:00,50,112,-10.504492806911694,45.535714285714285,0.7880552931763657,-1.3612453062386012,-0.9074968708257342
6501.T,11:00,80,54,-30.919479583702135,37.03703703703704,0.5386413085402032,-3.6681627771056013,-1.6980294141409338
6501.T,11:00,120,24,-38.35682184445968,45.83333333333333,0.4704431738292338,-4.305339690120849,-1.3286566738208032
6501.T,11:30,20,193,-12.676002914710972,39.37823834196891,0.7137726042801065,-1.9573172516030912,-1.7129299702610346
6501.T,11:30,30,166,-12.46879092741096,38.55421686746988,0.7170615963654043,-1.929864771967548,-1.56632057261483
6501.T,11:30,50,108,-18.925869715715024,36.11111111111111,0.6207401287528426,-2.684007751817131,-1.7570955269357504
6501.T,11:30,80,64,-28.11827146779127,35.9375,0.5397270472264499,-3.609039615130285,-1.8187850082695232
6501.T,11:30,120,32,-34.23882071272754,37.5,0.5000713185572296,-3.9533987266712054,-1.4087870046201914
6501.T,13:30,20,190,0.8058662054270377,49.473684210526315,1.0331953176740225,0.1954324015474275,0.16969658356286635
6501.T,13:30,30,153,-1.036342976435366,50.326797385620914,0.9593612965616194,-0.24801664826757383,-0.1932530153991305
6501.T,13:30,50,106,-3.8287714512351863,49.056603773584904,0.8641308551304845,-0.8980909597796629,-0.5824692288214908
6501.T,13:30,80,58,0.4186710052897201,51.724137931034484,1.0148927439623583,0.09189945369834862,0.04408863530197344
6501.T,13:30,120,26,9.434705580870258,57.692307692307686,1.3416280688924571,1.8495545464883092,0.5940917856084864
6501.T,14:00,20,190,-2.4630463601363397,48.421052631578945,0.904124424531617,-0.6003770835551765,-0.5213154989758764
6501.T,14:00,30,165,-0.3717402143071316,49.696969696969695,0.9848537681823372,-0.08884946377458061,-0.0718946399019226
6501.T,14:00,50,107,-4.379103555799438,46.728971962616825,0.8339470279578755,-1.0324541786557555,-0.6727634744379737
6501.T,14:00,80,58,-1.7872008199934224,46.55172413793103,0.9293142558423789,-0.4267179407036411,-0.20471733952026774
6501.T,14:00,120,32,10.841608788225338,56.25,1.4770318311684754,2.1927227382786803,0.7813730696026294
7011.T,9:30,20,186,4.027344273794983,52.68817204301075,1.0637315423409697,0.3950993679340371,0.3394396231745907
7011.T,9:30,30,152,-0.5275101513468101,51.973684210526315,0.991750716250713,-0.05320577421509056,-0.04132190079476734
7011.T,9:30,50,100,-1.9417688906054826,52.0,0.9714498625046868,-0.18841683293161302,-0.11869144827510787
7011.T,9:30,80,40,-33.65910417905913,45.0,0.6120049914368889,-3.2802284135831785,-1.3068742816887289
7011.T,10:00,20,196,-7.741380924492501,53.57142857142857,0.8710861827937972,-0.8173083878776457,-0.7207982462571225
7011.T,10:00,30,162,-12.143806062138935,52.46913580246913,0.814742459315578,-1.2278878910444306,-0.9845005280692863
7011.T,10:00,50,116,-17.431036588061698,53.44827586206896,0.75192591286272,-1.667346595018022,-1.1312396302752123
7011.T,10:00,80,51,5.063519853207959,56.86274509803921,1.0819749079030887,0.47286827128706604,0.21272816417041077
