sym,time,N,corr,dev_std
5711.T,9:30,257,-0.02060581786846956,56.950035317286634
5711.T,10:00,257,0.007250228793691052,60.93751463123019
5711.T,11:00,257,-0.043373880238906565,75.33578458732595
5711.T,11:30,257,-0.1205219112345497,83.93916702906932
5711.T,13:30,257,0.011564352962035788,79.68184495138134
5711.T,14:00,257,0.005315275823592237,76.35425873969146
5706.T,9:30,258,-0.02752717305080778,88.14509003181675
5706.T,10:00,258,-0.031522549961983955,98.68760661384783
5706.T,11:00,258,0.003476315172887744,115.11630315809475
5706.T,11:30,258,-0.11283600478245753,134.57287682875264
5706.T,13:30,258,-0.005499974568582605,127.32442780528586
5706.T,14:00,258,-0.018929377475648056,129.0523391336375
5713.T,9:30,258,-0.009526977498864221,70.6736856180339
5713.T,10:00,258,-0.032730185060465114,78.78721314304943
5713.T,11:00,258,0.07026710480388186,94.20730841424584
5713.T,11:30,258,-0.01846436491618093,103.43990707154741
5713.T,13:30,258,0.07755834019773188,112.3768193089205
5713.T,14:00,258,0.058620105037802676,106.86069587505972
8035.T,9:30,257,0.0010121811624187245,60.573691420173844
8035.T,10:00,257,-0.08740094079261343,65.3857779851898
8035.T,11:00,257,-0.09736621617013654,74.14512183026088
8035.T,11:30,257,-0.110266003755906,80.37328010703992
8035.T,13:30,257,-0.04371809472785308,82.17179840368023
8035.T,14:00,257,-0.058560465450402284,81.78589702977956
6857.T,9:30,258,0.0193665659664746,79.34496642464516
6857.T,10:00,258,0.05876977933425193,83.53414882993371
6857.T,11:00,258,-0.020141252598878362,102.17419297087268
6857.T,11:30,258,0.006827464827330957,107.1326707637094
6857.T,13:30,258,-0.05667140603928058,116.27374932879046
6857.T,14:00,258,-0.10994376893431404,118.69654899604765
6146.T,9:30,257,0.01479444628168291,63.936054975498344
6146.T,10:00,257,0.04218782909725148,79.20693105372402
6146.T,11:00,257,0.00237381518997283,88.81452133772649
6146.T,11:30,257,-0.04471922300279204,100.06240431858141
6146.T,13:30,257,-0.012178130457670617,102.26694375186082
6146.T,14:00,257,-0.02896949148032339,102.91798436476121
4063.T,9:30,258,0.08063289697655557,52.31091573339832
4063.T,10:00,258,0.12358041856457372,56.18130396415875
4063.T,11:00,258,0.08776397444772924,61.755996969528226
4063.T,11:30,258,0.11706153661568584,61.16332329136955
4063.T,13:30,258,0.05314138258056277,70.78994676557595
4063.T,14:00,258,0.05915731787114422,67.99302380117643
6963.T,9:30,257,0.02415472164458731,62.81214808079853
6963.T,10:00,257,0.07808451506004957,71.5914455795457
6963.T,11:00,257,0.0638422772530387,78.77591323529265
6963.T,11:30,257,-0.014496479547873413,85.77746204760966
6963.T,13:30,257,-0.057494985207295485,87.75677287016872
6963.T,14:00,257,-0.15930811198932046,91.31615388678934
