subset,thresh,n,full_sharpe,full_t,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
T+D+L,150,103,2.376610970668228,1.519415104816678,51,3.6150268340289835,1.6262838268607513,52,1.160227583250114,0.5270412258226317
T+D+L,175,69,4.106434727238696,2.1487663733514375,34,3.670260953508425,1.3481435293342912,35,4.475601725436986,1.667958283048742
T+D+L,200,41,6.764042958968549,2.728337015430546,20,4.205882449448955,1.18487314901326,21,9.942444794164675,2.870136589156984
T+D+L,225,25,8.793970326442784,2.7698403000772736,12,5.8535545190337945,1.2773503175249137,13,13.384028365443436,3.039892697779252
T+D+L,250,18,5.950084073306842,1.590226858915323,9,2.6606977309590123,0.5028246078593849,9,10.758924811988523,2.0332456733545707
T+D+L,275,8,4.6119403721858045,0.8217286076642846,4,10.720846439785834,1.3506996916088343,4,1.5392700855707724,0.19392980223720835
T+D+L,300,5,11.011156045883057,1.551020896942949,2,,,3,5.056674402674132,0.551728409880948
T+D+L+MK,150,150,1.9763860281508716,1.5248149248097638,75,2.45775897800937,1.3408174472244339,75,1.5268646902946468,0.8329729784798244
T+D+L+MK,175,102,2.648461138081187,1.684974839424606,51,3.3386487188269114,1.5019502383461543,51,1.9123219301458194,0.8602918787413759
T+D+L+MK,200,63,5.301492910686965,2.6507464553434827,31,6.405863650636344,2.246768192586345,32,4.142790864571256,1.4762765752650135
T+D+L+MK,225,40,6.244311448870382,2.4877932297613934,20,8.30192938030423,2.3388036460732655,20,4.081998648009555,1.1499728417204425
T+D+L+MK,250,29,3.7492282763692133,1.2718638169922427,14,5.496441910565205,1.2955237824528663,15,1.9368816923061947,0.4725507462035734
T+D+L+MK,275,15,3.639645633844827,0.8879826098939941,7,1.5077712151302252,0.2512952025217042,8,4.958185162212294,0.8834204827230753
T+D+L+MK,300,8,10.118657975313171,1.8028833979795036,4,12.961440608019611,1.6329880229501765,4,6.090302999065885,0.7673060545028176
T+D+L+MM,150,116,2.4212116526790206,1.6427121889225715,58,3.8979496353104808,1.8700359249225036,58,1.0930864166281673,0.5244066905386431
T+D+L+MM,175,79,3.913884483802692,2.191398090054273,39,3.3736730664415586,1.3271958869218512,40,4.357396087223076,1.736028155216922
T+D+L+MM,200,48,5.979970288705274,2.6098730001503663,24,3.9182338094357947,1.2091932054613437,24,8.119752182590641,2.5058099252714863
T+D+L+MM,225,29,6.4718570486029785,2.1954706947947216,14,7.162649905062326,1.688252773044917,15,5.559556874626805,1.3563929898774545
T+D+L+MM,250,22,3.8812356343603396,1.1467825610857645,11,4.787969843544344,1.0003396396430726,11,2.698890926508349,0.5638731372753927
T+D+L+MM,275,9,4.018467418966415,0.7594189601571953,4,10.720846439785834,1.3506996916088343,5,0.9670059849687825,0.13621153709071776
T+D+L+MM,300,6,8.95496510557916,1.3817811145845023,3,8.860682319809822,0.966779700940129,3,7.3457167913652945,0.801483410241419
