subset,thresh,n,full_sharpe,full_t,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
T+D+L,150,264,-0.27353439248365147,-0.27997137652767345,132,-0.1130193644694116,-0.08179741065751778,132,-0.43394681326874035,-0.3140676454438139
T+D+L,175,187,0.49044423312623137,0.42248390157114285,93,0.9533537008649202,0.579155600930992,94,0.029837617861771703,0.018223332694056217
T+D+L,200,133,1.4438379700778199,1.0489239670693533,66,2.320427789605106,1.187516780778557,67,0.4272848369510215,0.2203203497049266
T+D+L,225,95,2.972284226247112,1.8249537769225221,47,4.530587482504646,1.9566050915328632,48,1.0867369924080164,0.47429090744936997
T+D+L,250,64,3.9475819694377794,1.9893943183190368,32,4.1993860861882935,1.4964441875525847,32,3.75373591621768,1.337637497039479
T+D+L,275,51,6.111674398231718,2.749444937814111,25,5.013390061687533,1.579069443879521,26,7.852688354953947,2.5223466133936197
T+D+L,300,33,8.25773002254764,2.988253105670465,16,6.316799648775044,1.5916839002360874,17,11.737257836749329,3.048532541817867
T+D+L+MK,150,380,-0.685599471505079,-0.8419028933575863,190,-1.3893883332710135,-1.2064245822665103,190,-0.046771217880451,-0.04061207773400284
T+D+L+MK,175,279,-0.2616928159585617,-0.2753554214656013,139,-0.535400318523093,-0.3976360536323479,140,-0.01105645863196868,-0.008240997697165433
T+D+L+MK,200,211,0.5497781432369173,0.5030700092921438,105,1.3924739825435626,0.8988380907363893,106,-0.28717371499434047,-0.18625045769483523
T+D+L+MK,225,156,1.5086729386719218,1.1870175203595783,78,2.9083457745316816,1.6180542170787944,78,0.10714054329846615,0.05960749558126787
T+D+L+MK,250,113,2.730311120569181,1.8283152819644566,56,3.9511732975888387,1.8626009549121867,57,1.491451290926331,0.7093265762655129
T+D+L+MK,275,89,4.437316726109596,2.637030553855101,44,5.875844012268243,2.4552534263583365,45,3.1650342468515933,1.337471080044045
T+D+L+MK,300,62,5.262036860174715,2.610053805704831,31,6.623206424434452,2.3229981683850918,31,4.033486896343169,1.4146898151691722
T+D+L+MM,150,308,-0.12185807785201554,-0.13471917396968433,154,-0.18571742748041833,-0.14518199145466984,154,-0.06115671448846962,-0.047808402909289956
T+D+L+MM,175,216,0.6226989935366698,0.5765072443243869,108,0.34706214360021226,0.22720550627165803,108,0.898546071651902,0.5882364841071507
T+D+L+MM,200,155,1.8026456291231536,1.413760809609504,77,1.9605213895740758,1.0837189737805661,78,1.6269899503995815,0.905173646628304
T+D+L+MM,225,109,3.175233017903034,2.0882792854519248,54,4.185538603937489,1.9375278839496353,55,2.0941524739578727,0.978339016228553
T+D+L+MM,250,75,3.753764283915078,2.0478463061979224,37,4.668229695220255,1.788763022571299,38,2.662392140264697,1.0338643269435115
T+D+L+MM,275,58,5.449478448050407,2.6143797184114916,29,5.5556899122598695,1.8846761138468187,29,5.273024902635784,1.7887866743222687
T+D+L+MM,300,38,6.4285982584459225,2.4963634436652318,19,7.191535752935115,1.974686576727076,19,5.46720733049549,1.5012121608805302
