combo,k,label,full_n,full_sharpe,full_t,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
TEL+ディスコ,2,Full,21,9.90329085045687,2.8588338191872156,10,7.420680348319142,1.4782349088394255,11,12.590578991699934,2.6305210064003415
TEL+ディスコ+三菱マテ,3,Full,28,7.287193449611095,2.4290644832036983,14,5.567773312530323,1.312336755133226,14,8.708779237842,2.052678951644897
TEL+ディスコ+レーザー,3,Full,41,6.764042958968549,2.728337015430546,20,4.205882449448955,1.18487314901326,21,9.942444794164675,2.870136589156984
ディスコ+三菱マテ,2,Full,23,6.476445330222396,1.9565923514049774,11,5.149531437913474,1.0758798804630207,12,7.371571469849411,1.6086087738743717
ディスコ+レーザー,2,Full,36,6.224169717789436,2.3525150273042748,18,4.31606156759463,1.153515974725826,18,8.517756629851936,2.2764662152020145
TEL+ディスコ+レーザー+三菱マテ,4,Full,48,5.979970288705274,2.6098730001503663,24,3.9182338094357947,1.2091932054613437,24,8.119752182590641,2.5058099252714863
TEL+ディスコ+三井金属,3,Full,43,5.682494084977872,2.3473235164569384,21,8.338769170849949,2.407195312750184,22,3.3270602799191296,0.9830412446270329
ディスコ+レーザー+三菱マテ,3,Full,43,5.494725278715962,2.269760015641197,21,3.6077789009172445,1.0414760598106116,22,7.342126645098604,2.169366560314462
TEL+レーザー,2,Full,25,5.419383545280684,1.7069453714390757,12,2.600033878075885,0.5673739074158249,13,8.820044376755567,2.0032824021962448
TEL+ディスコ+レーザー+三井金属,4,Full,63,5.301492910686965,2.6507464553434827,31,6.405863650636344,2.246768192586345,32,4.142790864571256,1.4762765752650135
TEL+アドバン+ディスコ,3,Full,38,5.249977440593304,2.0386795434830214,19,4.059224869151606,1.114601544984173,19,7.375420905282295,2.0251786488621817
ディスコ+三井金属,2,Full,38,5.178739414716777,2.0110162805993284,19,6.862554217874462,1.8843532399276028,19,3.534410369807559,0.970495448215696
TEL+ディスコ+三菱マテ+三井金属,4,Full,50,5.176983980108388,2.306011946474156,25,7.465846209367437,2.351520523409583,25,3.303750949967557,1.0405837389651844
TEL+三菱マテ,2,Full,12,4.998202497855712,1.0906972040543406,6,0.6862478461702783,0.10589034156834427,6,9.815587579179205,1.5145780453136513
TEL+アドバン+ディスコ+レーザー,4,Full,58,4.982506173119112,2.3903504179418995,29,3.5990005550527533,1.2209015418339444,29,7.128458743331676,2.4182119834393125
TEL+ディスコ+レーザー+三菱マテ+三井金属,5,Full,70,4.9816583555841465,2.625564488075815,35,5.741425003981062,2.1397027661031087,35,4.2012199300145365,1.5657022253232353
ディスコ+レーザー+三井金属,3,Full,58,4.9472653696276225,2.3734436914015578,29,6.014506394967778,2.0403220334814995,29,3.812470336199716,1.2933176420680443
TEL+アドバン+ディスコ+三菱マテ,4,Full,45,4.75320373826419,2.008595181492735,22,4.737370604979635,1.3997434082835127,23,4.7185088296833335,1.4255039323983976
ディスコ+三菱マテ+三井金属,3,Full,45,4.723695313479984,1.9961255961143813,22,6.129215872381473,1.8109897305257434,23,3.5190502389776612,1.0631367101429872
TEL+アドバン+ディスコ+レーザー+三菱マテ,5,Full,65,4.671652401646785,2.3726131285168015,32,3.501924166620776,1.2479048024722674,33,6.120644784594093,2.2148987356486947
