symbol,sector,signal_time,threshold,strategy,N,mean_bps,WR,Sharpe,t_stat
1605.T,エネルギー,09:30,20,Trend,156,-6.024,50.0,-0.788,-0.62
1605.T,エネルギー,09:30,20,Reversion,156,-1.976,45.51,-0.259,-0.203
1605.T,エネルギー,09:30,30,Trend,105,-8.914,46.67,-1.068,-0.689
1605.T,エネルギー,09:30,30,Reversion,105,0.914,50.48,0.109,0.071
1605.T,エネルギー,09:30,50,Trend,63,-6.778,49.21,-0.708,-0.354
1605.T,エネルギー,09:30,50,Reversion,63,-1.222,46.03,-0.128,-0.064
1605.T,エネルギー,10:00,20,Trend,162,4.181,51.85,0.577,0.463
1605.T,エネルギー,10:00,20,Reversion,162,-12.181,43.21,-1.681,-1.348
1605.T,エネルギー,10:00,30,Trend,125,-2.16,49.6,-0.288,-0.203
1605.T,エネルギー,10:00,30,Reversion,125,-5.84,46.4,-0.779,-0.548
1605.T,エネルギー,10:00,50,Trend,73,-4.196,49.32,-0.502,-0.27
1605.T,エネルギー,10:00,50,Reversion,73,-3.804,49.32,-0.455,-0.245
1605.T,エネルギー,11:00,20,Trend,177,2.978,49.15,0.484,0.405
1605.T,エネルギー,11:00,20,Reversion,177,-10.978,46.89,-1.783,-1.494
1605.T,エネルギー,11:00,30,Trend,139,0.758,44.6,0.122,0.09
1605.T,エネルギー,11:00,30,Reversion,139,-8.758,50.36,-1.407,-1.045
1605.T,エネルギー,11:00,50,Trend,86,3.288,45.35,0.528,0.308
1605.T,エネルギー,11:00,50,Reversion,86,-11.288,50.0,-1.812,-1.059
1925.T,内需・消費,09:30,20,Trend,146,-0.727,45.89,-0.138,-0.105
1925.T,内需・消費,09:30,20,Reversion,146,-7.273,48.63,-1.383,-1.053
1925.T,内需・消費,09:30,30,Trend,86,2.552,45.35,0.466,0.272
1925.T,内需・消費,09:30,30,Reversion,86,-10.552,47.67,-1.925,-1.125
1925.T,内需・消費,09:30,50,Trend,33,40.502,66.67,7.98,2.888
1925.T,内需・消費,09:30,50,Reversion,33,-48.502,30.3,-9.556,-3.458
1925.T,内需・消費,10:00,20,Trend,154,-4.813,44.81,-1.035,-0.809
1925.T,内需・消費,10:00,20,Reversion,154,-3.187,49.35,-0.685,-0.536
1925.T,内需・消費,10:00,30,Trend,112,-3.941,45.54,-0.825,-0.55
1925.T,内需・消費,10:00,30,Reversion,112,-4.059,49.11,-0.849,-0.566
1925.T,内需・消費,10:00,50,Trend,49,14.027,53.06,2.829,1.247
1925.T,内需・消費,10:00,50,Reversion,49,-22.027,42.86,-4.442,-1.959
1925.T,内需・消費,11:00,20,Trend,149,1.98,49.66,0.471,0.363
1925.T,内需・消費,11:00,20,Reversion,149,-9.98,42.95,-2.376,-1.827
1925.T,内需・消費,11:00,30,Trend,106,2.584,47.17,0.57,0.369
1925.T,内需・消費,11:00,30,Reversion,106,-10.584,43.4,-2.333,-1.513
1925.T,内需・消費,11:00,50,Trend,53,-9.939,41.51,-2.264,-1.038
1925.T,内需・消費,11:00,50,Reversion,53,1.939,49.06,0.442,0.203
1928.T,内需・消費,09:30,20,Trend,123,-9.422,51.22,-1.37,-0.957
1928.T,内需・消費,09:30,20,Reversion,123,1.422,47.15,0.207,0.145
1928.T,内需・消費,09:30,30,Trend,85,-5.859,51.76,-0.792,-0.46
1928.T,内需・消費,09:30,30,Reversion,85,-2.141,45.88,-0.289,-0.168
1928.T,内需・消費,09:30,50,Trend,33,-19.183,42.42,-3.216,-1.164
1928.T,内需・消費,09:30,50,Reversion,33,11.183,54.55,1.875,0.678
1928.T,内需・消費,10:00,20,Trend,136,1.26,50.74,0.214,0.157
1928.T,内需・消費,10:00,20,Reversion,136,-9.26,42.65,-1.57,-1.153
1928.T,内需・消費,10:00,30,Trend,96,-0.121,53.12,-0.019,-0.011
1928.T,内需・消費,10:00,30,Reversion,96,-7.879,38.54,-1.212,-0.748
1928.T,内需・消費,10:00,50,Trend,38,1.534,47.37,0.327,0.127
1928.T,内需・消費,10:00,50,Reversion,38,-9.534,42.11,-2.033,-0.789
1928.T,内需・消費,11:00,20,Trend,137,8.448,54.01,1.647,1.215
1928.T,内需・消費,11:00,20,Reversion,137,-16.448,40.15,-3.207,-2.365
