symbol,sector,signal_time,threshold,strategy,N,mean_bps,WR,Sharpe,t_stat
1925.T,内需・消費,09:30,50,Trend,33,40.502,66.67,7.98,2.888
9983.T,内需・消費,09:30,50,Trend,44,42.045,63.64,7.533,3.148
5020.T,エネルギー,09:30,50,Trend,70,38.743,58.57,5.562,2.932
8604.T,銀行・金融,09:30,50,Reversion,51,34.991,62.75,4.889,2.199
5332.T,その他,09:30,50,Trend,63,44.741,53.97,4.779,2.389
8001.T,商社,11:00,30,Trend,131,853.393,56.49,4.489,3.236
8830.T,不動産,11:00,50,Trend,93,441.435,58.06,4.438,2.696
9023.T,電力・鉄道,11:00,30,Trend,91,17.921,59.34,4.18,2.512
9023.T,電力・鉄道,10:00,30,Trend,75,21.854,54.67,3.901,2.128
9023.T,電力・鉄道,10:00,20,Trend,117,17.914,56.41,3.507,2.39
4911.T,内需・消費,10:00,50,Trend,102,31.617,59.8,3.419,2.175
5020.T,エネルギー,09:30,30,Trend,135,25.733,54.81,3.408,2.494
5016.T,エネルギー,10:00,30,Reversion,161,49.861,54.66,3.214,2.569
6098.T,電機・精密,10:00,50,Trend,113,28.681,63.72,3.188,2.135
7267.T,自動車,11:00,30,Trend,121,13.712,50.41,3.183,2.206
8830.T,不動産,11:00,20,Trend,179,321.572,59.22,3.03,2.554
5016.T,エネルギー,10:00,50,Reversion,117,51.072,53.85,3.029,2.064
5016.T,エネルギー,10:00,20,Reversion,188,46.363,54.26,2.958,2.555
8001.T,商社,11:00,20,Trend,164,629.454,53.05,2.913,2.35
4911.T,内需・消費,10:00,30,Trend,154,25.112,56.49,2.876,2.248
6367.T,機械・重工,10:00,30,Trend,128,19.32,58.59,2.832,2.018
5020.T,エネルギー,09:30,20,Trend,169,19.909,53.85,2.789,2.284
8411.T,銀行・金融,10:00,20,Trend,174,16.843,52.87,2.68,2.227
4911.T,内需・消費,10:00,20,Trend,185,22.97,55.68,2.669,2.286
8830.T,不動産,11:00,30,Trend,148,283.299,57.43,2.611,2.001
6098.T,電機・精密,10:00,30,Trend,172,21.682,59.88,2.453,2.027
