regime,session,dow,n,bps,t,wr
All,ON,Mon,21,-2.89,-0.09,38.1
All,ON,Tue,31,31.77,0.52,48.4
All,ON,Wed,30,158.59,2.33,60.0
All,ON,Thu,32,119.36,1.662,59.4
All,ON,Fri,34,33.02,0.554,58.8
Pre,ON,Mon,17,10.47,0.39,35.3
Pre,ON,Tue,27,17.76,0.267,48.1
Pre,ON,Wed,29,154.11,2.192,58.6
Pre,ON,Thu,27,95.61,1.212,55.6
Pre,ON,Fri,30,96.2,2.192,63.3
Post,ON,Mon,4,-59.66,-0.438,50.0
Post,ON,Tue,3,-4.46,-0.03,33.3
Post,ON,Wed,1,288.46,,100.0
Post,ON,Thu,4,241.55,1.042,75.0
Post,ON,Fri,3,-116.74,-1.57,33.3
All,日中,Mon,21,20.5,0.854,52.4
All,日中,Tue,32,-41.51,-0.841,40.6
All,日中,Wed,30,86.43,1.789,60.0
All,日中,Thu,32,-15.44,-0.392,50.0
All,日中,Fri,34,25.18,0.504,47.1
Pre,日中,Mon,17,19.99,0.736,52.9
Pre,日中,Tue,28,-17.29,-0.408,39.3
Pre,日中,Wed,29,91.18,1.832,62.1
Pre,日中,Thu,27,10.42,0.278,51.9
Pre,日中,Fri,30,41.92,0.816,46.7
Post,日中,Mon,4,22.68,0.387,50.0
Post,日中,Tue,3,41.17,0.252,66.7
Post,日中,Wed,1,-51.4,,0.0
Post,日中,Thu,4,-112.08,-0.614,50.0
Post,日中,Fri,3,-77.16,-0.29,66.7
All,全日,Mon,21,17.35,0.47,42.9
All,全日,Tue,31,-5.29,-0.066,58.1
All,全日,Wed,30,247.97,2.709,63.3
All,全日,Thu,32,102.63,1.297,56.2
All,全日,Fri,34,59.4,0.729,58.8
Pre,全日,Mon,17,30.5,0.792,47.1
Pre,全日,Tue,27,7.89,0.092,59.3
Pre,全日,Wed,29,248.4,2.622,62.1
Pre,全日,Thu,27,106.64,1.164,59.3
Pre,全日,Fri,30,138.42,2.063,60.0
Post,全日,Mon,4,-38.55,-0.341,25.0
Post,全日,Tue,3,40.63,0.136,66.7
Post,全日,Wed,1,235.58,,100.0
Post,全日,Thu,4,117.25,0.76,50.0
Post,全日,Fri,3,-191.32,-0.637,66.7
All,前場,Mon,21,-0.3,-0.015,42.9
All,前場,Tue,32,-15.72,-0.456,40.6
All,前場,Wed,30,75.23,1.923,56.7
All,前場,Thu,32,10.97,0.324,59.4
All,前場,Fri,34,-7.67,-0.221,35.3
Pre,前場,Mon,17,3.9,0.173,47.1
Pre,前場,Tue,28,0.28,0.009,39.3
Pre,前場,Wed,29,81.69,2.045,58.6
Pre,前場,Thu,27,46.55,1.477,66.7
Pre,前場,Fri,30,5.99,0.169,36.7
Post,前場,Mon,4,-18.16,-0.418,25.0
Post,前場,Tue,3,48.02,0.53,66.7
Post,前場,Wed,1,-112.15,,0.0
Post,前場,Thu,4,-210.83,-1.609,25.0
Post,前場,Fri,3,-143.64,-0.798,33.3
All,後場,Mon,21,23.17,1.063,61.9
All,後場,Tue,32,-27.59,-1.112,40.6
All,後場,Wed,30,4.83,0.195,50.0
All,後場,Thu,32,-15.08,-0.755,43.8
All,後場,Fri,34,25.23,1.236,50.0
Pre,後場,Mon,17,23.34,0.882,58.8
Pre,後場,Tue,28,-19.05,-0.768,39.3
Pre,後場,Wed,29,2.88,0.112,48.3
Pre,後場,Thu,27,-25.05,-1.235,40.7
Pre,後場,Fri,30,29.77,1.467,50.0
Post,後場,Mon,4,22.48,0.814,75.0
Post,後場,Tue,3,-5.01,-0.056,66.7
Post,後場,Wed,1,61.44,,100.0
Post,後場,Thu,4,93.6,1.885,75.0
Post,後場,Fri,3,41.69,0.378,66.7
All,引け前30分,Mon,21,6.52,0.675,66.7
All,引け前30分,Tue,32,-4.99,-0.528,53.1
All,引け前30分,Wed,30,7.74,0.733,46.7
All,引け前30分,Thu,32,4.52,0.564,53.1
All,引け前30分,Fri,34,6.24,0.694,58.8
Pre,引け前30分,Mon,17,7.3,0.657,70.6
Pre,引け前30分,Tue,28,0.6,0.072,53.6
Pre,引け前30分,Wed,29,3.91,0.384,44.8
Pre,引け前30分,Thu,27,4.52,0.541,55.6
Pre,引け前30分,Fri,30,10.24,1.222,60.0
Post,引け前30分,Mon,4,3.21,0.149,50.0
Post,引け前30分,Tue,3,1.21,0.042,66.7
Post,引け前30分,Wed,1,118.82,,100.0
Post,引け前30分,Thu,4,18.02,0.591,50.0
Post,引け前30分,Fri,3,-46.61,-0.823,33.3
All,ラスト5分,Mon,4,10.05,0.445,50.0
All,ラスト5分,Tue,3,-36.06,-0.751,33.3
All,ラスト5分,Wed,1,-23.43,,0.0
All,ラスト5分,Thu,4,14.64,0.579,25.0
All,ラスト5分,Fri,3,-42.36,-1.209,0.0
Post,ラスト5分,Mon,4,10.05,0.445,50.0
Post,ラスト5分,Tue,2,1.56,0.03,50.0
Post,ラスト5分,Wed,1,-23.43,,0.0
Post,ラスト5分,Thu,4,14.64,0.579,25.0
Post,ラスト5分,Fri,3,-42.36,-1.209,0.0
