event_date,event_close,event_ret_oc_bps,vol,vol_ratio,entry_date,entry_price,exit_date,exit_price,ret_bps
2018-01-04,5356.0,256.60666411336575,3295000,,2018-01-05,5399.0,2018-01-19,5310.0,-164.84534172995004
2018-01-05,5490.0,168.54973143174635,2950700,,2018-01-09,5519.0,2018-01-22,5191.0,-594.3105635078816
2018-01-10,5443.0,291.1703535640009,2119400,,2018-01-11,5424.0,2018-01-24,5154.0,-497.787610619469
2018-01-11,5491.0,123.52507374631338,2031500,,2018-01-12,5470.0,2018-01-25,5270.0,-365.6307129798908
2018-01-17,5295.0,64.62649686371336,2299400,,2018-01-18,5366.0,2018-01-31,5108.0,-480.8050689526644
2022-01-13,5048.0,306.2474479379329,3809300,3.8146404966953735,2022-01-14,5015.0,2022-01-27,5123.0,215.353938185443
2024-03-14,4335.0,204.80225988700474,6021200,3.568647206993629,2024-03-15,4280.0,2024-03-29,4587.0,717.2897196261684
2025-06-27,3610.0,314.2857142857136,4041800,3.366623630835867,2025-06-30,3580.0,2025-07-11,3558.0,-61.452513966480105
2025-09-25,4818.0,614.6728354263065,7903900,3.480054596688975,2025-09-26,4770.0,2025-10-09,5242.0,989.517819706498
2025-12-24,6488.0,551.3091559603179,6617700,3.1886383347788376,2025-12-25,6488.0,2026-01-13,7510.0,1575.2157829839698
