date,year,month,dow,sym,name,sector,direction,open_price,entry_price,exit_price,signal_ret,gross_ret,net_ret,pnl_gross,pnl_net,mae_ret,win
2024-12-03,2024,12,1,5713.T,住山,非鉄,LONG,3724.0,3742.0,3744.0,0.483,0.053,0.013,5345.0,1345.0,-0.321,True
2024-12-05,2024,12,3,5713.T,住山,非鉄,SHORT,3710.0,3680.0,3670.0,-0.809,0.272,0.232,27248.0,23248.0,-0.809,True
2024-12-10,2024,12,1,5713.T,住山,非鉄,LONG,3787.0,3820.0,3809.0,0.871,-0.288,-0.328,-28796.0,-32796.0,-0.419,False
2024-12-11,2024,12,2,5713.T,住山,非鉄,SHORT,3734.0,3709.0,3694.0,-0.67,0.406,0.366,40606.0,36606.0,-0.403,True
2024-12-12,2024,12,3,5713.T,住山,非鉄,LONG,3750.0,3773.0,3800.0,0.613,0.716,0.676,71561.0,67561.0,-0.186,True
2024-12-13,2024,12,4,5713.T,住山,非鉄,LONG,3714.0,3755.0,3669.0,1.104,-2.29,-2.33,-229028.0,-233028.0,-2.53,False
2024-12-16,2024,12,0,5713.T,住山,非鉄,LONG,3630.0,3642.0,3591.0,0.331,-1.4,-1.44,-140033.0,-144033.0,-1.4,False
2024-12-18,2024,12,2,5713.T,住山,非鉄,LONG,3505.0,3531.0,3523.0,0.742,-0.227,-0.267,-22656.0,-26656.0,-0.227,False
2024-12-23,2024,12,0,5713.T,住山,非鉄,SHORT,3455.0,3440.0,3462.0,-0.434,-0.635,-0.675,-63547.0,-67547.0,-0.836,False
2024-12-24,2024,12,1,5713.T,住山,非鉄,LONG,3472.0,3499.0,3492.0,0.778,-0.2,-0.24,-20006.0,-24006.0,-0.372,False
2024-12-25,2024,12,2,5713.T,住山,非鉄,SHORT,3495.0,3484.0,3456.0,-0.315,0.81,0.77,81019.0,77019.0,-0.115,True
2024-12-27,2024,12,4,5713.T,住山,非鉄,LONG,3553.0,3569.0,3603.0,0.45,0.953,0.913,95265.0,91265.0,-0.056,True
2024-12-30,2024,12,0,5713.T,住山,非鉄,LONG,3608.0,3629.0,3635.0,0.582,0.165,0.125,16533.0,12533.0,-0.028,True
2025-01-06,2025,1,0,5713.T,住山,非鉄,SHORT,3629.0,3593.0,3594.0,-0.992,-0.028,-0.068,-2782.0,-6782.0,-0.691,False
2025-01-07,2025,1,1,5713.T,住山,非鉄,SHORT,3639.0,3578.0,3599.0,-1.676,-0.583,-0.623,-58350.0,-62350.0,-0.776,False
2025-01-08,2025,1,2,5713.T,住山,非鉄,LONG,3656.0,3669.0,3632.0,0.356,-1.008,-1.048,-100845.0,-104845.0,-1.581,False
2025-01-09,2025,1,3,5713.T,住山,非鉄,SHORT,3610.0,3568.0,3579.0,-1.163,-0.307,-0.347,-30735.0,-34735.0,-0.474,False
2025-01-10,2025,1,4,5713.T,住山,非鉄,LONG,3585.0,3606.0,3571.0,0.586,-0.971,-1.011,-97060.0,-101060.0,-1.359,False
2025-01-15,2025,1,2,5713.T,住山,非鉄,SHORT,3588.0,3574.0,3568.0,-0.39,0.168,0.128,16816.0,12816.0,-0.168,True
2025-01-16,2025,1,3,5713.T,住山,非鉄,LONG,3571.0,3586.0,3563.0,0.42,-0.641,-0.681,-64138.0,-68138.0,-1.004,False
2025-01-17,2025,1,4,5713.T,住山,非鉄,SHORT,3531.0,3517.0,3535.0,-0.396,-0.509,-0.549,-50919.0,-54919.0,-0.65,False
2025-01-20,2025,1,0,5713.T,住山,非鉄,LONG,3594.0,3618.0,3609.0,0.668,-0.249,-0.289,-24876.0,-28876.0,-0.415,False
2025-01-21,2025,1,1,5713.T,住山,非鉄,LONG,3625.0,3656.0,3627.0,0.855,-0.793,-0.833,-79322.0,-83322.0,-1.067,False
2025-01-22,2025,1,2,5713.T,住山,非鉄,LONG,3581.0,3621.0,3709.0,1.117,2.43,2.39,243027.0,239027.0,-0.442,True
2025-01-23,2025,1,3,5713.T,住山,非鉄,SHORT,3643.0,3603.0,3610.0,-1.098,-0.194,-0.234,-19391.0,-23391.0,-0.579,False
2025-01-27,2025,1,0,5713.T,住山,非鉄,SHORT,3656.0,3643.0,3651.0,-0.356,-0.219,-0.259,-21912.0,-25912.0,-0.437,False
2025-01-30,2025,1,3,5713.T,住山,非鉄,SHORT,3618.0,3586.0,3578.0,-0.884,0.224,0.184,22359.0,18359.0,-0.195,True
2025-01-31,2025,1,4,5713.T,住山,非鉄,SHORT,3614.0,3584.0,3573.0,-0.83,0.308,0.268,30786.0,26786.0,-0.278,True
2025-02-03,2025,2,0,5713.T,住山,非鉄,SHORT,3526.0,3482.0,3497.0,-1.248,-0.429,-0.469,-42894.0,-46894.0,-1.164,False
2025-02-05,2025,2,2,5713.T,住山,非鉄,LONG,3544.0,3590.0,3558.0,1.298,-0.891,-0.931,-89136.0,-93136.0,-1.086,False
2025-02-10,2025,2,0,5713.T,住山,非鉄,SHORT,3642.0,3603.0,3620.0,-1.071,-0.47,-0.51,-46961.0,-50961.0,-0.634,False
2025-02-12,2025,2,2,5713.T,住山,非鉄,SHORT,3676.0,3619.0,3581.0,-1.551,1.061,1.021,106116.0,102116.0,-0.083,True
2025-02-13,2025,2,3,5713.T,住山,非鉄,LONG,3450.0,3468.0,3504.0,0.522,1.038,0.998,103806.0,99806.0,-0.058,True
2025-02-14,2025,2,4,5713.T,住山,非鉄,SHORT,3570.0,3476.0,3516.0,-2.633,-1.138,-1.178,-113766.0,-117766.0,-1.306,False
2025-02-17,2025,2,0,5713.T,住山,非鉄,LONG,3462.0,3511.0,3512.0,1.415,0.028,-0.012,2848.0,-1152.0,-0.313,False
2025-02-18,2025,2,1,5713.T,住山,非鉄,SHORT,3470.0,3421.0,3424.0,-1.412,-0.088,-0.128,-8762.0,-12762.0,-0.233,False
2025-02-26,2025,2,2,5713.T,住山,非鉄,SHORT,3311.0,3295.0,3296.0,-0.483,-0.03,-0.07,-3034.0,-7034.0,-0.091,False
2025-02-27,2025,2,3,5713.T,住山,非鉄,LONG,3342.0,3360.0,3380.0,0.539,0.595,0.555,59524.0,55524.0,-0.03,True
2025-02-28,2025,2,4,5713.T,住山,非鉄,SHORT,3324.0,3294.0,3283.0,-0.903,0.335,0.295,33506.0,29506.0,-0.242,True
2025-03-03,2025,3,0,5713.T,住山,非鉄,SHORT,3278.0,3252.0,3272.0,-0.793,-0.611,-0.651,-61125.0,-65125.0,-0.823,False
2025-03-05,2025,3,2,5713.T,住山,非鉄,LONG,3152.0,3173.0,3159.0,0.666,-0.441,-0.481,-44122.0,-48122.0,-0.536,False
2025-03-06,2025,3,3,5713.T,住山,非鉄,LONG,3222.0,3260.0,3240.0,1.179,-0.613,-0.653,-61350.0,-65350.0,-0.798,False
2025-03-07,2025,3,4,5713.T,住山,非鉄,SHORT,3185.0,3170.0,3197.0,-0.471,-0.845,-0.885,-84454.0,-88454.0,-0.968,False
2025-03-10,2025,3,0,5713.T,住山,非鉄,SHORT,3230.0,3195.0,3204.0,-1.084,-0.281,-0.321,-28090.0,-32090.0,-0.622,False
2025-03-12,2025,3,2,5713.T,住山,非鉄,SHORT,3128.0,3112.0,3128.0,-0.512,-0.512,-0.552,-51151.0,-55151.0,-0.829,False
2025-03-13,2025,3,3,5713.T,住山,非鉄,SHORT,3152.0,3142.0,3156.0,-0.317,-0.444,-0.484,-44360.0,-48360.0,-0.57,False
2025-03-14,2025,3,4,5713.T,住山,非鉄,LONG,3085.0,3118.0,3137.0,1.07,0.609,0.569,60936.0,56936.0,-0.225,True
2025-03-17,2025,3,0,5713.T,住山,非鉄,SHORT,3313.0,3279.0,3320.0,-1.026,-1.235,-1.275,-123494.0,-127494.0,-1.413,False
2025-03-18,2025,3,1,5713.T,住山,非鉄,LONG,3388.0,3450.0,3437.0,1.83,-0.377,-0.417,-37681.0,-41681.0,-1.101,False
2025-03-19,2025,3,2,5713.T,住山,非鉄,SHORT,3511.0,3500.0,3521.0,-0.313,-0.596,-0.636,-59642.0,-63642.0,-1.13,False
2025-03-24,2025,3,0,5713.T,住山,非鉄,SHORT,3470.0,3457.0,3442.0,-0.375,0.436,0.396,43579.0,39579.0,-0.661,True
2025-03-26,2025,3,2,5713.T,住山,非鉄,LONG,3585.0,3619.0,3633.0,0.948,0.387,0.347,38685.0,34685.0,-0.47,True
2025-03-28,2025,3,4,5713.T,住山,非鉄,SHORT,3544.0,3511.0,3453.0,-0.931,1.68,1.64,167970.0,163970.0,-0.199,True
2025-03-31,2025,3,0,5713.T,住山,非鉄,SHORT,3350.0,3317.0,3288.0,-0.985,0.882,0.842,88200.0,84200.0,-0.301,True
2025-04-01,2025,4,1,5713.T,住山,非鉄,SHORT,3245.0,3221.0,3206.0,-0.74,0.468,0.428,46787.0,42787.0,-0.433,True
2025-04-02,2025,4,2,5713.T,住山,非鉄,SHORT,3210.0,3169.0,3182.0,-1.277,-0.409,-0.449,-40855.0,-44855.0,-0.502,False
2025-04-03,2025,4,3,5713.T,住山,非鉄,LONG,2966.0,3013.0,3019.0,1.585,0.199,0.159,19914.0,15914.0,-1.095,True
2025-04-04,2025,4,4,5713.T,住山,非鉄,SHORT,2900.0,2883.5,2821.0,-0.569,2.216,2.176,221553.0,217553.0,-0.277,True
2025-04-07,2025,4,0,5713.T,住山,非鉄,SHORT,2480.0,2435.0,2462.0,-1.815,-1.097,-1.137,-109667.0,-113667.0,-2.483,False
