date,open_px,open_vol,gap_bps,fwd_bps,med20,vol_ratio,sym,gap_dir,vol_dir,quad
2025-04-24,2245.0,149000.0,140.0180668473361,-6.681514476615247,127450.0,1.169085916045508,5711.T,UG,LV,UG_LV
2025-04-25,2251.0,79900.0,33.42990862491568,13.327410039982723,130900.0,0.6103896103896104,5711.T,UG,LV,UG_LV
2025-04-28,2250.0,217200.0,-17.746228926353027,35.555555555555344,127450.0,1.7041977245978814,5711.T,DG,HV,DG_HV
2025-04-30,2270.0,198600.0,53.14437555358653,-138.76651982378863,130900.0,1.517188693659282,5711.T,UG,HV,UG_HV
2025-05-01,2230.0,125400.0,-37.9718561536746,33.63228699551524,131100.0,0.9565217391304348,5711.T,DG,LV,DG_LV
2025-05-02,2240.0,115300.0,11.173184357542443,29.017857142856762,130900.0,0.8808250572956455,5711.T,UG,LV,UG_LV
2025-05-07,2238.0,120200.0,-37.83663476519039,29.043789097409345,128150.0,0.9379633242294186,5711.T,DG,LV,DG_LV
2025-05-08,2229.5,191900.0,-66.83002895967904,-4.485310607759141,125400.0,1.5303030303030303,5711.T,DG,HV,DG_HV
2025-05-09,2257.5,126600.0,130.13237603769267,-55.37098560354337,128150.0,0.9879047990635973,5711.T,UG,LV,UG_LV
2025-05-12,2275.0,134600.0,133.63028953229383,94.50549450549461,126600.0,1.0631911532385465,5711.T,UG,LV,UG_LV
2025-05-13,2320.0,141100.0,102.32963204876988,-79.7413793103452,128750.0,1.0959223300970873,5711.T,UG,LV,UG_LV
2025-05-14,2330.0,152400.0,123.83228329350348,-130.90128755364861,128750.0,1.1836893203883496,5711.T,UG,LV,UG_LV
2025-05-16,2187.0,148900.0,-34.17634996582319,34.293552812070246,128950.0,1.1547111283443194,5711.T,DG,LV,DG_LV
2025-05-19,2189.0,114100.0,-25.062656641604562,-15.989036089538722,128950.0,0.8848390849166343,5711.T,DG,LV,DG_LV
2025-05-20,2215.0,115100.0,134.98055364905116,-112.86681715575675,128950.0,0.892594028693292,5711.T,UG,LV,UG_LV
