sector,return_type,dow,dow_en,mean_bps,t_stat,n,wr_pct
CORE5,on,0,Mon,30.48,2.27,200.00,56.50
CORE5,on,1,Tue,35.68,2.45,242.00,57.44
CORE5,on,2,Wed,25.00,2.49,249.00,59.04
CORE5,on,3,Thu,52.39,4.61,252.00,59.13
CORE5,on,4,Fri,1.66,0.14,250.00,50.00
CORE5,intra,0,Mon,-8.90,-0.77,200.00,45.50
CORE5,intra,1,Tue,-33.51,-2.67,242.00,45.45
CORE5,intra,2,Wed,19.58,1.62,249.00,51.00
CORE5,intra,3,Thu,7.17,0.58,252.00,51.19
CORE5,intra,4,Fri,24.87,2.21,250.00,54.00
CORE5,full,0,Mon,20.96,1.31,200.00,49.00
CORE5,full,1,Tue,1.88,0.10,242.00,49.59
CORE5,full,2,Wed,44.90,2.73,249.00,55.02
CORE5,full,3,Thu,59.17,3.76,252.00,56.35
CORE5,full,4,Fri,26.71,1.59,250.00,53.60
NONFER,on,0,Mon,41.80,2.13,120.00,54.17
NONFER,on,1,Tue,46.23,2.33,138.00,60.87
NONFER,on,2,Wed,47.47,2.73,141.00,58.16
NONFER,on,3,Thu,61.34,3.02,150.00,59.33
NONFER,on,4,Fri,-20.59,-1.03,149.00,51.01
NONFER,intra,0,Mon,13.74,0.79,120.00,50.00
NONFER,intra,1,Tue,-28.37,-1.31,138.00,46.38
NONFER,intra,2,Wed,65.72,3.33,141.00,59.57
NONFER,intra,3,Thu,16.27,0.84,150.00,52.67
NONFER,intra,4,Fri,44.72,2.18,149.00,57.72
NONFER,full,0,Mon,55.21,2.21,120.00,55.83
NONFER,full,1,Tue,17.58,0.60,138.00,55.07
NONFER,full,2,Wed,112.75,4.63,141.00,65.25
NONFER,full,3,Thu,76.94,2.94,150.00,60.67
NONFER,full,4,Fri,24.69,0.82,149.00,54.36
SEMICON,on,0,Mon,-8.66,-0.57,201.00,54.73
SEMICON,on,1,Tue,33.18,2.08,237.00,58.23
SEMICON,on,2,Wed,49.88,3.33,253.00,60.08
SEMICON,on,3,Thu,40.50,2.64,245.00,57.55
SEMICON,on,4,Fri,-9.68,-0.65,240.00,51.67
SEMICON,intra,0,Mon,32.43,2.09,201.00,55.22
SEMICON,intra,1,Tue,-16.29,-1.23,237.00,45.99
SEMICON,intra,2,Wed,29.52,2.34,253.00,53.75
SEMICON,intra,3,Thu,27.62,1.99,245.00,57.55
SEMICON,intra,4,Fri,14.02,1.17,240.00,49.17
SEMICON,full,0,Mon,23.74,1.08,201.00,50.25
SEMICON,full,1,Tue,16.52,0.82,237.00,52.32
SEMICON,full,2,Wed,79.88,3.92,253.00,58.50
SEMICON,full,3,Thu,67.21,3.62,245.00,59.18
SEMICON,full,4,Fri,4.54,0.23,240.00,52.92
ENERGY,on,0,Mon,22.40,1.06,126.00,61.11
ENERGY,on,1,Tue,27.35,1.81,149.00,58.39
ENERGY,on,2,Wed,30.77,2.52,152.00,61.84
ENERGY,on,3,Thu,41.85,3.09,153.00,61.44
ENERGY,on,4,Fri,6.63,0.48,151.00,52.98
ENERGY,intra,0,Mon,-26.38,-1.66,126.00,43.65
ENERGY,intra,1,Tue,-19.42,-1.17,149.00,51.68
ENERGY,intra,2,Wed,29.66,1.83,152.00,55.26
ENERGY,intra,3,Thu,26.07,1.62,153.00,57.52
ENERGY,intra,4,Fri,39.63,2.73,151.00,53.64
ENERGY,full,0,Mon,-4.56,-0.18,126.00,50.79
ENERGY,full,1,Tue,7.82,0.35,149.00,53.02
ENERGY,full,2,Wed,60.40,3.03,152.00,61.18
ENERGY,full,3,Thu,67.98,3.23,153.00,62.75
ENERGY,full,4,Fri,46.45,2.24,151.00,56.95
SHIPPING,on,0,Mon,16.56,1.18,133.00,56.39
SHIPPING,on,1,Tue,18.18,2.32,151.00,56.29
SHIPPING,on,2,Wed,27.28,3.37,162.00,58.64
SHIPPING,on,3,Thu,8.33,1.11,157.00,57.96
SHIPPING,on,4,Fri,-0.21,-0.02,157.00,56.05
SHIPPING,intra,0,Mon,-49.67,-4.07,133.00,39.85
SHIPPING,intra,1,Tue,-4.61,-0.42,151.00,46.36
SHIPPING,intra,2,Wed,-17.45,-1.22,162.00,48.77
SHIPPING,intra,3,Thu,16.66,1.60,157.00,56.69
SHIPPING,intra,4,Fri,22.71,2.60,157.00,61.78
SHIPPING,full,0,Mon,-33.37,-1.89,133.00,47.37
SHIPPING,full,1,Tue,13.56,1.00,151.00,56.95
SHIPPING,full,2,Wed,9.85,0.59,162.00,56.17
SHIPPING,full,3,Thu,24.99,1.96,157.00,59.24
SHIPPING,full,4,Fri,22.61,1.45,157.00,58.60
DOMESTIC,on,0,Mon,8.85,0.96,210.00,48.10
DOMESTIC,on,1,Tue,17.41,2.02,247.00,53.85
DOMESTIC,on,2,Wed,23.68,2.65,249.00,55.82
DOMESTIC,on,3,Thu,20.29,1.83,259.00,52.12
DOMESTIC,on,4,Fri,13.22,1.60,250.00,53.20
DOMESTIC,intra,0,Mon,-20.32,-1.85,210.00,44.76
DOMESTIC,intra,1,Tue,-33.47,-3.55,247.00,40.89
DOMESTIC,intra,2,Wed,3.82,0.37,249.00,47.39
DOMESTIC,intra,3,Thu,-12.21,-1.17,259.00,47.88
DOMESTIC,intra,4,Fri,17.06,1.77,250.00,53.20
DOMESTIC,full,0,Mon,-11.68,-0.85,210.00,46.19
DOMESTIC,full,1,Tue,-16.16,-1.28,247.00,43.32
DOMESTIC,full,2,Wed,27.72,1.95,249.00,51.81
DOMESTIC,full,3,Thu,7.80,0.54,259.00,50.58
DOMESTIC,full,4,Fri,30.46,2.31,250.00,57.60
