date,ST1,ST2,ST3
2025-04-14,516.5993550319005,189.66548897684152,
2025-04-21,,29.07585584473157,
2025-04-23,174.50613321205688,,
2025-04-28,,-116.19275215749168,
2025-05-07,29.731719819373623,,
2025-05-12,,-138.79122078994118,
2025-05-14,-70.26390385046754,,
2025-05-19,,201.79983093673408,
2025-05-26,,-24.058432339273107,
2025-06-02,,143.5454586958014,
2025-06-03,20.8848531239374,,
2025-06-09,,126.42729641633557,
2025-06-10,-7.8039963526168545,,
2025-06-16,,72.04296321724064,
2025-06-23,,-76.44098297536806,
2025-06-27,132.68076824234234,,
2025-06-30,,68.50901801267196,
2025-07-07,,130.0043285528958,
2025-07-14,,-53.349541408513595,
2025-07-28,,79.74502717796754,
2025-08-04,,-114.26214324792856,
2025-08-13,64.5710688555603,,
2025-08-18,,117.4880645646795,
2025-08-25,,-28.976178200128984,
2025-09-01,,10.97358679880952,
2025-09-03,-75.23194564799397,,
2025-09-08,,-4.4960046703150764,
2025-09-16,-9.465227625144564,,
2025-09-22,,47.53660800163774,
2025-09-25,136.4251733730648,,240.46192683478694
2025-09-29,,168.88077693724426,
2025-09-30,49.74407251525825,,
2025-10-03,-51.34872281554003,,
2025-10-06,262.19537933342264,66.05744026273742,
2025-10-14,-37.310083304404216,,
2025-10-20,,-46.61053249999665,
2025-10-24,100.91934296236582,,
2025-10-27,182.8257015689494,-111.78853624244577,
2025-11-10,,125.4435546621971,
2025-11-11,132.8807506621761,,
2025-11-17,,55.568745409862196,
2025-11-27,47.73187591871326,,-120.05764282038078
2025-12-01,23.24273772442465,32.23572726263384,
2025-12-04,35.400944271180904,,69.55849365745588
2025-12-08,51.21533775009213,-8.755125390827342,
2025-12-12,163.90879579834763,,
2025-12-15,,-16.135777329951672,
2025-12-16,-11.104526765487453,,
2025-12-18,-171.25827084897514,,-82.75111884878068
2025-12-22,178.7008635173941,-4.794831185064368,
2025-12-24,19.469818871810542,,
2025-12-29,,-96.27101567146123,
2026-01-05,,0.5575843571132824,
2026-01-06,366.7495981388556,,
2026-01-07,186.47158557650044,,
2026-01-13,282.89560052907717,,
2026-01-19,,-19.035234567838025,
2026-01-20,16.348229482017423,,
2026-01-26,-78.41491435390745,71.39715615867897,
2026-01-30,73.15631682655365,,
2026-02-02,,64.41910956708865,
2026-02-04,194.96869644179873,,
2026-02-09,218.94725394236048,200.92202896196056,
2026-02-12,1.486660275772497,,100.51559270247378
2026-02-16,,37.89725150551086,
2026-02-19,105.88827525365987,,117.19535214683266
2026-02-25,115.22688707539432,,
2026-02-26,70.99886876993618,,-78.91816826175057
2026-03-02,,-129.5959447063093,
2026-03-09,,-189.40373919510614,
2026-03-11,96.83338945125585,,
2026-03-16,,165.27295134351576,
2026-03-17,154.3280751458065,,
2026-03-23,,562.7102440568891,
2026-03-24,-55.98503368415484,,
2026-03-26,137.05354736541022,,18.350695555803934
2026-03-30,,-84.27724162133708,
2026-04-01,342.0451977401124,,
2026-04-06,,-45.16238017474331,
2026-04-09,523.562758827157,,99.81781879653698
2026-04-13,-3.510957532644409,222.99132542416103,
2026-04-14,140.80271675924027,,
2026-04-15,81.78070936167165,,
2026-04-20,,270.7664394866741,
2026-04-23,140.0048037870949,,-165.07931519622642
