rule,target,N,mean_raw_bps,mean_net_bps,std_bps,t_stat,p_val,win_rate,profit_factor,sharpe_net,significant,score
B6_PrevWeak_ON_Reversal,on_ret,8756,501.0,497.0,4236.2,11.07,0.0,54.0,9.09,1.86,True,2.5883925892244433
A8_GapUp_Lg_ON,on_ret,13020,348.0,344.0,3524.7,11.27,0.0,55.4,7.38,1.55,True,2.0865996650515624
B4_PrevWeak_NextShort,next_fullday_ret,8756,97.5,93.5,907.8,10.04,0.0,50.0,2.29,1.63,True,1.2161346731069214
F5_AftStrong_ON_Buy,on_ret,11815,155.6,151.6,2313.4,7.31,0.0,54.7,3.64,1.04,True,1.132049147624456
F2_MorningWeak_ON_Buy,on_ret,12286,138.2,134.2,2247.3,6.82,0.0,53.4,3.18,0.95,True,1.0311017649769785
F1_MorningStrong_ON_Buy,on_ret,11670,123.6,119.6,1995.6,6.69,0.0,53.9,3.14,0.95,True,0.9755527676163133
F6_AftWeak_ON_Buy,on_ret,10378,118.1,114.1,1984.1,6.06,0.0,52.7,2.88,0.91,True,0.9073690996424008
F4_PrevWeak_GapDown_ON_Buy,on_ret,3194,38.4,34.4,283.9,7.64,0.0,56.8,1.58,1.92,True,0.8857757601832863
D8_ORB30_Up_ON_Buy,on_ret,7793,119.1,115.1,1901.8,5.53,0.0,54.4,3.28,0.96,True,0.8770922429151844
F3_ORB30Up_MornStrong_ON,on_ret,7599,120.1,116.1,1922.2,5.44,0.0,54.3,3.27,0.96,True,0.8736148265669832
E5_LowVol_AftRet,aft_ret,24084,4.2,0.2,77.7,8.43,0.0,51.8,1.17,0.04,True,0.6257940705149159
C3_MorningWeak_AftBuy,aft_ret,14807,5.5,1.5,90.8,7.44,0.0,52.2,1.2,0.27,True,0.5827421854627639
A5_GapDown_Lg_Aft_Reversal,aft_ret,9767,5.9,1.9,98.3,5.92,0.0,52.5,1.2,0.31,True,0.47656442251898085
G2_PrevWeak_GapDown_AftBuy,aft_ret,2936,9.5,5.5,112.3,4.56,0.0,54.7,1.3,0.77,True,0.43925933439855686
E6_GapUp_HighVol_AftBuy,aft_ret,112,20.5,16.5,154.6,1.4,0.164,55.4,1.42,1.7,False,0.3453388048836417
B5_PrevStrong_ON_Buy,on_ret,8470,19.7,15.7,586.9,3.09,0.002,53.0,1.3,0.42,True,0.3239677574237878
C8_GapDown_MornUp_GapFill_Buy,aft_ret,6115,4.3,0.3,92.7,3.63,0.0,51.5,1.15,0.05,True,0.2738125105848865
E4_HighVol_NextDay,next_fullday_ret,186,23.8,19.8,302.1,1.07,0.285,43.0,1.24,1.04,False,0.25755299977182344
C1_MorningStrong_AftBuy,aft_ret,13930,2.9,-1.1,95.0,3.57,0.0,50.9,1.1,-0.19,False,0.238120356633722
G3_PrevWeak_GapDown_NextBuy,next_fullday_ret,2927,8.0,4.0,214.0,2.03,0.043,50.1,1.11,0.3,True,0.19564407910827128
A1_GapUp_Lg_Aft_Momentum,aft_ret,13064,2.4,-1.6,95.7,2.84,0.004,50.3,1.08,-0.27,False,0.1738419026069959
C5_MorningFlat_AftAny,aft_ret,2637,3.7,-0.3,81.6,2.36,0.019,52.4,1.16,-0.05,False,0.1672210513998558
A3_GapUp_Sm_Aft_Buy,aft_ret,4374,2.9,-1.1,75.5,2.55,0.011,51.3,1.12,-0.23,False,0.1585418710332503
D1_ORB15_Up_AftBuy,aft_ret,9198,2.1,-1.9,93.0,2.16,0.031,50.4,1.07,-0.32,False,0.11723289917653175
D5_ORB15_Wide_Up_AftBuy,aft_ret,9189,2.1,-1.9,93.1,2.14,0.032,50.4,1.07,-0.33,False,0.11464093004125764
G1_GapUp_ORB_HighVol_AftBuy,aft_ret,99,8.4,4.4,148.3,0.56,0.578,53.5,1.17,0.47,False,0.10769997034595727
D3_ORB30_Up_AftBuy,aft_ret,7804,1.8,-2.2,93.9,1.7,0.089,49.9,1.06,-0.37,False,0.07682212339826178
E2_HighVol_MornDown_AftBuy,aft_ret,70,5.8,1.8,122.8,0.39,0.695,45.7,1.12,0.24,False,0.06124914796053445
B2_PrevStrong_NextShort,next_fullday_ret,8470,2.8,-1.2,266.6,0.97,0.33,51.3,1.04,-0.07,False,0.05980467979591629
C6_GapUp_MornUp_AftBuy,aft_ret,6745,1.3,-2.7,97.9,1.09,0.277,50.0,1.04,-0.44,False,0.02249846925780722
A7_GapDown_Lg_NextDay_Buy,next_fullday_ret,9724,0.9,-3.1,232.8,0.4,0.688,48.3,1.01,-0.21,False,-0.0038184467984367955
E7_HighVolBps_AftRet,aft_ret,847,-1.0,-5.0,139.7,-0.21,0.83,49.6,0.98,-0.57,False,-0.09501357136483063
C10_MorningStrong_NextMorning,next_morning_ret,11670,-1.0,-5.0,171.9,-0.61,0.542,47.8,0.98,-0.46,False,-0.11215146153299921
B1_PrevStrong_NextBuy,next_fullday_ret,8470,-2.8,-6.8,266.6,-0.97,0.33,47.9,0.96,-0.41,False,-0.13872907370107027
E1_HighVol_MornUp_AftBuy,aft_ret,116,-6.5,-10.5,176.1,-0.4,0.691,53.4,0.9,-0.95,False,-0.16886048552689215
E3_HighVol_MornDown_AftShort,aft_ret,70,-5.8,-9.8,122.8,-0.39,0.695,54.3,0.89,-1.27,False,-0.2017407060447929
B9_PrevAftWeak_NextBuy,next_fullday_ret,7147,-13.2,-17.2,452.5,-2.47,0.013,49.9,0.86,-0.6,False,-0.30319115749049214
A2_GapUp_Lg_Aft_Reversal,aft_ret,13064,-2.4,-6.4,95.7,-2.84,0.004,47.9,0.93,-1.06,False,-0.34791555024349313
C7_GapUp_MornDown_GapFill_Short,aft_ret,8306,-3.1,-7.1,88.7,-3.15,0.002,47.0,0.9,-1.26,False,-0.3953327772024651
C2_MorningStrong_AftShort,aft_ret,13930,-2.9,-6.9,95.0,-3.57,0.0,47.4,0.91,-1.15,False,-0.41331340725529386
B7_PrevMorningStrong_NextBuy,next_fullday_ret,11629,-19.8,-23.8,462.6,-4.62,0.0,48.6,0.79,-0.82,False,-0.5069031510713742
A4_GapDown_Lg_Aft_Short,aft_ret,9767,-5.9,-9.9,98.3,-5.92,0.0,45.9,0.84,-1.6,False,-0.6461604582151796
D6_ORB15_Wide_Down_AftShort,aft_ret,9516,-5.7,-9.7,90.4,-6.19,0.0,45.4,0.83,-1.71,False,-0.6777237078131542
D2_ORB15_Down_AftShort,aft_ret,9524,-5.7,-9.7,90.3,-6.2,0.0,45.4,0.83,-1.71,False,-0.6784599908882539
B8_PrevAftStrong_NextBuy,next_fullday_ret,8022,-39.1,-43.1,569.2,-6.15,0.0,47.1,0.65,-1.2,False,-0.7228700096190119
