label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,is_shock
2025-01,84,23.9,19.9,165.8,1.31,0.1923,59.5,1.91,False
2025-02,148,-8.4,-12.4,167.5,-0.61,0.542,41.9,-1.18,False
2025-03,192,23.3,19.3,159.1,2.02,0.0444,66.7,1.93,False
2025-04,309,145.2,141.2,534.5,4.77,0.0,66.0,4.19,True
2025-05,186,14.5,10.5,121.1,1.63,0.1046,53.8,1.38,False
2025-06,146,33.6,29.6,119.8,3.38,0.0009,64.4,3.92,False
2025-07,243,21.4,17.4,156.1,2.13,0.0343,55.6,1.77,False
2025-08,158,-1.7,-5.7,97.4,-0.22,0.8243,44.3,-0.93,False
2025-09,161,3.3,-0.7,100.5,0.42,0.6748,47.2,-0.1,False
2025-10,266,51.5,47.5,201.4,4.16,0.0,62.8,3.75,False
2025-11,196,112.9,108.9,284.7,5.54,0.0,67.9,6.07,False
2025-12,137,0.4,-3.6,197.0,0.02,0.9802,44.5,-0.29,False
2026-01,197,25.4,21.4,191.1,1.86,0.0644,49.7,1.78,False
2026-02,189,99.8,95.8,275.2,4.97,0.0,67.2,5.52,False
2026-03,336,-43.4,-47.4,416.6,-1.91,0.0573,51.5,-1.81,False
2026-04,224,35.7,31.7,173.2,3.08,0.0023,54.9,2.91,False
2026-05,25,150.1,146.1,420.1,1.75,0.0927,60.0,5.52,False
