label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,prev_thresh,gap_thresh
"prev<=-50, gap<=-10",4815,21.5,17.5,207.2,7.2,0.0,54.7,1.34,-50,-10
"prev<=-50, gap<=-15",4600,21.2,17.2,210.1,6.85,0.0,54.8,1.3,-50,-15
"prev<=-50, gap<=-20",4381,21.9,17.9,212.1,6.84,0.0,54.9,1.34,-50,-20
"prev<=-50, gap<=-30",3978,23.3,19.3,217.5,6.77,0.0,55.3,1.41,-50,-30
"prev<=-50, gap<=-50",3250,25.9,21.9,229.9,6.42,0.0,56.6,1.51,-50,-50
"prev<=-80, gap<=-10",3760,23.4,19.4,217.3,6.59,0.0,55.4,1.41,-80,-10
"prev<=-80, gap<=-15",3589,23.2,19.2,220.6,6.29,0.0,55.5,1.38,-80,-15
"prev<=-80, gap<=-20",3424,24.0,20.0,222.4,6.31,0.0,55.7,1.43,-80,-20
"prev<=-80, gap<=-30",3125,25.6,21.6,227.5,6.28,0.0,56.2,1.51,-80,-30
"prev<=-80, gap<=-50",2589,28.0,24.0,239.6,5.95,0.0,57.5,1.59,-80,-50
"prev<=-100, gap<=-10",3178,25.8,21.8,225.2,6.45,0.0,55.7,1.54,-100,-10
"prev<=-100, gap<=-15",3048,25.5,21.5,228.3,6.17,0.0,55.6,1.5,-100,-15
"prev<=-100, gap<=-20",2908,26.5,22.5,230.0,6.21,0.0,55.9,1.55,-100,-20
"prev<=-100, gap<=-30",2659,28.8,24.8,235.4,6.3,0.0,56.6,1.67,-100,-30
"prev<=-100, gap<=-50",2215,32.1,28.1,247.3,6.1,0.0,58.2,1.8,-100,-50
"prev<=-150, gap<=-10",1985,35.3,31.3,246.9,6.36,0.0,57.8,2.01,-150,-10
"prev<=-150, gap<=-15",1910,34.8,30.8,250.3,6.08,0.0,57.6,1.95,-150,-15
"prev<=-150, gap<=-20",1831,37.9,33.9,252.4,6.43,0.0,58.4,2.13,-150,-20
"prev<=-150, gap<=-30",1683,41.8,37.8,258.4,6.64,0.0,59.5,2.32,-150,-30
"prev<=-150, gap<=-50",1445,45.6,41.6,270.2,6.41,0.0,61.0,2.44,-150,-50
"prev<=-200, gap<=-10",1273,45.3,41.3,267.5,6.04,0.0,59.5,2.45,-200,-10
"prev<=-200, gap<=-15",1226,44.9,40.9,271.1,5.79,0.0,59.1,2.39,-200,-15
"prev<=-200, gap<=-20",1178,48.7,44.7,272.6,6.13,0.0,60.2,2.61,-200,-20
"prev<=-200, gap<=-30",1091,52.3,48.3,280.0,6.16,0.0,61.2,2.74,-200,-30
"prev<=-200, gap<=-50",939,56.5,52.5,292.2,5.92,0.0,62.6,2.85,-200,-50
