label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
化学,14,87.0,83.0,100.8,3.11,0.0082,78.6,13.08
IT,62,65.4,61.4,244.6,2.09,0.041,66.1,3.98
商社,101,55.4,51.4,221.7,2.5,0.0141,67.3,3.68
非鉄,207,73.1,69.1,329.1,3.19,0.0017,63.8,3.33
自動車,123,35.7,31.7,186.4,2.12,0.0363,55.3,2.7
エネルギー,65,44.1,40.1,265.5,1.33,0.1887,63.1,2.4
重工,96,33.6,29.6,195.3,1.68,0.0971,64.6,2.4
レジャー,27,13.5,9.5,76.1,0.91,0.3732,51.9,1.99
製薬,52,21.9,17.9,145.0,1.08,0.2869,57.7,1.95
半導体,206,32.0,28.0,285.9,1.6,0.1101,57.8,1.56
銀行,89,24.0,20.0,209.6,1.07,0.2864,57.3,1.51
食品,63,12.5,8.5,93.0,1.06,0.2952,50.8,1.45
証券,20,27.0,23.0,268.0,0.44,0.6659,70.0,1.36
その他,1348,20.7,16.7,229.5,3.32,0.0009,53.0,1.16
小売,31,9.4,5.4,160.2,0.32,0.7489,54.8,0.54
電機,203,9.6,5.6,219.7,0.62,0.534,55.2,0.41
生活用品,30,2.6,-1.4,141.2,0.1,0.922,56.7,-0.16
鉄鋼,44,0.4,-3.6,144.1,0.02,0.9842,50.0,-0.39
海運,51,0.6,-3.4,90.6,0.05,0.9633,54.9,-0.6
通信,29,-0.7,-4.7,81.1,-0.05,0.9631,44.8,-0.92
サービス,34,-35.6,-39.6,187.6,-1.09,0.2842,47.1,-3.35
鉄道,13,-12.1,-16.1,37.5,-1.12,0.2847,38.5,-6.82
