rule,target,dir,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,profit_factor,sharpe,sig
MOM_B5_StrongDay_EodBuy,ret_eod,1,149991,3.84,-0.16,107.15,13.87,0.0,52.5,1.12,-0.2,False
MR_A7_CumDrop100_EodBuy,ret_eod,1,97390,4.63,0.63,114.0,12.67,0.0,50.4,1.14,0.71,True
MOM_B3_Rise50m_Buy6b,ret_6b,1,70648,2.96,-1.04,63.72,12.35,0.0,49.7,1.15,-2.1,False
TIME_D_MR_Down_Buy_前場中盤,ret_3b,1,13757,2.47,-1.53,48.7,5.94,0.0,50.7,1.16,-4.06,False
MOM_B7_VWAPCrossUp_Buy6b,ret_6b,1,21925,1.38,-2.62,39.89,5.14,0.0,48.8,1.11,-8.45,False
MOM_B4_Drop50m_Sell6b,ret_6b,-1,67157,1.09,-2.91,68.06,4.15,0.0,49.0,1.05,-5.51,False
TIME_D_MOM_Up_後場序盤,ret_3b,1,14432,1.35,-2.65,39.48,4.11,0.0,48.3,1.11,-8.66,False
TIME_D_MOM_Up_大引前,ret_3b,1,10576,1.45,-2.55,36.26,4.1,0.0,48.6,1.13,-9.08,False
TIME_D_MOM_Up_寄付,ret_3b,1,5056,3.15,-0.85,55.3,4.05,0.0001,50.2,1.18,-1.99,False
TIME_D_MR_Down_Buy_後場序盤,ret_3b,1,14081,1.31,-2.69,42.26,3.68,0.0002,50.5,1.1,-8.21,False
VOL_C6_LowVol_Down_Buy1b,ret_1b,1,69290,0.27,-3.73,20.38,3.49,0.0005,47.1,1.04,-23.61,False
TIME_D_MOM_Up_前場中盤,ret_3b,1,14453,1.37,-2.63,50.17,3.28,0.001,47.8,1.08,-6.76,False
MOM_B1_Rise15m_Buy1b,ret_1b,1,92707,0.24,-3.76,26.19,2.83,0.0047,46.1,1.03,-18.5,False
TIME_D_MR_Down_Buy_寄付,ret_3b,1,5025,2.07,-1.93,52.88,2.77,0.0056,51.0,1.12,-4.71,False
VOL_C7_VolAccel_Up_Buy3b,ret_3b,1,46338,0.44,-3.56,37.28,2.54,0.0111,47.1,1.04,-12.32,False
MR_A1_Drop15m_Buy1b,ret_1b,1,57396,0.27,-3.73,30.64,2.09,0.037,49.3,1.03,-15.71,False
VOL_C3_VolSpike_Up_Buy6b,ret_6b,1,7431,1.46,-2.54,65.16,1.93,0.0541,48.2,1.09,-5.03,False
VOL_C4_VolSpike_Down_Sell6b,ret_6b,-1,7059,0.82,-3.18,65.77,1.05,0.2948,47.4,1.05,-6.24,False
VOL_C1_VolSpike_Up_Buy1b,ret_1b,1,8657,0.37,-3.63,33.65,1.01,0.3113,45.4,1.05,-13.93,False
MOM_B8_VWAPCrossDown_Sell6b,ret_6b,-1,21868,0.24,-3.76,42.73,0.83,0.4069,47.2,1.02,-11.35,False
VOL_C8_VolAccel_Down_Sell3b,ret_3b,-1,42621,0.11,-3.89,38.53,0.58,0.562,46.7,1.01,-13.03,False
MR_A2_Drop15m_Buy6b,ret_6b,1,54401,0.09,-3.91,71.17,0.29,0.7756,50.3,1.0,-7.09,False
VOL_C2_VolSpike_Down_Sell1b,ret_1b,-1,8136,-0.16,-4.16,30.62,-0.46,0.6439,45.8,0.98,-17.51,False
VOL_C5_LowVol_Up_Sell1b,ret_1b,-1,65509,-0.11,-4.11,19.7,-1.45,0.148,46.9,0.98,-26.92,False
MR_A9_BelowVWAP30_Buy1b,ret_1b,1,137506,-0.09,-4.09,23.48,-1.47,0.1408,46.4,0.99,-22.48,False
VOL_C9_VolSpike_BelowVWAP_Buy6b,ret_6b,1,5755,-1.3,-5.3,66.34,-1.49,0.1359,49.4,0.93,-10.31,False
MR_A5_Drop25m_Buy6b,ret_6b,1,39883,-0.59,-4.59,76.89,-1.54,0.1235,49.7,0.98,-7.7,False
VOL_C10_VolSpike_AboveVWAP_Sell6b,ret_6b,-1,6016,-1.47,-5.47,72.11,-1.58,0.1138,49.6,0.93,-9.78,False
TIME_D_MR_Down_Buy_大引前,ret_3b,1,8285,-0.72,-4.72,39.39,-1.67,0.0944,49.7,0.94,-15.47,False
MOM_B2_Drop15m_Sell1b,ret_1b,-1,90094,-0.19,-4.19,27.17,-2.15,0.0319,45.6,0.98,-19.91,False
MR_A3_Rise15m_Sell1b,ret_1b,-1,59884,-0.34,-4.34,29.34,-2.86,0.0042,48.4,0.96,-19.09,False
MR_A10_BelowVWAP30_Buy6b,ret_6b,1,124543,-0.51,-4.51,57.28,-3.15,0.0016,48.5,0.97,-10.16,False
MR_A13_BelowMA20_50_Buy6b,ret_6b,1,42358,-1.22,-5.22,74.62,-3.36,0.0008,49.1,0.95,-9.02,False
MR_A11_AboveVWAP30_Sell1b,ret_1b,-1,139415,-0.34,-4.34,22.84,-5.51,0.0,46.2,0.95,-24.49,False
MR_A4_Rise15m_Sell6b,ret_6b,-1,56458,-1.66,-5.66,67.69,-5.84,0.0,49.3,0.93,-10.79,False
MR_A14_AboveMA20_50_Sell6b,ret_6b,-1,45197,-2.13,-6.13,69.54,-6.51,0.0,49.1,0.91,-11.37,False
MR_A6_Rise25m_Sell6b,ret_6b,-1,41766,-2.65,-6.65,71.68,-7.56,0.0,48.9,0.9,-11.97,False
MR_A8_CumRise100_EodSell,ret_eod,-1,98372,-3.61,-7.61,115.75,-9.78,0.0,45.6,0.9,-8.48,False
MR_A12_AboveVWAP30_Sell6b,ret_6b,-1,124996,-1.89,-5.89,55.29,-12.09,0.0,47.5,0.9,-13.74,False
MOM_B6_WeakDay_EodSell,ret_eod,-1,153345,-3.43,-7.43,106.03,-12.67,0.0,47.9,0.9,-9.04,False
