code,name,sig_date,entry,gross_ret,net_ret,reason,exit_day,year
71800,九州フィナンシャルグループ,2024-05-14,960.4,-1.4056643065389451,-1.5056643065389452,TIME,5,2024
83040,あおぞら銀行,2024-05-14,2404.5,-2.682470368059886,-2.782470368059886,TIME,5,2024
84180,山口フィナンシャルグループ,2024-05-14,1773.0,-0.08460236886632666,-0.18460236886632667,TIME,5,2024
58440,京都フィナンシャルグループ,2024-05-15,2635.0,0.7590132827324458,0.6590132827324459,TIME,5,2024
71840,富山第一銀行,2024-05-15,1132.0,0.26501766784452485,0.16501766784452485,TIME,5,2024
73890,あいちフィナンシャルグループ,2024-05-15,532.0,-1.3909774436090205,-1.4909774436090206,TIME,5,2024
83040,あおぞら銀行,2024-05-15,2330.0,1.094420600858359,0.994420600858359,TIME,5,2024
71820,ゆうちょ銀行,2024-05-16,1535.0,-0.8143322475570036,-0.9143322475570036,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-05-16,877.0,6.602052451539331,6.502052451539331,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-05-16,1528.0,2.323298429319376,2.223298429319376,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-05-24,1985.0,9.823677581863976,9.723677581863976,TIME,5,2024
58300,いよぎんホールディングス,2024-05-29,1415.0,-0.5653710247349841,-0.6653710247349841,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-05-29,4348.0,-1.126954921803125,-1.226954921803125,TIME,5,2024
71890,西日本フィナンシャルホールディングス,2024-06-04,2008.0,-2.0418326693227073,-2.1418326693227074,TIME,5,2024
83310,千葉銀行,2024-06-04,1400.0,1.1428571428571344,1.0428571428571343,TIME,5,2024
83410,七十七銀行,2024-06-04,1480.0,-3.263513513513505,-3.3635135135135052,TIME,5,2024
83590,八十二長野銀行,2024-06-04,1015.0,0.3940886699507429,0.2940886699507429,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-06-04,2124.0,-2.0480225988700584,-2.1480225988700585,TIME,5,2024
87140,池田泉州ホールディングス,2024-06-04,413.0,-2.421307506053272,-2.521307506053272,TIME,5,2024
83310,千葉銀行,2024-06-05,1397.0,-0.9305654974946287,-1.0305654974946288,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-06-05,2105.0,-2.232779097387172,-2.332779097387172,TIME,5,2024
85240,北洋銀行,2024-06-05,560.0,-2.67857142857143,-2.7785714285714302,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-06-06,2084.0,-1.8953934740882916,-1.9953934740882917,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-06-14,1464.0,-1.434426229508201,-1.5344262295082012,TIME,5,2024
71820,ゆうちょ銀行,2024-06-14,1471.0,-1.2576478585995976,-1.3576478585995977,TIME,5,2024
83080,りそなホールディングス,2024-06-14,977.0,1.4227226202661258,1.3227226202661257,TIME,5,2024
83040,あおぞら銀行,2024-06-19,2591.0,2.663064453878805,2.563064453878805,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-06-21,593.7,5.507832238504284,5.407832238504285,TIME,5,2024
71820,ゆうちょ銀行,2024-06-21,1457.0,4.28963623884695,4.18963623884695,TIME,5,2024
83660,滋賀銀行,2024-06-21,823.0,2.4301336573511634,2.3301336573511633,TIME,5,2024
84180,山口フィナンシャルグループ,2024-06-21,1727.0,5.7035321366531555,5.603532136653156,TIME,5,2024
83410,七十七銀行,2024-06-24,1423.3,6.562214571769842,6.4622145717698425,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-06-27,4238.0,3.2326569136384986,3.1326569136384985,TIME,5,2024
58440,京都フィナンシャルグループ,2024-06-28,2888.5,-3.1158040505452678,-3.215804050545268,TIME,5,2024
83810,山陰合同銀行,2024-07-01,1416.0,-2.401129943502822,-2.5011299435028223,TIME,5,2024
58380,楽天銀行,2024-07-03,2875.0,6.956521739130439,6.856521739130439,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-07-03,2103.0,-5.254398478364242,-5.354398478364241,TIME,5,2024
85240,北洋銀行,2024-07-03,552.0,-4.710144927536231,-4.81014492753623,TIME,5,2024
84180,山口フィナンシャルグループ,2024-07-25,1751.5,7.165286896945466,7.065286896945467,TIME,5,2024
73800,十六フィナンシャルグループ,2024-07-30,931.0,-10.526315789473683,-10.626315789473683,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-08-01,1594.5,-12.323612417685792,-12.423612417685792,TIME,5,2024
58440,京都フィナンシャルグループ,2024-08-01,2610.5,-14.001149205133112,-14.101149205133112,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-08-01,616.0,-18.051948051948052,-18.151948051948054,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-08-01,924.2,-20.428478684267482,-20.528478684267483,TIME,5,2024
73270,第四北越フィナンシャルグループ,2024-08-01,943.3,-15.541185200890483,-15.641185200890483,TIME,5,2024
73800,十六フィナンシャルグループ,2024-08-01,947.0,-15.522703273495253,-15.622703273495253,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-08-01,1565.5,-10.986905142127112,-11.086905142127112,TIME,5,2024
83580,スルガ銀行,2024-08-01,1150.0,-10.782608695652174,-10.882608695652173,TIME,5,2024
83660,滋賀銀行,2024-08-01,805.0,-19.751552795031056,-19.851552795031058,TIME,5,2024
83770,ほくほくフィナンシャルグループ,2024-08-01,2030.5,-19.67495690716572,-19.77495690716572,TIME,5,2024
83810,山陰合同銀行,2024-08-01,1345.0,-10.111524163568774,-10.211524163568773,TIME,5,2024
