label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
2016,3574,5.8,1.8,154.1,2.25,0.0246,47.3,0.19
2017,3960,18.4,14.4,134.8,8.61,0.0,54.1,1.7
2018,6389,-19.9,-23.9,179.8,-8.87,0.0,45.8,-2.11
2019,4715,-5.6,-9.6,161.7,-2.37,0.0176,45.8,-0.94
2020,7738,-10.5,-14.5,228.1,-4.04,0.0001,50.2,-1.01
2021,6161,30.3,26.3,154.4,15.39,0.0,55.8,2.7
2022,5871,-8.1,-12.1,169.2,-3.69,0.0002,46.7,-1.14
2023,5319,11.7,7.7,146.5,5.83,0.0,50.9,0.84
2024,6387,13.5,9.5,292.4,3.69,0.0002,51.0,0.52
2025,6095,41.7,37.7,244.9,13.28,0.0,56.2,2.44
2026,2488,9.6,5.6,304.1,1.57,0.1174,51.2,0.29
