rule,target,dir,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,sig
B1_BigBuy_Follow_Buy_30min,fwd_30min,1,59403,6.34,2.34,91.46,16.89,0.0,50.6,3.14,True
B4_BigSell_Reversal_Buy_30min,fwd_30min,1,58691,4.01,0.01,89.65,10.85,0.0,50.3,0.02,True
B1_BigBuy_Follow_Buy_15min,fwd_15min,1,59403,2.61,-1.39,69.45,9.14,0.0,49.4,-2.47,False
B4_BigSell_Reversal_Buy_15min,fwd_15min,1,58691,1.48,-2.52,68.8,5.19,0.0,49.2,-4.51,False
B4_BigSell_Reversal_Buy_5min,fwd_5min,1,58691,0.71,-3.29,44.09,3.91,0.0001,48.5,-9.17,False
B1_BigBuy_Follow_Buy_5min,fwd_5min,1,59403,0.69,-3.31,44.69,3.79,0.0002,48.1,-9.09,False
B4_BigSell_Reversal_Buy_1min,fwd_1min,1,58691,0.32,-3.68,22.73,3.44,0.0006,47.2,-19.89,False
B5_SuperBigBuy_Follow_30min,fwd_30min,1,3072,4.66,0.66,107.42,2.41,0.0162,51.5,0.76,True
B1_BigBuy_Follow_Buy_1min,fwd_1min,1,59403,0.04,-3.96,22.92,0.41,0.6832,45.7,-21.26,False
B3_BigBuy_Reversal_Sell_1min,fwd_1min,-1,59403,-0.04,-4.04,22.92,-0.41,0.6832,45.2,-21.67,False
B5_SuperBigBuy_Follow_15min,fwd_15min,1,3072,-1.22,-5.22,85.07,-0.79,0.4281,49.2,-7.54,False
B6_SuperBigSell_Follow_15min,fwd_15min,-1,2804,-1.83,-5.83,85.08,-1.14,0.2549,48.4,-8.43,False
B5_SuperBigBuy_Follow_5min,fwd_5min,1,3072,-1.33,-5.33,60.92,-1.21,0.2261,48.3,-10.76,False
B6_SuperBigSell_Follow_5min,fwd_5min,-1,2804,-1.8,-5.8,56.42,-1.69,0.0909,47.4,-12.65,False
B2_BigSell_Follow_Sell_1min,fwd_1min,-1,58691,-0.32,-4.32,22.73,-3.44,0.0006,44.0,-23.38,False
B3_BigBuy_Reversal_Sell_5min,fwd_5min,-1,59403,-0.69,-4.69,44.69,-3.79,0.0002,47.6,-12.92,False
B2_BigSell_Follow_Sell_5min,fwd_5min,-1,58691,-0.71,-4.71,44.09,-3.91,0.0001,47.1,-13.14,False
B6_SuperBigSell_Follow_30min,fwd_30min,-1,2804,-8.85,-12.85,107.56,-4.36,0.0,46.2,-14.69,False
B2_BigSell_Follow_Sell_15min,fwd_15min,-1,58691,-1.48,-5.48,68.8,-5.19,0.0,48.1,-9.78,False
B3_BigBuy_Reversal_Sell_15min,fwd_15min,-1,59403,-2.61,-6.61,69.45,-9.14,0.0,47.8,-11.7,False
B2_BigSell_Follow_Sell_30min,fwd_30min,-1,58691,-4.01,-8.01,89.65,-10.85,0.0,47.8,-10.99,False
B3_BigBuy_Reversal_Sell_30min,fwd_30min,-1,59403,-6.34,-10.34,91.46,-16.89,0.0,47.4,-13.9,False
