rule,target,dir,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,sig
A8_TickAndVol_Down_Sell_5min,fwd_5min,-1,415,5.09,1.09,32.24,3.22,0.0014,52.5,4.18,True
A4_TickSpike5x_Down_Sell_15min,fwd_15min,-1,127,23.43,19.43,83.25,3.16,0.002,55.9,28.69,True
A2_TickSpike3x_Down_Sell_5min,fwd_5min,-1,483,4.75,0.75,33.33,3.13,0.0019,52.6,2.77,True
A8_TickAndVol_Down_Sell_15min,fwd_15min,-1,406,8.66,4.66,59.38,2.93,0.0035,49.8,9.65,True
A2_TickSpike3x_Down_Sell_30min,fwd_30min,-1,444,10.55,6.55,77.12,2.88,0.0042,51.6,10.44,True
A4_TickSpike5x_Down_Sell_5min,fwd_5min,-1,127,8.96,4.96,39.29,2.56,0.0117,52.8,15.52,True
A2_TickSpike3x_Down_Sell_15min,fwd_15min,-1,471,6.76,2.76,64.63,2.27,0.0238,49.5,5.25,True
A2_TickSpike3x_Down_Sell_1min,fwd_1min,-1,484,1.04,-2.96,18.64,1.22,0.2213,45.7,-19.54,False
A12_VolHigh_TickLow_Down_Sell,fwd_15min,-1,398,1.09,-2.91,35.56,0.61,0.5416,48.0,-10.06,False
A5_TickSpike_Up_Reversal_5min,fwd_5min,-1,381,1.06,-2.94,42.9,0.48,0.6297,50.1,-8.42,False
A7_TickAndVol_Up_Buy_15min,fwd_15min,1,339,1.16,-2.84,71.07,0.3,0.7647,50.4,-4.92,False
A1_TickSpike3x_Up_Buy_30min,fwd_30min,1,363,1.06,-2.94,85.13,0.24,0.813,51.2,-4.25,False
A1_TickSpike3x_Up_Buy_15min,fwd_15min,1,378,0.67,-3.33,69.69,0.19,0.8529,50.0,-5.88,False
A1_TickSpike3x_Up_Buy_1min,fwd_1min,1,384,0.12,-3.88,21.13,0.11,0.911,40.9,-22.57,False
A11_VolHigh_TickLow_Up_Buy,fwd_15min,1,497,-0.17,-4.17,32.29,-0.12,0.9081,43.5,-15.87,False
A5_TickSpike_Up_Reversal_15min,fwd_15min,-1,378,-0.67,-4.67,69.69,-0.19,0.8529,46.6,-8.23,False
A5_TickSpike_Up_Reversal_30min,fwd_30min,-1,363,-1.06,-5.06,85.13,-0.24,0.813,45.2,-7.31,False
A7_TickAndVol_Up_Buy_5min,fwd_5min,1,342,-1.13,-5.13,43.71,-0.48,0.6349,45.3,-14.42,False
A1_TickSpike3x_Up_Buy_5min,fwd_5min,1,381,-1.06,-5.06,42.9,-0.48,0.6297,45.7,-14.51,False
A3_TickSpike5x_Up_Buy_15min,fwd_15min,1,102,-6.51,-10.51,85.8,-0.76,0.4472,45.1,-15.07,False
A3_TickSpike5x_Up_Buy_5min,fwd_5min,1,102,-6.95,-10.95,55.68,-1.26,0.2123,36.3,-24.19,False
A6_TickSpike_Down_Reversal_15min,fwd_15min,1,471,-6.76,-10.76,64.63,-2.27,0.0238,47.1,-20.47,False
A6_TickSpike_Down_Reversal_30min,fwd_30min,1,444,-10.55,-14.55,77.12,-2.88,0.0042,45.3,-23.19,False
A6_TickSpike_Down_Reversal_5min,fwd_5min,1,483,-4.75,-8.75,33.33,-3.13,0.0019,42.0,-32.28,False
