sector,N,ac_1d,ac_5d,ac_20d
パルプ・紙,1564,0.017925136877629786,0.052926919397206076,-0.17040980293103905
不動産業,9337,0.004030527714125404,0.013793475851400509,-0.032440712774518966
小売業,25095,-0.044021090653204836,0.0027383536908694057,-0.07945551759823072
化学,25540,-0.04909212822588391,-0.005137351322898498,-0.029435989670568145
陸運業,12979,-0.0299673978309161,-0.006761047512960629,-0.0426661160595132
建設業,14452,-0.030245723929062853,-0.009742372570996246,-0.018021216559290877
機械,24590,-0.03208319069271198,-0.010381602153863311,-0.05083800876741973
電気機器,36024,-0.02950957605364292,-0.01221106137932145,-0.020820785098474244
非鉄金属,6786,-0.02279202835702631,-0.015130933870877154,-0.0017694311377429593
石油･石炭製品,1727,-0.09967281416423282,-0.018072700810146856,-0.10599349057110807
医薬品,9636,-0.019961961377067673,-0.025264270172612995,-0.08838218239551429
海運業,1884,-0.0711089996828328,-0.027532619844635838,0.03032976075255952
食料品,15533,-0.03801211053002613,-0.027748960724220843,-0.06534273811657046
電気･ガス業,7511,-0.04819218819424008,-0.028601440914566817,-0.025600390030432425
輸送用機器,11020,-0.036905594080408166,-0.029287075873708615,-0.0928914200716464
空運業,1090,-0.029951025538260463,-0.03054157008230079,-0.16001493463937394
精密機器,7127,-0.02332175211167023,-0.04372662753181847,-0.05609606180273941
金属製品,3580,-0.06039158759210349,-0.04403980126447732,-0.0338410051784495
鉱業,1448,-0.07318524273915375,-0.04643714632458703,0.06967279467094988
ガラス･土石製品,7064,-0.030936889922623525,-0.04679576883271936,-0.04604237713957681
情報･通信業,30223,-0.04198986753657485,-0.04798800941016961,-0.06107116444453061
その他製品,6873,-0.04051901564221221,-0.06228391760963013,-0.07441348848058905
鉄鋼,4650,-0.04343332196367495,-0.06421339042675958,-0.02042551998047019
サービス業,18831,-0.0432578894455025,-0.06583444391344156,-0.04446981297073999
卸売業,14771,-0.039932119676367055,-0.06606434479237601,-0.07010856265312096
繊維製品,2898,-0.10294174733977653,-0.06848068130553124,-0.07703640777666924
ゴム製品,2291,-0.0278232105365166,-0.07170696570418547,-0.10432756467181056
水産・農林業,1030,-0.11269768827807275,-0.0723114607978705,-0.030993273009025643
倉庫･運輸関連業,1413,-0.039616524981603014,-0.07757059753779284,0.05350018172420363
証券･商品先物取引業,4047,-0.005233625014210899,-0.08033048639764079,-0.06995214284633657
銀行業,18175,-0.035019687555868574,-0.08599879200706564,-0.04087326612786494
保険業,3866,-0.047526013182705794,-0.09455107462953143,-0.10992456217003396
その他金融業,5171,-0.02867002392860278,-0.10906901140732263,-0.09037979509807445
