sector,N,mean,std,skew,p_win,on_mean,on_std,day_mean,day_std,sharpe_d,on_share
非鉄金属,7230,0.368,3.802,0.767,53.25,0.203,2.759,0.163,2.564,1.54,55.5
銀行業,19567,0.314,3.211,2.833,54.234,0.193,2.526,0.119,1.895,1.55,61.9
建設業,15791,0.251,2.944,3.337,53.303,0.146,2.317,0.107,1.917,1.35,57.7
機械,26490,0.238,3.569,1.514,52.042,0.153,2.71,0.084,2.264,1.06,64.6
鉱業,1540,0.232,3.134,-0.218,54.286,0.187,2.262,0.045,2.172,1.18,80.6
繊維製品,3209,0.227,3.092,2.453,52.353,0.147,2.447,0.08,1.875,1.17,64.8
倉庫･運輸関連業,1513,0.207,2.268,6.399,55.783,0.119,2.082,0.092,1.305,1.45,56.4
電気機器,38447,0.203,3.509,1.346,51.507,0.137,2.715,0.067,2.235,0.92,67.2
卸売業,16403,0.189,3.036,2.113,52.417,0.164,2.463,0.026,1.793,0.99,86.3
証券･商品先物取引業,4421,0.173,3.649,4.05,51.911,0.176,2.995,-0.004,1.908,0.75,97.8
ガラス･土石製品,7507,0.167,2.959,0.833,52.697,0.109,2.198,0.058,1.999,0.9,65.3
不動産業,10195,0.167,3.354,2.021,51.731,0.144,2.589,0.023,2.098,0.79,86.2
金属製品,3938,0.161,3.077,0.393,52.489,0.098,2.609,0.066,1.838,0.83,59.8
精密機器,7678,0.16,3.264,0.982,50.99,0.124,2.567,0.037,2.04,0.78,77.0
その他製品,7490,0.156,3.034,0.457,52.483,0.104,2.342,0.053,1.958,0.82,66.2
保険業,4096,0.149,2.841,0.157,52.588,0.176,2.228,-0.029,1.677,0.83,85.9
パルプ・紙,1726,0.148,3.404,2.239,53.998,0.097,2.613,0.048,2.096,0.69,66.9
化学,27600,0.142,2.882,1.924,52.38,0.117,2.3,0.026,1.746,0.78,81.8
水産・農林業,1123,0.122,2.085,0.556,50.668,0.042,1.576,0.079,1.353,0.93,34.7
輸送用機器,11816,0.11,3.093,3.068,52.065,0.116,2.426,-0.007,1.846,0.56,94.3
ゴム製品,2430,0.11,2.324,0.878,53.457,0.138,1.814,-0.027,1.531,0.75,83.6
その他金融業,5587,0.107,2.585,0.931,53.034,0.128,2.066,-0.021,1.577,0.66,85.9
石油･石炭製品,1819,0.106,2.488,0.202,54.316,0.12,1.745,-0.014,1.797,0.68,89.6
電気･ガス業,7933,0.102,2.554,0.448,50.737,0.09,1.604,0.011,1.942,0.63,89.1
鉄鋼,5070,0.098,2.884,1.694,51.598,0.117,2.096,-0.02,1.898,0.54,85.4
海運業,1999,0.089,2.567,-0.089,52.126,0.118,1.721,-0.031,1.8,0.55,79.2
情報･通信業,32701,0.089,3.585,1.385,49.454,0.071,2.674,0.018,2.348,0.39,79.8
小売業,27428,0.086,2.669,1.063,50.671,0.069,1.955,0.017,1.795,0.51,80.2
医薬品,10211,0.06,2.687,0.774,50.269,0.059,1.993,0.002,1.827,0.35,96.7
食料品,16590,0.039,2.155,0.736,51.043,0.046,1.536,-0.007,1.471,0.29,86.8
サービス業,20840,0.035,3.725,1.592,49.395,0.048,2.931,-0.015,2.233,0.15,76.2
陸運業,13730,0.031,1.822,1.454,50.881,0.047,1.251,-0.017,1.305,0.27,73.4
空運業,1136,-0.004,1.389,-0.212,50.264,-0.006,0.995,0.002,0.999,-0.05,75.0
