sector,n_gu,gu_fill,n_gd,gd_fill,gu_mean,gd_mean,gu_fill_rate,gd_fill_rate
電気･ガス業,3067,876,2371,610,1.20304832105019,-1.2629743988499984,28.6,25.7
海運業,785,221,556,136,1.30206161264072,-1.4427166179048523,28.2,24.5
情報･通信業,12768,3407,11692,3013,1.7262148547976452,-1.688088062767506,26.7,25.8
小売業,9940,2636,8498,2270,1.3754570822302825,-1.3888288537476712,26.5,26.7
陸運業,4501,1155,3681,915,0.9904838546287443,-1.0448901419000491,25.7,24.9
サービス業,8113,2074,7143,1699,1.767039719120279,-1.8685421298452696,25.6,23.8
食料品,5599,1400,4659,1178,1.1270062583642722,-1.19636045928765,25.0,25.3
医薬品,3813,937,3453,883,1.3914976777250854,-1.3663246488383807,24.6,25.6
非鉄金属,3270,803,2511,666,1.9529860288769296,-1.959973185204312,24.6,26.5
鉄鋼,1993,491,1545,383,1.4548580064421979,-1.5086256080305507,24.6,24.8
不動産業,4086,1000,3317,809,1.667890948499639,-1.6130636041588702,24.5,24.4
石油･石炭製品,778,188,535,132,1.2971695390992994,-1.4922837840440026,24.2,24.7
鉱業,706,170,479,124,1.6438653304994602,-1.8281374936052275,24.1,25.9
機械,11259,2698,9226,2288,1.847951236626115,-1.8190788901706207,24.0,24.8
精密機器,3157,752,2754,686,1.7870244648661437,-1.7039821575096143,23.8,24.9
電気機器,16223,3838,13720,3344,1.907096058016669,-1.8743039454537274,23.7,24.4
その他金融業,2255,535,1648,382,1.4201734936321946,-1.5290583175772254,23.7,23.2
建設業,6213,1465,4867,1310,1.5461902332876134,-1.5078104249964954,23.6,26.9
水産・農林業,387,91,349,81,1.2605888359564752,-1.2757009732373228,23.5,23.2
保険業,1809,426,1236,276,1.5129761284333332,-1.6375991985224967,23.5,22.3
その他製品,3016,705,2557,665,1.6319744722668204,-1.6227762601128606,23.4,26.0
パルプ・紙,640,149,502,135,1.5618389569208684,-1.6739155203814158,23.3,26.9
卸売業,6597,1508,5174,1231,1.6654828085648534,-1.6102645094504502,22.9,23.8
ガラス･土石製品,2986,677,2462,637,1.597525224816597,-1.609137927594193,22.7,25.9
証券･商品先物取引業,1924,432,1370,292,1.7163843946825792,-1.8575094575405666,22.5,21.3
化学,10835,2439,8883,2179,1.5672414975477404,-1.553104055820051,22.5,24.5
輸送用機器,4840,1077,3986,894,1.610013874906307,-1.6139864817186607,22.3,22.4
繊維製品,1209,266,1027,271,1.7286286221708729,-1.5759291592966498,22.0,26.4
銀行業,8511,1875,5973,1518,1.6279990023238258,-1.6979342555196852,22.0,25.4
金属製品,1513,325,1294,306,1.746718756740177,-1.7516176000978192,21.5,23.6
空運業,328,70,290,60,0.8664402605832211,-1.023216849702042,21.3,20.7
倉庫･運輸関連業,551,116,444,131,1.285693930776553,-1.2108254274930543,21.1,29.5
ゴム製品,995,202,773,186,1.3805051972067235,-1.3628316872453183,20.3,24.1
