sector,N,am_mean,am_std,pm_mean,pm_std,am_pm_corr
石油･石炭製品,890,0.694,0.768,0.527,0.507,-0.024958066783275216
不動産業,864,0.749,0.87,0.57,0.781,-0.023063495035185674
その他製品,846,0.862,1.045,0.61,0.89,0.013808557260578027
海運業,902,0.629,0.789,0.436,0.465,0.023760017011091938
精密機器,891,0.767,0.85,0.525,0.572,0.0297427504257975
水産・農林業,939,0.54,0.651,0.403,0.439,0.0468233652130485
鉄鋼,923,0.575,0.692,0.439,0.569,0.05111598491628476
銀行業,837,0.69,0.826,0.472,0.476,0.06644135281025836
非鉄金属,617,1.72,1.894,0.991,1.111,0.0701837954106555
卸売業,847,0.862,1.103,0.591,0.734,0.07402987424189564
ゴム製品,852,0.683,0.747,0.55,0.96,0.07615538694759355
パルプ・紙,931,0.645,0.721,0.472,0.66,0.07787066484986714
証券･商品先物取引業,836,0.719,0.842,0.483,0.529,0.08020778767025108
機械,716,1.243,1.406,0.811,0.939,0.08720028222462499
その他金融業,901,0.536,0.714,0.396,0.403,0.09827241371119953
陸運業,940,0.543,0.666,0.439,0.413,0.1029749149790941
電気･ガス業,885,1.067,1.252,0.714,0.867,0.10521356700793047
鉱業,843,0.953,1.25,0.688,0.984,0.1116859472138429
電気機器,636,1.744,2.021,1.033,1.333,0.1145310600273909
サービス業,847,0.836,0.984,0.541,0.605,0.1280327226448789
医薬品,834,0.74,0.937,0.437,0.493,0.12946103238365506
ガラス･土石製品,753,1.236,1.583,0.748,1.024,0.13323012187107103
倉庫･運輸関連業,942,0.667,0.703,0.498,0.473,0.1340518989854401
保険業,716,0.67,0.914,0.445,0.459,0.14536567664412822
小売業,874,0.816,0.998,0.565,0.652,0.150686306494137
食料品,918,0.563,0.68,0.404,0.423,0.17258669155906436
輸送用機器,844,0.828,1.134,0.549,0.718,0.18027367827662213
繊維製品,915,0.744,0.885,0.495,0.529,0.18323700501788526
情報･通信業,825,0.618,1.048,0.41,0.503,0.18898957665670604
空運業,624,0.501,0.571,0.375,0.35,0.18967622922829974
建設業,812,1.041,1.419,0.872,1.365,0.23470873267856981
化学,813,0.843,1.054,0.563,0.679,0.2773798947360755
金属製品,854,0.918,1.221,0.575,0.809,0.28117408291781376
