sector,低出来高_N,低出来高_r,低出来高_wr,普通_N,普通_r,普通_wr,大商い_N,大商い_r,大商い_wr,超急増_N,超急増_r,超急増_wr,edge_high_vs_low
金属製品,1488,0.01918906623013277,52.284946236559136,1971,0.278268631363869,52.51141552511416,403,0.050876070211081946,50.86848635235732,55,1.277350599141365,69.0909090909091,1.2581615329112321
その他製品,3052,0.10182822153863531,51.50720838794234,3549,0.14972167991677737,53.085376162299234,711,0.2662348610200915,52.03938115330521,147,0.7066833949814659,56.4625850340136,0.6048551734428306
ゴム製品,982,0.1494788807522453,55.4989816700611,1180,0.06057425941787824,51.69491525423729,214,0.05431509082197934,51.4018691588785,47,0.6830026570827036,61.702127659574465,0.5335237763304583
水産・農林業,481,0.11098648645768466,49.48024948024948,528,0.10186815425412506,51.70454545454546,86,0.19805762842320268,47.674418604651166,23,0.4409125684662062,60.86956521739131,0.3299260820085215
電気･ガス業,2924,0.09531788762737602,49.28180574555404,4103,0.09399637272173111,51.49890324153059,776,0.07561889572571746,51.546391752577314,109,0.39168365761935425,51.37614678899083,0.2963657699919782
医薬品,4023,0.08981879893179295,51.03156848123292,4994,0.03991897823911729,49.81978374048859,1007,-0.02518464249636019,48.957298907646475,158,0.3626563350629625,51.26582278481012,0.27283753613116957
精密機器,3084,0.13180691496337263,50.74578469520104,3677,0.111058044075605,50.176774544465594,774,0.3474301247377805,53.746770025839794,117,0.3770148469774665,58.119658119658126,0.24520793201409388
卸売業,6426,0.22468090349925326,53.14347961406784,8131,0.13803841737332834,51.764850571885376,1489,0.15512506513882074,52.45130960376091,263,0.4600101342799019,52.09125475285171,0.23532923078064863
保険業,1501,0.16717541220679455,53.16455696202531,2166,0.16063377484616032,52.308402585410896,357,-0.016958824295414277,53.50140056022409,62,0.341999699230476,43.54838709677419,0.17482428702368147
輸送用機器,4681,0.14058315131526042,53.08694723349711,5709,0.09117770611191954,51.79541075494832,1143,0.0511419641914682,48.90638670166229,245,0.2969740315979441,53.46938775510204,0.1563908802826837
非鉄金属,2875,0.37506681959238997,53.356521739130436,3343,0.3696013761466855,53.87376607837272,844,0.33131354218934234,50.947867298578196,148,0.5218733165141369,51.35135135135135,0.14680649692174697
化学,10686,0.1553573910745548,52.751263335204946,13750,0.14144665951020938,52.20363636363636,2585,0.019875819092847753,51.56673114119923,471,0.26266637882359145,50.318471337579616,0.10730898774903666
