rule,target,dir,N,mean_raw,mean_net,t_stat,p_val,win_rate,sharpe,sig
D3_CumLarge5b≥10_Buy_30min,fwd_30min,1,8884,8.93,4.93,8.09,0.0,51.0,5.83,True
D2_Large≥5_Buy_30min,fwd_30min,1,3070,11.93,7.93,5.55,0.0,52.2,8.19,True
I1_15min_Up50_Continue_Buy,fwd_30min,1,3258,8.66,4.66,4.8,0.0,52.0,5.57,True
E2_PriceDown×VolLow_Reverse_Buy,fwd_15min,1,126,32.89,28.89,4.03,0.0001,61.9,38.98,True
D1_Large≥3_Buy_15min,fwd_15min,1,6511,3.57,-0.43,3.68,0.0002,50.3,-0.67,False
H2_15min_Down50_Reverse_Buy,fwd_15min,1,3333,1.98,-2.02,1.76,0.0791,50.1,-3.81,False
B4_AvgTradeSize≥2x_Down_Short_30min,fwd_30min,-1,173,8.64,4.64,1.5,0.1354,49.1,7.56,False
G2_Concentration×Up_Buy_30min,fwd_30min,1,353,6.98,2.98,1.38,0.1688,51.8,3.86,False
A1_OFI≥0.3_Long_60min,fwd_60min,1,710,5.96,1.96,1.37,0.1722,47.6,2.07,False
H4_5min_Down30_Reverse_Buy,fwd_5min,1,3320,0.88,-3.12,1.16,0.2444,49.6,-8.83,False
G1_Concentration≥0.3_Buy_30min,fwd_30min,1,935,2.42,-1.58,0.9,0.3659,50.4,-2.37,False
G3_Concentration×Down_Short_30min,fwd_30min,-1,434,2.74,-1.26,0.74,0.4621,50.2,-2.01,False
A2_OFI≤-0.3_Short_60min,fwd_60min,-1,609,1.73,-2.27,0.37,0.7089,52.1,-2.44,False
A1_OFI≥0.3_Long_30min,fwd_30min,1,823,0.96,-3.04,0.35,0.7278,49.2,-4.75,False
B3_AvgTradeSize≥2x_Up_Buy_30min,fwd_30min,1,164,-1.25,-5.25,-0.22,0.8279,43.9,-8.8,False
A2_OFI≤-0.3_Short_30min,fwd_30min,-1,714,-0.69,-4.69,-0.22,0.8271,49.0,-6.85,False
A2_OFI≤-0.3_Short_15min,fwd_15min,-1,765,-0.54,-4.54,-0.24,0.8111,48.4,-9.01,False
A1_OFI≥0.3_Long_15min,fwd_15min,1,865,-0.71,-4.71,-0.35,0.7254,49.1,-9.72,False
C1_TickSpeed≥3x_15min,fwd_15min,1,203,-2.54,-6.54,-0.38,0.7037,51.7,-8.49,False
J1_OFI≥0.3×Vol≥2x_Buy_30min,fwd_30min,1,116,-2.94,-6.94,-0.44,0.6617,50.9,-11.88,False
A1_OFI≥0.3_Long_5min,fwd_5min,1,899,-0.69,-4.69,-0.52,0.606,43.8,-14.41,False
F1_VolExpand_Any_15min,fwd_15min,1,168,-5.25,-9.25,-0.7,0.4829,50.0,-11.79,False
I2_15min_Down50_Continue_Short,fwd_30min,-1,3232,-1.28,-5.28,-0.76,0.4448,50.2,-6.84,False
A2_OFI≤-0.3_Short_5min,fwd_5min,-1,794,-1.06,-5.06,-0.85,0.3944,45.2,-17.79,False
B2_AvgTradeSize≥2x_Buy_30min,fwd_30min,1,354,-4.35,-8.35,-1.11,0.2668,46.3,-13.97,False
E1_PriceUp×VolLow_Reverse_Short,fwd_15min,-1,138,-8.85,-12.85,-1.15,0.2514,43.5,-17.57,False
B1_AvgTradeSize≥2x_Buy_15min,fwd_15min,1,378,-5.68,-9.68,-1.95,0.0522,44.7,-21.01,False
H3_5min_Up30_Reverse_Short,fwd_5min,-1,3340,-1.88,-5.88,-2.25,0.0243,48.6,-15.0,False
H1_15min_Up50_Reverse_Short,fwd_15min,-1,3367,-4.79,-8.79,-3.54,0.0004,48.4,-13.74,False
