code,name_ja,sector,disc_date,disc_time,doc_type,ann_timing,t_open,t_close,t_high,t_low,t_vol,t_tv,tm1_close,tm5_close,tp1_open,tp1_close,tp1_high,tp1_low,tp5_close,vol_ma20,t_intraday_ret,t_total_ret,t_5d_pre_ret,gap_ret,day_after_ret,react_total,drift_5d,t_vol_ratio
26590,サンエー,小売業,2024-01-05,15:00:00,3QFinancialStatements_Consolidated_JP,AC,2297.5,2307.5,2320.0,2297.5,302600,698343500,2295.0,2262.5,2330.0,2342.5,2380.0,2325.0,2332.5,118840.0,0.43525571273121955,0.5446623093681824,1.436464088397793,0.9750812567713929,0.5364806866952732,1.5167930660888507,-0.4268943436499417,2.5462807135644563
76110,ハイデイ日高,小売業,2024-01-05,15:00:00,3QFinancialStatements_NonConsolidated_JP,AC,2904.0,2912.0,2925.0,2878.0,228700,664565200,2882.0,2736.0,2922.0,2987.0,2988.0,2866.0,2956.0,101740.0,0.2754820936639035,1.0409437890353868,5.336257309941517,0.3434065934065922,2.2245037645448384,2.5755494505494525,-1.0378305992634784,2.247886770198545
76110,ハイデイ日高,小売業,2024-01-05,15:00:00,DividendForecastRevision,AC,2904.0,2912.0,2925.0,2878.0,228700,664565200,2882.0,2736.0,2922.0,2987.0,2988.0,2866.0,2956.0,101740.0,0.2754820936639035,1.0409437890353868,5.336257309941517,0.3434065934065922,2.2245037645448384,2.5755494505494525,-1.0378305992634784,2.247886770198545
97930,ダイセキ,サービス業,2024-01-05,15:00:00,EarnForecastRevision,AC,4020.0,3935.0,4050.0,3915.0,150400,596292500,4000.0,3830.0,4215.0,4235.0,4295.0,4150.0,4405.0,85920.0,-2.1144278606965217,-1.6249999999999987,4.438642297650142,7.11562897077509,0.47449584816132706,7.623888182973326,4.014167650531286,1.7504655493482308
97930,ダイセキ,サービス業,2024-01-05,15:00:00,3QFinancialStatements_Consolidated_JP,AC,4020.0,3935.0,4050.0,3915.0,150400,596292500,4000.0,3830.0,4215.0,4235.0,4295.0,4150.0,4405.0,85920.0,-2.1144278606965217,-1.6249999999999987,4.438642297650142,7.11562897077509,0.47449584816132706,7.623888182973326,4.014167650531286,1.7504655493482308
31860,ネクステージ,小売業,2024-01-09,15:00:00,FYFinancialStatements_Consolidated_JP,AC,2598.0,2646.0,2668.0,2583.0,2396100,6300194300,2568.0,2616.0,2480.0,2351.0,2503.0,2275.0,2280.0,1389490.0,1.8475750577367167,3.0373831775700966,-1.834862385321101,-6.273620559334847,-5.201612903225805,-11.148904006046866,-3.0199914929817107,1.7244456599183873
31480,クリエイトＳＤホールディングス,小売業,2024-01-09,15:00:00,2QFinancialStatements_Consolidated_JP,AC,3120.0,3165.0,3165.0,3110.0,299300,941515000,3085.0,3085.0,3180.0,3130.0,3190.0,3125.0,3100.0,88930.0,1.4423076923076872,2.593192868719618,0.0,0.4739336492890933,-1.5723270440251569,-1.1058451816745696,-0.9584664536741228,3.365568424603621
82730,イズミ,小売業,2024-01-09,15:00:00,3QFinancialStatements_Consolidated_JP,AC,1233.7,1231.3,1254.7,1227.3,476400,587887200,1219.0,1206.7,1184.7,1214.7,1220.3,1177.7,1188.7,284535.0,-0.19453675934182346,1.009023789991792,1.0193088588712929,-3.784617883537722,2.532286654849325,-1.3481686022902561,-2.1404462007079905,1.6743107174864251
26700,エービーシー・マート,小売業,2024-01-10,15:00:00,3QFinancialStatements_Consolidated_JP,AC,2500.0,2542.0,2552.0,2491.0,1544400,3910218300,2488.5,2475.0,2567.5,2592.0,2624.5,2505.0,2484.0,833035.0,1.6799999999999926,2.1498894916616385,0.5454545454545379,1.003147128245474,0.9542356377799432,1.9669551534225116,-4.1666666666666625,1.853943711848842
27260,パルグループホールディングス,小売業,2024-01-10,15:00:00,3QFinancialStatements_Consolidated_JP,AC,1140.5,1155.5,1159.5,1115.0,1568600,1800980400,1137.5,1232.5,1160.0,1102.0,1165.5,1072.5,1105.0,1045770.0,1.3152126260412178,1.5824175824175724,-7.7079107505070965,0.38944180008653184,-5.000000000000004,-4.630030289917785,0.27223230490018846,1.4999474071736616
28090,キユーピー,食料品,2024-01-10,15:00:00,FYFinancialStatements_Consolidated_JP,AC,2610.0,2653.0,2654.5,2603.0,608200,1603732700,2604.0,2476.5,2553.0,2562.0,2620.5,2553.0,2520.0,326885.0,1.6475095785440708,1.8817204301075252,5.148394912174448,-3.769317753486623,0.3525264394829586,-3.430079155672827,-1.6393442622950838,1.8605931749697906
