label,N,net,wr,sharpe,t
[10億+] PEAD Long: GU(+2〜+5%) → T+5引け,566,0.4917310518269075,50.8833922261484,1.49762057355813,2.700887337636768
大GU(>+5%) PEAD Long → T+5引け,1152,0.6458565042606053,49.56597222222222,1.4887000181254468,3.6758045123485528
発表前イントラ強(+2%超) + 小GU(+0.5〜+2%) → T+1寄り Long,122,0.24329943655010727,46.72131147540984,1.0229880808611895,1.0043433447135865
PEAD Long: GU(+2〜+5%)後 → T+1引け Long、T+5引け決済,781,0.23158547935318402,48.399487836107554,0.7388611725871727,1.8623970284847675
大GD(<-5%) PEAD Long (リバ) → T+5引け,1052,0.12855467171515242,49.52471482889734,0.3466457012554185,1.2592027328306188
発表前 大陽線 → T+1寄り Long (引け決済),877,-0.03922014260748312,44.81185860889396,-0.14760538312341456,0.42672907168044055
大GU後 (>+5%) → T+1寄り Short,1152,-0.07810671052462831,43.92361111111111,-0.29812592419675565,0.17866866131086925
[10億+] 発表前 大陽線(>+2%) → T+1寄り Long,654,-0.1371200867166905,43.730886850152906,-0.5061683000128361,-0.22074529188635372
発表前+1〜+2%強 → T+1寄り Long (引け決済),824,-0.11396312153502143,48.54368932038835,-0.5248484324056735,-0.11628278418181136
[10億+] 大GU(>+5%) → T+1寄り Short,796,-0.14201014355294383,43.09045226130653,-0.5640329457447772,-0.2965483656826038
大GD後 (<-5%) → T+1寄り Long (リバ狙い),1052,-0.32133332446511065,45.05703422053232,-1.295467699422853,-1.823161866613392
[10億+] 大GD(<-5%) → T+1寄り Long,730,-0.35803811716395395,44.38356164383562,-1.438935916572457,-1.765050811964996
発表前 大陰線 → T+1寄り Long (リバ狙い),804,-0.41326585256651016,44.15422885572139,-1.6187956886288757,-2.191812142735054
PEAD Short: GD(-5〜-2%)後 → T+1引け Short、T+5引け決済,896,-0.8548035172603291,44.419642857142854,-2.680367045545765,-4.462884207672303
[10億+] PEAD Short: GD(-5〜-2%) → T+5引け,645,-0.9286529839011474,45.11627906976744,-2.782725859345122,-3.9725488904661197
