label,N,mean,std,t_stat,p_val,win_rate,sharpe
H6neg: Prop Z<-1.5 ショート,29,73.0,241.3,1.6,0.1207,55.2,2.18
H5: 投信Bal Z>1.5 ロング,42,79.3,352.5,1.44,0.1575,64.3,1.62
H4: (海外-個人)Z>1.5 ロング,45,35.7,169.6,1.39,0.17,64.4,1.52
H1z: 海外Bal Z>1.5 ロング,47,33.7,172.2,1.33,0.1908,68.1,1.41
H4: (海外-個人)Z>2.0 ロング,24,45.5,167.7,1.3,0.2066,70.8,1.95
H3: 信託Bal Z>2.0 ロング,22,38.0,299.9,0.58,0.5677,63.6,0.91
H3: 信託Bal Z>1.5 ロング,35,0.2,253.9,0.01,0.996,51.4,0.01
H6: Prop Z>2.0 ロング,25,-6.6,249.8,-0.13,0.8979,44.0,-0.19
H1z: 海外Bal Z>2.0 ロング,24,-10.3,185.6,-0.27,0.7926,62.5,-0.4
H3neg: 信託Bal Z<-2.0 ショート,25,-22.9,254.3,-0.44,0.6636,40.0,-0.65
H4neg: (海外-個人)Z<-1.5 ショート,37,-47.5,428.6,-0.66,0.5104,43.2,-0.8
H1z_neg: 海外Bal Z<-1.5 ショート,40,-55.4,419.2,-0.83,0.4143,40.0,-0.95
H6: Prop Z>1.5 ロング,43,-33.0,243.2,-0.88,0.3844,37.2,-0.98
H3neg: 信託Bal Z<-1.5 ショート,51,-43.9,216.5,-1.43,0.1582,35.3,-1.46
