year,strategy,N,mean,wr
2016,海外Bal Z>1.5 Long,6,93.1,66.7
2016,個人Bal Z<-1.5 Long,7,24.1,57.1
2017,海外Bal Z>1.5 Long,5,81.6,80.0
2017,個人Bal Z<-1.5 Long,5,84.4,100.0
2018,海外Bal Z>1.5 Long,5,-72.9,60.0
2019,海外Bal Z>1.5 Long,5,-50.5,60.0
2019,個人Bal Z<-1.5 Long,5,-18.1,60.0
2020,海外Bal Z>1.5 Long,5,94.6,80.0
2020,個人Bal Z<-1.5 Long,6,99.6,83.3
2022,海外Bal Z>1.5 Long,4,116.1,100.0
2022,個人Bal Z<-1.5 Long,6,-67.6,33.3
2023,海外Bal Z>1.5 Long,4,32.7,75.0
2024,個人Bal Z<-1.5 Long,4,-22.6,50.0
2025,海外Bal Z>1.5 Long,5,31.0,60.0
2026,海外Bal Z>1.5 Long,4,62.3,50.0
