year,strategy,N,mean,t,wr
2021,H4(LSR最低 Bottom10% Long),1884,33.5,1.66,47.1
2021,H1(信用買増Top10% Short),2017,2.6,0.16,52.7
2021,H2(信用売増Top10% Long),1795,25.7,1.17,46.5
2022,H4(LSR最低 Bottom10% Long),1971,-29.9,-2.35,44.7
2022,H1(信用買増Top10% Short),2064,10.0,0.83,52.1
2022,H2(信用売増Top10% Long),1825,-31.7,-2.17,44.7
2023,H4(LSR最低 Bottom10% Long),2058,3.0,0.22,48.5
2023,H1(信用買増Top10% Short),2140,-16.8,-1.33,50.9
2023,H2(信用売増Top10% Long),1863,-1.3,-0.08,47.6
2024,H4(LSR最低 Bottom10% Long),2088,-21.2,-1.14,45.2
2024,H1(信用買増Top10% Short),2167,15.1,0.85,55.2
2024,H2(信用売増Top10% Long),1907,5.1,0.22,45.5
2025,H4(LSR最低 Bottom10% Long),2243,-2.7,-0.12,41.7
2025,H1(信用買増Top10% Short),2295,-26.7,-1.16,56.0
2025,H2(信用売増Top10% Long),2070,12.6,0.48,42.5
2026,H4(LSR最低 Bottom10% Long),659,60.2,1.14,44.5
2026,H1(信用買増Top10% Short),674,-28.7,-0.61,56.1
2026,H2(信用売増Top10% Long),606,68.0,1.19,45.0
