label,N,mean,std,t_stat,p_val,win_rate,sharpe
H1: 空売り急増Top20% ロング (5d),115414,12.1,944.7,4.34,0.0,45.4,0.09
H1: 空売り急増Top20% ロング (10d),114746,16.8,1312.0,4.34,0.0,44.6,0.09
H1: 空売り急増Top10% ロング (5d),58051,11.9,1045.1,2.75,0.0059,44.8,0.08
H1: 空売り急増Top10% ロング (10d),57714,16.3,1458.2,2.69,0.0072,43.9,0.08
H1: 空売り急増Top5% ロング (10d),29211,20.5,1536.7,2.28,0.0223,43.6,0.1
H1: 空売り急増Top5% ロング (5d),29382,13.6,1125.3,2.08,0.0378,44.2,0.09
H3: 空売り蓄積大Top20% ロング,115492,3.4,1010.2,1.15,0.2504,43.7,0.02
H3: 空売り蓄積大Top10% ロング,58055,2.7,1034.7,0.63,0.529,43.7,0.02
H6: Smart空売り Top5% ショート,18170,2.5,709.5,0.47,0.6351,52.4,0.03
H4: 3機関以上空売り ロング,75832,1.4,1024.5,0.38,0.7036,43.5,0.01
H4: 8機関以上空売り ロング,158,-9.6,1084.6,-0.11,0.912,46.2,-0.06
H3: 空売り蓄積大Top5% ロング,29383,-1.2,1052.0,-0.19,0.849,43.6,-0.01
H6: Smart空売り Top10% ショート,24534,-4.1,682.4,-0.93,0.3524,52.3,-0.04
H4: 5機関以上空売り ロング,10007,-11.7,1113.5,-1.05,0.292,42.8,-0.08
H5: Smart Money 空売り増 → ショート (5d),25753,-6.4,677.2,-1.52,0.1276,52.0,-0.07
H5b: Smart Money カバー → ロング,20735,-8.9,706.8,-1.81,0.0702,46.3,-0.09
H5: Smart Money 空売り増 → ショート (10d),25745,-11.4,955.6,-1.91,0.0558,52.6,-0.09
H2: 空売り減少Top10% ロング (5d),56746,-21.9,936.5,-5.56,0.0,43.2,-0.17
H2: 空売り減少Top20% ロング (5d),114172,-14.7,879.2,-5.63,0.0,43.8,-0.12
H2: 空売り減少Top5% ロング (5d),28091,-33.6,991.8,-5.67,0.0,42.9,-0.24
