year,strategy,N,mean,wr
2021,H1: 空売り急増Top10% Long,8172,-3.6,45.2
2021,H3: 空売り蓄積Top10% Long,8167,-6.8,44.2
2021,H5: Smart空売り増→Short,3133,-42.8,47.4
2022,H1: 空売り急増Top10% Long,9345,19.4,45.6
2022,H3: 空売り蓄積Top10% Long,9364,24.3,45.4
2022,H5: Smart空売り増→Short,4637,6.2,52.7
2023,H1: 空売り急増Top10% Long,11486,-8.9,45.4
2023,H3: 空売り蓄積Top10% Long,11488,-31.7,42.9
2023,H5: Smart空売り増→Short,6338,-11.5,50.5
2024,H1: 空売り急増Top10% Long,11519,9.6,43.1
2024,H3: 空売り蓄積Top10% Long,11521,-6.4,42.4
2024,H5: Smart空売り増→Short,9920,-7.8,53.5
2025,H1: 空売り急増Top10% Long,12477,23.9,45.0
2025,H3: 空売り蓄積Top10% Long,12464,13.4,43.6
2025,H5: Smart空売り増→Short,1718,51.4,55.4
2026,H1: 空売り急増Top10% Long,5052,46.6,44.8
2026,H3: 空売り蓄積Top10% Long,5051,50.7,44.9
