pub_date,FrgnBal,FrgnBal_z,ret_5d,result
2023-04-13,7.0,2.07,124.0,✓ 勝ち
2023-04-20,10.0,2.79,2.0,✓ 勝ち
2023-05-25,7.0,1.57,-11.0,✗ 負け
2023-06-15,10.0,1.97,16.0,✓ 勝ち
2024-01-18,10.0,2.73,53.0,✓ 勝ち
2024-04-11,12.0,3.45,-306.0,✗ 負け
2025-01-08,5.0,1.52,-270.0,✗ 負け
2025-04-10,6.0,1.95,157.0,✓ 勝ち
2025-05-22,6.0,1.59,310.0,✓ 勝ち
2025-10-09,13.0,3.06,-210.0,✗ 負け
2025-10-17,11.0,2.11,169.0,✓ 勝ち
2026-01-16,12.0,2.32,-14.0,✗ 負け
2026-02-19,12.0,1.96,308.0,✓ 勝ち
2026-04-09,19.0,2.65,171.0,✓ 勝ち
2026-04-16,16.0,2.02,-215.0,✗ 負け
