sector,entry,direction,N,mean_net,t_stat,sharpe
非鉄,09:10:00,Reversion,489,13.36,1.73,0.78
非鉄,09:10:00,Momentum,489,-29.36,-1.73,-1.71
非鉄,09:20:00,Reversion,492,3.16,0.99,0.2
非鉄,09:20:00,Momentum,492,-19.16,-0.99,-1.22
非鉄,09:30:00,Reversion,492,1.72,0.92,0.12
非鉄,09:30:00,Momentum,492,-17.72,-0.92,-1.21
非鉄,09:40:00,Reversion,493,-2.23,0.56,-0.15
非鉄,09:40:00,Momentum,493,-13.77,-0.56,-0.95
非鉄,09:50:00,Reversion,492,-1.7,0.62,-0.12
非鉄,09:50:00,Momentum,492,-14.3,-0.62,-1.01
非鉄,10:00:00,Reversion,492,-7.36,0.07,-0.58
非鉄,10:00:00,Momentum,492,-8.64,-0.07,-0.68
非鉄,10:10:00,Reversion,492,-6.11,0.22,-0.51
非鉄,10:10:00,Momentum,492,-9.89,-0.22,-0.82
非鉄,10:20:00,Reversion,492,2.95,1.23,0.24
非鉄,10:20:00,Momentum,492,-18.95,-1.23,-1.53
非鉄,10:30:00,Reversion,492,-2.06,0.69,-0.17
非鉄,10:30:00,Momentum,492,-13.94,-0.69,-1.16
非鉄,10:40:00,Reversion,492,-2.91,0.61,-0.25
非鉄,10:40:00,Momentum,492,-13.09,-0.61,-1.12
非鉄,10:50:00,Reversion,492,0.35,1.03,0.03
非鉄,10:50:00,Momentum,492,-16.35,-1.03,-1.45
非鉄,11:00:00,Reversion,492,-0.5,0.91,-0.04
非鉄,11:00:00,Momentum,492,-15.5,-0.91,-1.35
非鉄,11:10:00,Reversion,492,0.02,1.02,0.0
非鉄,11:10:00,Momentum,492,-16.02,-1.02,-1.46
非鉄,11:20:00,Reversion,492,-0.02,1.05,-0.0
非鉄,11:20:00,Momentum,492,-15.98,-1.05,-1.51
非鉄,12:40:00,Reversion,492,-1.63,0.98,-0.18
非鉄,12:40:00,Momentum,492,-14.37,-0.98,-1.58
非鉄,12:50:00,Reversion,492,-3.93,0.63,-0.44
非鉄,12:50:00,Momentum,492,-12.07,-0.63,-1.35
非鉄,13:00:00,Reversion,492,-4.15,0.61,-0.47
非鉄,13:00:00,Momentum,492,-11.85,-0.61,-1.35
非鉄,13:10:00,Reversion,491,1.39,1.53,0.16
非鉄,13:10:00,Momentum,491,-17.39,-1.53,-2.04
非鉄,13:20:00,Reversion,492,0.05,1.33,0.01
非鉄,13:20:00,Momentum,492,-16.05,-1.33,-1.9
非鉄,13:30:00,Reversion,492,-3.46,0.8,-0.44
非鉄,13:30:00,Momentum,492,-12.54,-0.8,-1.58
非鉄,13:40:00,Reversion,492,-4.29,0.66,-0.55
非鉄,13:40:00,Momentum,492,-11.71,-0.66,-1.5
非鉄,13:50:00,Reversion,492,-4.26,0.7,-0.57
非鉄,13:50:00,Momentum,492,-11.74,-0.7,-1.58
