pair,sector,entry,N,mean_net,t_stat,sharpe
ソシオネクスト-ローム,AI半導体,09:10:00,329,-22.43,-1.08,-1.48
ソシオネクスト-ローム,AI半導体,09:20:00,354,-4.71,0.23,-0.28
ソシオネクスト-ローム,AI半導体,09:30:00,372,1.3,0.72,0.08
ソシオネクスト-ローム,AI半導体,09:40:00,373,5.3,1.1,0.36
ソシオネクスト-ローム,AI半導体,09:50:00,372,8.93,1.45,0.63
ソシオネクスト-ローム,AI半導体,10:00:00,381,12.41,1.83,0.91
ソシオネクスト-ローム,AI半導体,10:10:00,387,13.56,1.95,0.99
ソシオネクスト-ローム,AI半導体,10:20:00,385,10.92,1.96,0.92
ソシオネクスト-ローム,AI半導体,10:30:00,382,8.6,1.76,0.74
ソシオネクスト-ローム,AI半導体,10:40:00,388,13.29,2.31,1.16
ソシオネクスト-ローム,AI半導体,10:50:00,396,18.22,2.91,1.62
ソシオネクスト-ローム,AI半導体,11:00:00,394,10.96,2.2,1.02
ソシオネクスト-ローム,AI半導体,11:10:00,387,13.29,2.17,1.09
ソシオネクスト-ローム,AI半導体,11:20:00,397,12.73,2.19,1.07
ソシオネクスト-ローム,AI半導体,12:40:00,395,1.88,1.52,0.23
ソシオネクスト-ローム,AI半導体,12:50:00,397,3.07,1.85,0.41
ソシオネクスト-ローム,AI半導体,13:00:00,406,8.72,2.26,0.93
ソシオネクスト-ローム,AI半導体,13:10:00,406,9.42,2.41,1.03
ソシオネクスト-ローム,AI半導体,13:20:00,401,2.85,2.11,0.44
ソシオネクスト-ローム,AI半導体,13:30:00,392,1.52,1.9,0.24
ソシオネクスト-ローム,AI半導体,13:40:00,393,3.3,2.37,0.55
ソシオネクスト-ローム,AI半導体,13:50:00,399,1.02,1.95,0.17
ソシオネクスト-ローム,AI半導体,14:00:00,395,0.44,1.91,0.08
ソシオネクスト-ローム,AI半導体,14:10:00,399,-0.22,1.94,-0.04
ソシオネクスト-ローム,AI半導体,14:20:00,397,-1.7,1.62,-0.35
ソシオネクスト-ローム,AI半導体,14:30:00,399,-0.94,1.9,-0.2
ソシオネクスト-ローム,AI半導体,14:40:00,398,-1.66,1.81,-0.38
ソシオネクスト-ローム,AI半導体,14:50:00,401,-6.45,0.49,-1.61
三菱マテ-住友鉱山,非鉄,09:10:00,218,-4.87,0.33,-0.56
三菱マテ-住友鉱山,非鉄,09:20:00,252,4.22,1.5,0.52
三菱マテ-住友鉱山,非鉄,09:30:00,261,1.07,1.12,0.13
三菱マテ-住友鉱山,非鉄,09:40:00,266,5.0,1.63,0.61
三菱マテ-住友鉱山,非鉄,09:50:00,277,5.82,1.86,0.75
三菱マテ-住友鉱山,非鉄,10:00:00,279,5.33,1.87,0.71
三菱マテ-住友鉱山,非鉄,10:10:00,290,1.22,1.4,0.17
三菱マテ-住友鉱山,非鉄,10:20:00,287,0.9,1.37,0.13
三菱マテ-住友鉱山,非鉄,10:30:00,295,-3.19,0.76,-0.47
三菱マテ-住友鉱山,非鉄,10:40:00,299,-5.59,0.4,-0.85
三菱マテ-住友鉱山,非鉄,10:50:00,300,-5.79,0.38,-0.93
三菱マテ-住友鉱山,非鉄,11:00:00,305,-7.82,0.03,-1.3
三菱マテ-住友鉱山,非鉄,11:10:00,297,-8.5,-0.09,-1.41
三菱マテ-住友鉱山,非鉄,11:20:00,292,-13.19,-0.99,-2.33
三菱マテ-住友鉱山,非鉄,12:40:00,298,-15.65,-1.75,-3.3
三菱マテ-住友鉱山,非鉄,12:50:00,309,-13.27,-1.27,-2.89
三菱マテ-住友鉱山,非鉄,13:00:00,310,-9.49,-0.37,-2.1
三菱マテ-住友鉱山,非鉄,13:10:00,307,-9.64,-0.43,-2.27
三菱マテ-住友鉱山,非鉄,13:20:00,310,-8.32,-0.09,-2.04
三菱マテ-住友鉱山,非鉄,13:30:00,309,-7.04,0.28,-1.85
三菱マテ-住友鉱山,非鉄,13:40:00,297,-5.53,0.73,-1.51
三菱マテ-住友鉱山,非鉄,13:50:00,300,-7.61,0.12,-2.15
三菱マテ-住友鉱山,非鉄,14:00:00,303,-10.11,-0.67,-2.95
三菱マテ-住友鉱山,非鉄,14:10:00,302,-7.78,0.07,-2.27
三菱マテ-住友鉱山,非鉄,14:20:00,315,-6.3,0.55,-1.82
三菱マテ-住友鉱山,非鉄,14:30:00,322,-5.06,1.0,-1.53
三菱マテ-住友鉱山,非鉄,14:40:00,321,-5.71,0.89,-1.97
三菱マテ-住友鉱山,非鉄,14:50:00,320,-9.28,-0.54,-3.49
ローム-太陽誘電,AI半導体,09:10:00,296,9.37,1.19,0.59
ローム-太陽誘電,AI半導体,09:20:00,346,9.09,1.32,0.6
ローム-太陽誘電,AI半導体,09:30:00,348,12.09,1.64,0.84
ローム-太陽誘電,AI半導体,09:40:00,354,13.55,1.86,0.99
ローム-太陽誘電,AI半導体,09:50:00,362,2.83,1.11,0.24
ローム-太陽誘電,AI半導体,10:00:00,354,6.13,1.49,0.54
ローム-太陽誘電,AI半導体,10:10:00,348,1.28,0.96,0.11
ローム-太陽誘電,AI半導体,10:20:00,359,3.24,1.06,0.26
ローム-太陽誘電,AI半導体,10:30:00,367,1.47,0.93,0.12
ローム-太陽誘電,AI半導体,10:40:00,378,-2.56,0.57,-0.22
ローム-太陽誘電,AI半導体,10:50:00,380,-5.06,0.33,-0.46
ローム-太陽誘電,AI半導体,11:00:00,380,0.71,1.0,0.07
ローム-太陽誘電,AI半導体,11:10:00,383,0.29,0.99,0.03
ローム-太陽誘電,AI半導体,11:20:00,383,-1.3,0.78,-0.12
ローム-太陽誘電,AI半導体,12:40:00,390,-7.77,0.03,-0.82
ローム-太陽誘電,AI半導体,12:50:00,394,-1.9,1.05,-0.26
ローム-太陽誘電,AI半導体,13:00:00,394,0.11,1.44,0.02
ローム-太陽誘電,AI半導体,13:10:00,392,4.76,1.72,0.52
ローム-太陽誘電,AI半導体,13:20:00,380,-2.11,1.07,-0.31
ローム-太陽誘電,AI半導体,13:30:00,383,-2.66,1.01,-0.41
ローム-太陽誘電,AI半導体,13:40:00,390,-6.41,0.37,-1.18
ローム-太陽誘電,AI半導体,13:50:00,392,-6.21,0.43,-1.19
ローム-太陽誘電,AI半導体,14:00:00,398,-5.49,0.6,-1.04
ローム-太陽誘電,AI半導体,14:10:00,400,-2.07,0.95,-0.26
ローム-太陽誘電,AI半導体,14:20:00,388,-4.88,0.82,-1.04
ローム-太陽誘電,AI半導体,14:30:00,387,-0.52,1.23,-0.07
ローム-太陽誘電,AI半導体,14:40:00,377,-1.56,1.04,-0.21
ローム-太陽誘電,AI半導体,14:50:00,395,-1.83,1.07,-0.25
三井金属-住友鉱山,非鉄,09:10:00,285,8.08,1.19,0.56
三井金属-住友鉱山,非鉄,09:20:00,306,15.23,1.95,1.16
三井金属-住友鉱山,非鉄,09:30:00,317,9.92,1.56,0.77
三井金属-住友鉱山,非鉄,09:40:00,326,11.14,1.83,0.94
三井金属-住友鉱山,非鉄,09:50:00,337,1.22,0.87,0.1
三井金属-住友鉱山,非鉄,10:00:00,346,1.91,1.02,0.17
三井金属-住友鉱山,非鉄,10:10:00,349,4.83,1.4,0.45
三井金属-住友鉱山,非鉄,10:20:00,345,2.95,1.23,0.28
三井金属-住友鉱山,非鉄,10:30:00,346,0.64,0.98,0.06
三井金属-住友鉱山,非鉄,10:40:00,353,-0.72,0.87,-0.07
三井金属-住友鉱山,非鉄,10:50:00,353,-4.92,0.38,-0.52
三井金属-住友鉱山,非鉄,11:00:00,353,-3.98,0.49,-0.42
