rule,train_N,train_mean,train_t,train_sharpe,train_wr,oos_N,oos_mean,oos_t,oos_sharpe,oos_wr,decay
A1: 週up+日up+ギャップup → Long,998,73.2,15.97,7.61,69.1,282,72.3,5.74,5.16,62.8,2.45
A2: 週強up + 10:00 up → Long,930,44.7,8.77,4.2,60.8,320,40.8,3.14,2.54,59.4,1.6600000000000001
A3: 週up+日up+13:00 up → Long,1140,17.0,7.68,2.92,58.2,367,27.8,3.47,2.51,58.0,0.41000000000000014
A4: 週down+日down+ギャップdown → Short,709,64.6,9.49,5.33,69.3,145,46.5,2.11,2.58,56.6,2.75
B1: 週up + 前日下落 + 朝反発 → Long,76,-149.3,-9.92,-18.68,14.5,32,-338.2,-7.09,-20.45,6.2,1.7699999999999996
B2: 週up + ギャップ↓ → Long,511,24.0,3.79,2.28,57.5,180,90.9,4.41,5.01,67.8,-2.73
B3: 50日MA上 + RSI<30 + 朝反発 → Long,11,-10.7,-0.28,-2.21,63.6,1,,,,,
C1: 週過熱 + ギャップ↑ → Short,594,-70.9,-9.13,-6.31,36.7,216,-51.3,-2.62,-3.08,41.2,-3.2299999999999995
C2: 月過熱 + ギャップ↑ → Short,750,-37.0,-4.82,-3.14,40.9,316,-9.5,-0.37,-0.57,48.7,-2.5700000000000003
C3: RSI>70 + 朝強 → Short,410,-38.8,-4.02,-3.52,37.8,180,-19.0,-0.73,-1.09,43.3,-2.4299999999999997
C4: 週深売り + ギャップ↓ → Long (逆張),385,-65.7,-4.93,-4.26,33.0,88,-3.9,0.0,-0.23,54.5,-4.029999999999999
D1: 週下落 + 日反転 + ギャップ↑ → Long,231,29.7,3.53,3.26,58.4,68,-1.8,0.11,-0.17,51.5,3.4299999999999997
D2: 月下落 + 日反転 → Long,297,96.7,9.82,8.7,72.1,51,85.3,4.47,9.58,64.7,-0.8800000000000008
E1: 週up + 日up → 翌日 Long,1173,19.1,2.2,0.84,49.4,375,51.5,2.36,1.8,52.5,-0.9600000000000001
E2: 週down + 日down → 翌日 Short,887,-17.2,-0.81,-0.57,46.7,187,-138.9,-3.85,-4.61,39.0,4.04
E3: 週up + 日down → 翌日 Long,424,39.4,2.81,1.97,56.6,137,-6.0,-0.03,-0.11,56.9,2.08
E4: 週down + 日up → 翌日 Short,339,37.3,2.07,1.62,53.7,82,-91.9,-1.84,-3.4,37.8,5.02
E5: 50日MA上 + RSI<30 → 翌日 Long,26,70.4,2.3,6.91,76.9,3,,,,,
F1: 週up+月up+日下落+朝反発 → Long,86,-120.0,-8.37,-14.9,19.8,31,-332.6,-6.49,-19.04,9.7,4.139999999999999
F2: 週down+月down+日上昇+朝失速 → Short,71,-123.8,-6.77,-13.27,18.3,12,7.0,0.3,0.9,66.7,-14.17
